The Pit,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,20834,topsify
1,Nero Forte,56fiFTRrSiHHH3gBeaTg2P,Slipknot,05fG473iIaoy82BF1aGhL8,We Are Not Your Kind,754RY5WpZ2LTUZsk8kDBju,74,https://p.scdn.co/mp3-preview/0ced99ffeb05d59987f4581dbc8e1fb3adc44568?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,How To Survive,19kHwq0HO75zJHevuokhcw,Of Mice & Men,4tususHNaR68xdgLstlGBA,How To Survive,5D0qpD5DSQ7TLA790C8Wya,54,https://p.scdn.co/mp3-preview/035955a2155da8b6e5668a2c1c7853a4dadc5309?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Take What You Want (feat. Ozzy Osbourne & Travis Scott),7CZyCXKG6d5ALeq41sLzbw,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,91,not available
4,You'll Never Find Me,0xcF2mC6MktbXOT7kRiXoF,Korn,3RNrq3jvMZxD9ZyoOZbQOD,The Nothing,6mWsWVsfWpoZ2d6uxm1ND1,68,https://p.scdn.co/mp3-preview/e64e2476b393f8a0e2458fa0e3be0c67f7843cdd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Actions Not Words,6S77hVt7Gh7qFzdbuJxeHj,Stray From The Path,5tGG1slV9pkcydU5eQSIvm,Actions Not Words,7GRv6KUeiMWODMmDcSmGAy,47,https://p.scdn.co/mp3-preview/7f95c11968f996c43793cdab9f7fa0881be8ee7f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,From the Ashes,6jPkJbRwfXmGoceYo9bPig,Gatecreeper,0eCB2pwtPnLywA4rxe4i4N,From the Ashes,2GgRcrUrLTkYtf98TZsjWP,39,https://p.scdn.co/mp3-preview/57f8e8bb02227c9805b38a0aa617d12d9429724b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Heart Demolition,44w6Um3dIgFJp4lZLaZrRi,DragonForce,2pH3wEn4eYlMMIIQyKPbVR,Heart Demolition,6nqJ3us7iDAOazgqSDwENJ,46,https://p.scdn.co/mp3-preview/2e84240982242e4c48b46a44e684298538f331da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Swing It (feat. Alice Cooper),4azRw6JXBKuraRAVvte5en,Phil Campbell,6v1InfOUdpolOnYkFeEtPT,Swing It,30SEKIO37Q3hy5DZI0UGFv,35,https://p.scdn.co/mp3-preview/00e92f78ff8f308c689f074774da83c03c5dc787?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Waiting,0EBtasGXwnvsm7g43fueDC,Silvertomb,1DzvOgjYhye3yHciiHu8TE,Waiting,178ewBWVzBXwRdXQoANz6A,34,https://p.scdn.co/mp3-preview/f35ea20a892d6abfa3a625da54c59f9b2750d8d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Ripping Through Flesh,62ele9zaM1ZyEYv4fHErQN,Creeping Death,0m8C12hSt640ovLaxlsd5u,Ripping Through Flesh,2l2ywhiWTpoIY8IKHqXHSl,33,https://p.scdn.co/mp3-preview/b793d00ad529686bac424dc7b80f449a659b9977?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,War,1Hig5qOTDmX4Erqpmk54xq,Palisades,2w6slVluzWlwADP8aB5yz5,Erase The Pain,3OTWWdNFbxGzWTJBX7588m,56,https://p.scdn.co/mp3-preview/50c11c57312b411643c4a03e3f74a657bdd4a77f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,No More,0IdNBZt0O8R9qBgezYFGOi,Disturbed,3TOqt5oJwL9BE2NG9MEwDa,Evolution,0V73oq7XX0jQL8hd1EZWe4,32,not available
13,I Am Broken Too,6lb2sSTeFSUWX1KQSDt8GL,Killswitch Engage,37394IP6uhnjIpsawpMu4l,Atonement,5k1IQPbz37ctTDrw4vbvtp,57,https://p.scdn.co/mp3-preview/550cbc43b7d810ace8e95ce4d54c27887f57f121?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Shaped by Fire,00WEwk56IydaWK62xPwti8,As I Lay Dying,2vd2HnNh4pdYa9gDVHFjEu,Shaped by Fire,3EazR9bCfKpB7AxiOqGKGa,58,https://p.scdn.co/mp3-preview/3dae21dd0cf5e60777982d665b8add78f1713f3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Two Horns Up feat. (Dani Filth),0tgEpRF6veJm0vOrTLttLs,The 69 Eyes,0Z1UczcSjwKNuv4HgdjH3b,West End,5cLdoy5CCdPDCMAuHvzELg,40,https://p.scdn.co/mp3-preview/a0c883d768b732a010bbe44a6fd24e4aa191cbc5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,7empest,0gGfmw4csswZmFPj9YK8GW,TOOL,2yEwvVSSSUkcLeSTNyHKh8,Fear Inoculum,7acEciVtnuTzmwKptkjth5,74,https://p.scdn.co/mp3-preview/313b8769b6ee0622c8027559008eb25e86e4394a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
