Friends: 25 Years - The Official Playlist,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,287,topsify
1,I'll Be There for You,15tHagkk8z306XkyOHqiip,The Rembrandts,0gDg7FEsF4Y1jWddJJgcn4,L.P.,6koDBGMqurYl3EZnaxCF7N,64,https://p.scdn.co/mp3-preview/67c74878b6fc85eb420757e8a5de3be5ec6fbb9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Shiny Happy People,1v2zyAJrChw5JnfafSkwkJ,R.E.M.,4KWTAlx2RvbpseOGMEmROg,Out Of Time (25th Anniversary Edition),6yEuIwTQpciH1qtj7mP5GK,71,not available
3,Smelly Cat - Version 5,2mWwpHB9hxy0edaaJRNFYt,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,22,https://p.scdn.co/mp3-preview/d114f5a8b25ce7204fb9c65c7dc5d569b9bdf52d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,How You Doin',5WJqC0kYUSxMGLT53PB6qN,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/f565f1ff5b3d3427bc2bec9db985b0768a036e1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,"I'll Be There for You (""Friends"" 25th Anniversary)",4jjqLgn1p9wX9Cogwu7DRU,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,"I'll Be There for You (""Friends"" 25th Anniversary)",0cosC8xYRPGHXdC8ZylpO6,51,https://p.scdn.co/mp3-preview/a4768ad5c3dedd5427b3e0ae9c72578fcd31fadf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,She's Your Lobster,00cl2bIiO4yifICNIIMGow,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/298c87fc984d1e36052621672eccf065c6909f78?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Wicked Game,390AWnOn2rfe9FzQjYmxIH,Chris Isaak,7290H8m1Dwt8G7jm1y9CQx,Best of Chris Isaak (Remastered),15WGW9fyEuS2cWp8aZkNpZ,69,https://p.scdn.co/mp3-preview/b636e5c7f67826e359572c21749ea2d2ee602073?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Pivot,1wr0mLtDyjMGJV5ROWY8sl,Friends Cast,2VNIGJNegTppuRpFqlUoiG,Friends 25th Anniversary (The One with Cast Performances and Dialogue) [From the TV Series],4OxXw5lfDchLo87Cweq7w4,0,https://p.scdn.co/mp3-preview/09b56d93bc6aba81cb6599b48d29efd069b3433f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,London Calling - Remastered,5jzma6gCzYtKB1DbEwFZKH,The Clash,3RGLhK1IP9jnYFH4BRFJBS,London Calling (Remastered),6FCzvataOZh68j8OKzOt9a,73,https://p.scdn.co/mp3-preview/cab17680a55cff3339dec569c52b079efda6daad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
