Sesame Street 50 Years And Counting,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
36,Rubber Duckie,7gGVuamxdF48mRIVo7bb5n,Ernie,1qkEx9YPevCOQhazUZK1bJ,All-Time Favorites 1,4NrLPZaAgx6XWXlAnjdYFD,28,https://p.scdn.co/mp3-preview/4bc23221e9a0d987faffafc97aaf60f146f33dd1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Mah Na Mah Na,5WVnCEXZ58GEnS6QjpO2nI,Mah Na Mah Na,3IOTpMPf7vNzF5Jageuabq,All-Time Favorites 1,4NrLPZaAgx6XWXlAnjdYFD,29,https://p.scdn.co/mp3-preview/28cf0032769b158c4f854a02d2592b08e734fb7f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Caribbean Amphibian,5IbOloQU1oF1pBAGKRtbQW,Kermit the Frog,1PGjAoXiKP1Hcx788WVFx9,All-Time Favorites 2,66yS3ddviSwXuh7oN1w5kN,26,https://p.scdn.co/mp3-preview/0d23036b86b686230df0dac5807485025afb607a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Sing,5cHHjFKe2uuAH4AONCdLZL,Elmo,64TYMfqkpGQsUEuF5xqS2R,S Is for Sing!,5bPDOr55yh38yF93hvG0qx,28,https://p.scdn.co/mp3-preview/d7c8da27cff66d10199004ed7a330a9a9d949ca9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Lambaba,4cC1ywYuJwZcNfLOChsqIH,Count Von Count,1oDbLbJSRUBBOp9SU6NOjI,All-Time Favorites 2,66yS3ddviSwXuh7oN1w5kN,24,https://p.scdn.co/mp3-preview/c9b301bda040165fb7c0294f01285dc458d3835b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Fuzzy and Blue (And Orange),18OgUgIa8KpebtU09wMNp2,Grover,0BQ8l7C4ooQ9YqqnXsi4Vn,All-Time Favorites 2,66yS3ddviSwXuh7oN1w5kN,24,https://p.scdn.co/mp3-preview/10e24df811b6919d76f5fd61795dc68cca6ba2d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,If Moon Was Cookie,6PFKWgDfK4RiJRjuXjmAsz,Cookie Monster,0KUfoAHP20vQHuDhiEAa8r,C Is for Cookie!,6tMwleDEGusT9kUKcqN1W2,26,https://p.scdn.co/mp3-preview/dd6e7fd91129c16cab78d2c4c5f752d564a7bae5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Take a Breath,59zvcxSBbqfRE8ft9AZDcB,Elmo,64TYMfqkpGQsUEuF5xqS2R,E Is for Elmo!,6olEXd4PanP1ho5loa0VwU,23,https://p.scdn.co/mp3-preview/4b8e4d9e5f1c2e3bae7912c30692bcd88cb29d45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Imagination,3jY5MEG0jtNGLAOWl6HbYl,Elmo,64TYMfqkpGQsUEuF5xqS2R,Q Is for Quiet!,3Dq8kXBHwQslZIfHQBimSo,28,https://p.scdn.co/mp3-preview/8ca19475e48b42a75094769b73540182f5d5d129?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,One Fine Face,38R9VdEGuUpVNIeR93N0v8,Elmo,64TYMfqkpGQsUEuF5xqS2R,All-Time Favorites 2,66yS3ddviSwXuh7oN1w5kN,25,https://p.scdn.co/mp3-preview/664a5d02b1dcaab449651713205ef3e715241182?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,I Just Adore 4,1MASFIvkD6v3VawFSOJ24o,Big Bird,0iDC0DDdk9WL7W8OdBSmtE,N Is for Numbers!,2adtSJ5NVSnB3YPNfValJ0,21,https://p.scdn.co/mp3-preview/aadaca2d86b20704bc62519b95361db633e3b9d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Captain Vegetable,6ZIVFFtBD8pFADxxSt5cdz,Sesame Street's Andy,73xeeisZ0BqJ3u3Vtb1911,Sesame Street: Silly Songs,4XBkAaissNUdi2anREdDHL,20,https://p.scdn.co/mp3-preview/c16ad49dddaf1bce8a5a32fac0dcadcac9b745b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,I Have Feet,4oA6YwGGqgAKUtHtN1C7Wu,Grover,0BQ8l7C4ooQ9YqqnXsi4Vn,G Is for Grover!,3YaCSaZo0RFUYKHx9UVb5m,22,https://p.scdn.co/mp3-preview/066b4cce4674286ab031f25825a01dd1c5d4c5d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,One Small Voice,1QkqoYM25dNkCV8iQT1SuH,Elmo,64TYMfqkpGQsUEuF5xqS2R,Q Is for Quiet!,3Dq8kXBHwQslZIfHQBimSo,30,https://p.scdn.co/mp3-preview/958219cbfb14be5bef5d36ce9469a960e45a3579?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Read Me a Story,4djtBysJmViEaMRjpd59Mn,Big Bird,0iDC0DDdk9WL7W8OdBSmtE,All-Time Favorites 2,66yS3ddviSwXuh7oN1w5kN,22,https://p.scdn.co/mp3-preview/da7608f6915030e399538796466e7f0dcd11e39a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
