Led Zeppelin x Maná,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,40,topsify
1,Kashmir - 1990 Remaster,2nVHqZbOGkKWzlcy1aMbE7,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Physical Graffiti,1lZahjeu4AhPkg9JARZr5F,70,https://p.scdn.co/mp3-preview/13b2c47c98132f80a5ce12d8a4ceb192ba7a4345?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Immigrant Song - Remaster,78lgmZwycJ3nzsdgmPPGNx,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin III (Remastered),6P5QHz4XtxOmS5EuiGIPut,78,https://p.scdn.co/mp3-preview/8455599677a13017978dcd3f4b210937f0a16bcb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,The Ocean,3K2KSafiK1to517id5CoPr,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Houses Of The Holy,5phxHbK2GSr7hEu4orLywP,55,https://p.scdn.co/mp3-preview/c40b3757814d1f29290189daa857707d8461d45c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Rock and Roll - Remaster,4PRGxHpCpF2yoOHYKQIEwD,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin IV (Deluxe Edition),44Ig8dzqOkvkGDzaUof9lK,67,https://p.scdn.co/mp3-preview/e7ea8a13f7caf6942c5447e9cd96aac2a076d85a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Dancing Days - 2012 Remaster,4YsNkF22bkppExAF3kOTYv,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Houses Of The Holy (Deluxe Edition),7gS8ozSkvPW3VBPLnXOZ7S,52,https://p.scdn.co/mp3-preview/486c6b4a399d3f49d6b830b1accd822bb0ee427c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Black Dog - Remaster,3qT4bUD1MaWpGrTwcvguhb,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin IV (Deluxe Edition),44Ig8dzqOkvkGDzaUof9lK,73,https://p.scdn.co/mp3-preview/9b76619fd9d563a48d38cc90ca00c3008327b52e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Fool in the Rain,62p6fF2r4NY6pwZbxxvmr8,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,In Through The Out Door,4wVHvawxZy52Oemd4sGyUm,63,https://p.scdn.co/mp3-preview/2a01e585a6f91121f6a69957a392c4f5bf6a268f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Whole Lotta Love - 1990 Remaster,0hCB0YR03f6AmQaHbwWDe8,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin II,70lQYZtypdCALtFVlQAcvx,77,https://p.scdn.co/mp3-preview/ce11b19a4d2de9976d7626df0717d0073863909c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Communication Breakdown - 2014 Remaster,2E64SWjM9rQmAshItmdbcw,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin (Remastered),1J8QW9qsMLx3staWaHpQmU,52,https://p.scdn.co/mp3-preview/9d79f0fde745fcab76ee8a2c8820090bacda2ef5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,All My Love - 2012 Remaster,5hhVpGIBlqAU5yJEOmrk5o,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,In Through The Out Door (Remastered),1W5CtQ7Ng0kP3lXyz7PIT2,44,https://p.scdn.co/mp3-preview/06b948e7c1e339e99c2bb1ec90533a03db686d57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Heartbreaker - 1990 Remaster,6WE7jSshLCuVKoCmobVKVf,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin II,70lQYZtypdCALtFVlQAcvx,64,https://p.scdn.co/mp3-preview/01ecc69cb05ce5234bd24a2224fb4edbf7c0daba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Over the Hills and Far Away - 1990 Remaster,5KXdflxoxCcE9m5F2QoAUY,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Houses Of The Holy,5phxHbK2GSr7hEu4orLywP,61,https://p.scdn.co/mp3-preview/c0d2d4af5d2da62a748252c00332e8aea88a1d04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Ramble On - 1990 Remaster,3MODES4TNtygekLl146Dxd,Led Zeppelin,36QJpDe2go2KgaRleHCDTp,Led Zeppelin II,70lQYZtypdCALtFVlQAcvx,71,https://p.scdn.co/mp3-preview/83383aceb01ea27b0bffdedfaebe55e29b33aca2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
