Madonna International Women's Day Favorites,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,2727,topsify
1,Like a Prayer,2v7ywbUzCgcVohHaKUcacV,Madonna,6tbjWDEIzxoDsBA1FuhfPW,Like a Prayer,48AGkmM7iO4jrELRnNZGPV,62,https://p.scdn.co/mp3-preview/274e7167b6222fc3f8e167bf036c7286bf265f2d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Shahmaran,5l3FvT5MdB56Bolr58c1nC,Sevdaliza,5MraexJKZDrQYzS98kNwie,Ison,2yjRCaDVCsAJjcavAPztVY,42,https://p.scdn.co/mp3-preview/72230c13a05b8ed81b6ba1fb51c56f5c56aa10cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,DE AQUÍ NO SALES - Cap.4: Disputa,0CaiddWO1F3v4nTQGgfk9A,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,El Mal Querer,355bjCHzRJztCzaG5Za4gq,63,https://p.scdn.co/mp3-preview/319984bdeeec2ff678b56b90a4afb5d53c23a351?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Saint Claude (Version Française),5Ai8XBxieq1CR263UdhGdF,Christine and the Queens,04vj3iPUiVh5melWr0w3xT,Chaleur Humaine,326nKcn9e238BwduPDzld7,53,https://p.scdn.co/mp3-preview/6daaede9d9398ec97b495d645e28cdff9d93f099?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Good to Love,4zTHYH48021nSS4boLgVUG,FKA twigs,6nB0iY1cjSY1KyhYyuIIKH,Good to Love,5d7ZkBFIdIUKD1zVYl76vy,52,https://p.scdn.co/mp3-preview/9653595d1d4aaeb2dffb7745f488ebd8965a63c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Hunter,3UHuJt2WkLxGdbxn36T9vc,Björk,7w29UYBi0qsHi5RTcv3lmA,Homogenic (US Internet Release),0HMsmYvoT1h2x1C4di5faf,40,https://p.scdn.co/mp3-preview/6eabd3117411f27c1d04e3daece9970f3c834fca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,"Once Upon a Dream - From ""Maleficent"" / Pop Version",3liiZRlJxa8GeLUgWMoIeu,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,"Once Upon a Dream (from ""Maleficent"") [Original Motion Picture Soundtrack]",293ydefC5qpqZ65JYZTbUi,64,not available
8,Strange Fruit,22mQzUCkUPc78n9LufLQUQ,Nina Simone,7G1GBhoKtEPnP86X2PvEYO,The Collection,3Sgauqw5kDrlIdo7ITD7y5,37,not available
9,Sodade,7xzMrUmlooPa1Fmp88hlYc,Cesaria Evora,0Nks3cFWU2a7rooAlFQYgn,Miss Perfumado,5JDeqzJVs53ZJT1KCjO6Jp,56,https://p.scdn.co/mp3-preview/ecbcfb58393dfc2fac69ce16fed29491da3833cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,People Have the Power,4GbnjrrobeVLCl1FQ5C0OY,Patti Smith,0vYkHhJ48Bs3jWcvZXvOrP,Dream Of Life,3TxNFi3uBnjDBFlfnbmIPe,49,https://p.scdn.co/mp3-preview/e59fb18d6a05820b9c3bba79e9c7c2452099feb8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,"I Feel Love - 12"" Version",7hs8hDGgNVaLKypyLK9X4R,Donna Summer,2eogQKWWoohI3BSnoG7E2U,Bad Girls [Deluxe Edition (US Version)],7eJH6omaUJc3iAOw4CieNf,10,not available
