US Top 40,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,32714,topsify
1,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"10,000 Hours (with Justin Bieber)",4ow6xJwn49gpWz7iHpOzWY,82,https://p.scdn.co/mp3-preview/a3e97b632968fe644ea13d758629e50b26d12c3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1i3z3GR1JtLswOSJNO0BQw,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",1uuGNc2B7c5tEfCuIy3dDT,74,https://p.scdn.co/mp3-preview/1a42a795794298a01897c682495534a8e1b7b20a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,No.6 Collaborations Project,3oIFxDIo2fwuk4lwCmFZCx,88,https://p.scdn.co/mp3-preview/7b43dd0c94b0af0c0401381a683d2f4833180ba3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Dance Monkey,5ZULALImTm80tzUbYQYM9d,Tones and I,2NjfBq1NflQcKSeiDooVjY,The Kids Are Coming,2pJXQvY0YeDvVJ9gMU9G7j,97,https://p.scdn.co/mp3-preview/535ffea66207a0fc07d57fbaea7b5594be797f9b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Circles,21jGcNKet2qwijlDFuPiPb,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,96,not available
6,Dangerous Love,3E22O5YIMAXgnqNGJ2b85J,Justice Carradine,4lmyGbhv14PwBGEZmjVyzU,Dangerous Love,2NPM6xI2P51LVQ5oyrZqtF,43,https://p.scdn.co/mp3-preview/9358243a3b4f85ccba495c3f64acf4a8a6e5576d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Good As Hell,6uAm7pG66O1XesXS9bpHSF,Lizzo,56oDRnqbIiwx4mymNEv7dS,Good As Hell,5PMpdvn38HScK6IuLniRep,75,not available
8,What Am I,1HimGOB6BjOaCQYMIF1xtU,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,What Am I,6IEEEv0mmFYPjhATWKYZRE,80,https://p.scdn.co/mp3-preview/07c61d627e0537fa0d7f11bbab0c763bd9165d1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),3NkJNL3WqO1Lqc3uNDxvCN,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Don’t Call Me Angel (Charlie’s Angels),2qWVO5SXPdWAECnwEWYOJH,94,not available
