Indie Heroes!,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,19742,topsify
1,Moving to New York,7GvkOFkNsM6Exnkyqeajqm,The Wombats,0Ya43ZKWHTKkAbkoJJkwIB,"Proudly Present....A Guide To Love, Loss & Desperation",75l5Bqvc0BH45UhJrS04Xj,65,https://p.scdn.co/mp3-preview/00897f75c0a83cc51002d3e075ff978c73d26243?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Now That I've Found You,4QSxcUAwEx5sFitOKZfQDN,Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,Why Me? Why Not. (Deluxe Edition),6iInyjotj1rYpx3vbX0MxX,67,https://p.scdn.co/mp3-preview/995b65f84419ca454aca539b187976a8a442fe65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Retrospect,1YlOdKPa0LBTqOnFAxWPLQ,Vistas,5YA1c6yVkPnflTLMfOgjzc,Retrospect,7od5erHuDrLwWySdecKpcJ,57,https://p.scdn.co/mp3-preview/c70ec12839cf347f8d913a53928378a761419e4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Hate To Say I Told You So,20j7B6mL9gnNvG3ic6Vwh5,The Hives,4DToQR3aKrHQSSRzSz8Nzt,Veni Vidi Vicious,1C4UGzx5gD9b3X0UfAhY7z,68,https://p.scdn.co/mp3-preview/84adc95aa96273e334bcaf0531f11bf53b10106d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Yellow,3AJwUDP919kvQ9QcozQPxg,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Parachutes,6ZG5lRT77aJ3btmArcykra,82,https://p.scdn.co/mp3-preview/c119ca773ef844108da21c4679dc54c007cf0926?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Naive,7BHPGtpuuWWsvE7cCaMuEU,The Kooks,1GLtl8uqKmnyCWxHmw9tL4,Inside In / Inside Out,03JPFQvZRnHHysSZrSFmKY,74,not available
7,Jerk It Out,5XMjXjwCkJVmk0AHm7z8IV,Caesars,4rGrN4XDYhP6dUAZMvcuHr,Love For The Streets,2ucS4apziMY7gaBIQc2tal,62,https://p.scdn.co/mp3-preview/fe5481ef8fbe5b2ba6f4417aa162e9f9d6d4edc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Black And White Town,6gkgXsymOQxsxGVbG1iXbv,Doves,0LVrQUinPUBFvVD5pLqmWY,The Places Between : The Best Of Doves,7rNIac2Puj0csKytvLJ80K,55,not available
9,Beetlebum - 2012 Remaster,4OHVCeQYPncEwZOtNAJZZx,Blur,7MhMgCo0Bl0Kukl93PZbYS,Blur [Special Edition],7HvIrSkKGJCzd8AKyjTJ6Q,57,https://p.scdn.co/mp3-preview/28ba45b522401cb7363bbf0467cc8ea551dca8b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
