The A Word Playlist (BBC One),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
25,Bring on the Dancing Horses,5uh98HlgvoJd2zRWAduj2Y,Echo & the Bunnymen,0fgYKF9Avljex0L9Wt5b8Z,Songs To Learn And Sing,0VYyqjM5H2sXj6z8ocAyjb,57,https://p.scdn.co/mp3-preview/c45ef1862cb5ef0bc637060439522e4ba20d33f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Pretty in Pink,1Cl1J4Ai7NkuhLdaDHthTh,The Psychedelic Furs,0O0lrN34wrcuBenkqlEDZe,The Psychedelic Furs Superhits,4sdhLZRcO9DQmrs889H0tl,48,https://p.scdn.co/mp3-preview/a10218a2d8f8ae38d29c5e90d7dfb8d6a1eb785f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Nice N' Sleazy,2CeBK22RiNWepnaCs0yHPb,The Stranglers,0RUEHcBiENFEqxgicqS2ig,Black And White,5PfI1x0Rub41UUeLEksUCU,39,https://p.scdn.co/mp3-preview/9aa3bfcd99082f7cbf71eaea960b1c5112a0ede9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Boredom,0dT3fFiZgeulrqfkJoDJdY,Buzzcocks,2DxlS3lTLFIq70S7ap5H3y,Time's Up,7HvPwB0Adf7z1lg6NdrueY,0,not available
29,Fiction Romance - 1996 Remastered Version,711wmuyoTvlJKm3e8ONQmv,Buzzcocks,2DxlS3lTLFIq70S7ap5H3y,Another Music In A Different Kitchen,2aRegyyQLgcJowtbRXzeBF,0,not available
30,Mersey Paradise - Remastered,5O1nqhJ86j7Vq1VBoumJMB,The Stone Roses,1lYT0A0LV5DUfxr6doRP3d,Turns Into Stone,4zknQkJv8wPyg1nbElHkLT,25,https://p.scdn.co/mp3-preview/769828ba8b0e537141e7a79c5cf3e353c956ebcb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Something and Nothing,4GpfAyw8X1HO90zmih4Ls2,The Wedding Present,4tyCvqG48h4LdcbFfWBjR9,George Best Plus,6lQXOqfydTANrrEHzf42JT,0,not available
32,Keep On Working,4rTDvEdas4HvKnPrReuhwC,Pete Townshend,24Wa5wIZIo1sPkzVGP0B5p,Empty Glass,7o3gPnja0zjNdZWM4KhYD7,0,not available
33,There's a Kind of Hush (All over the World),6p9EnvCMlkPacgiJBNeDp8,Herman's Hermits,48YxSlb23RAaCd4RyHcV9V,"The Best Of The EMI Years,Vol Two 67-71",3FImFgII8rHSrbHA9NcMpE,0,not available
34,The Sound Of The Crowd - 2002 Digital Remaster,3VGA93mlzkpIpaZ7D7XkmK,The Human League,1aX2dmV8XoHYCOQRxjPESG,The Very Best Of The Human League,3Vgpl5ixDyU5W7lVDLeFhi,0,not available
35,She Bangs the Drums - Remastered,3clIHVzJ9J2rvvrFUKLICo,The Stone Roses,1lYT0A0LV5DUfxr6doRP3d,The Stone Roses,0um9FI6BLBldL5POP4D4Cw,61,https://p.scdn.co/mp3-preview/f6e42aa7ff4812cc027c2a4137e35fe1a3d31630?cid=fa83a2fec7c440b7a2795d600d6b2c7e
