Later...with Jools Holland - Autumn 2017 (BBC Two),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
24,Time Don't Wait,4mFfOgcUYwUj1nZK9vodaG,Marty Stuart And His Fabulous Superlatives,559WWygoFrpAD58V0PqVwO,Way out West,0JaM7vBiJsFalI1RJHF9W5,11,https://p.scdn.co/mp3-preview/81e9297320aefda440a44ed096e421e85e82993f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Day I Die,3ysiD7ZgsPc3xgGJ59DpS7,The National,2cCUtGK9sDU2EoElnk0GNB,Sleep Well Beast,6zG9PHw8dlMLIyRE9TEGGk,56,https://p.scdn.co/mp3-preview/7ebcd5f700efe3a9b39f3fc1a1a4178fe67f18c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Wall Of Glass,3eqhMltljpvMkVNUbAHyQI,Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,Wall Of Glass,0uoY7d6TJpVDWWKRA7dLAA,53,https://p.scdn.co/mp3-preview/3b03ca684b290c7dcf0f7128250eefd7429b0781?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Jupiter,2DpoMv19NWpUHP8Npm5hrC,Benjamin Clementine,7zHIrsSBL7A0gEJfzv1m7z,Jupiter,0mRiIXsvfBPmUlC5U615jo,0,not available
28,You Never Can Tell,0LUOazVUMVFgTxqQ2pv4KI,Elise LeGrow,20biSVcaiwFyvcseOzYKo8,You Never Can Tell,2e7BlGvMn28qBijAVHBhGK,0,not available
29,Blue Lights,4jpBAzEAWq9GVyELGtkKAx,Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Blue Lights,3B8bqhCr3h9fX4EbTarSsq,4,not available
30,Richard,4Ernh14cuyfx9cJyDpqR3c,Nadia Reid,6ZoRg8NnEtVmtUhgCTSCrn,Preservation,29lcG2pe5Gv4YYGakP17lr,0,not available
31,tonite,1yAldIvjyQQ6gU5TMNTJNo,LCD Soundsystem,066X20Nz7iquqkkCW6Jxy6,american dream,4AF1M7bGCFL3LHCtXUUXw5,46,https://p.scdn.co/mp3-preview/69accc61e24f9da1be12f28b37c06c487d9be324?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Greedy Soul,0cWKmpopb9Qm9mbJimBarQ,Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,Greedy Soul,4gcGRgG9KCI7aoFkkzhFz9,37,https://p.scdn.co/mp3-preview/ebb8e0cf12b6b10dea06c588b4ab213f16f489a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Gloria,3kBT37GQJi7SVztoyjH0JJ,Van Morrison,44NX2ffIYHr6D4n7RaZF7A,Too Long in Exile,0HwTLLnVahRjS1q7ShXhLo,34,https://p.scdn.co/mp3-preview/37f13cd3782f4ed57c4d7b44c310e98ceb82fa66?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Wild Wood,6WQxdptNLoR8tCkSZl2ooT,Paul Weller,7Lf3LOZp3U3u2f6cWMd3AH,Wild Wood (Deluxe Edition),6YsGI6GnGfmqfYqMd7Haqt,0,not available
35,Times Like These,2ql32BJPN3hnyboml4JfER,Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,One By One,2TIp2qGorHvqyaiAb82Awe,11,not available
36,Black Horse And The Cherry Tree,0qAMjeQFyd1qD0LDiV8gWp,KT Tunstall,5zzrJD2jXrE9dZ1AklRFcL,Eye To The Telescope,3j70PDKieTWQAwas3bPHRZ,61,not available
37,Bamako,4MtkmKfOfv9fPdS1nJCWgb,Songhoy Blues,5fpQ5Qt2BKgoVBSMw4Z17Z,Bamako,23Z8ucEhhNBCQqthF47zuc,29,https://p.scdn.co/mp3-preview/f8fb4662ff10efb8796ba83c836741ffdfabe55c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Jus' a Rascal,2TkLgI3Qld9CELxszZFLLb,Dizzee Rascal,0gusqTJKxtU1UTmNRMHZcv,Boy In Da Corner,16m3S8uDo5ZNLEekcnOSxf,0,not available
39,Seeds,476vApsQCGL3WY2qnOSLz6,Camille,0gOsZcHl7H3ewXVIEnWFZX,OUÏ,18LlCAG2iY8ht0dm7uKBy0,0,not available
40,Mona Lisa,3i1yLTIlwLG6EmqaSMTcVk,Gregory Porter,06nevPmNVfWUXyZkccahL8,Mona Lisa,3ka0fMcvrTzb5JnwEIsbXF,13,https://p.scdn.co/mp3-preview/aa27a3fe462414c57d1681d58e01f03a435c9b14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Tyrant (feat. Jorja Smith),6u24cRDn2mTKcXxxtgmIsV,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,Tyrant (feat. Jorja Smith),2FM2RlooCFHOMYfChyzQb4,2,not available
