Sub Pop: The Less Grunge Years,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
19,The Professional,1f4lOUim3SfgFhEHzc32IM,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,All Hands on the Bad One (Remastered),1LI819VWBwPDnLtIGP9UMC,22,https://p.scdn.co/mp3-preview/c4b4921eb6a30ef24bdfc0a80ad7a8b23d6e0a0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Was It a Lie?,5c1xd6hOphtRuS8Xp8hkHV,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,All Hands on the Bad One (Remastered),1LI819VWBwPDnLtIGP9UMC,21,https://p.scdn.co/mp3-preview/d19f2e2d21b0740d4355b67db00738ea6e9db7d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Male Model,5QDPNDcTi7e8R11WKi1lXF,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,All Hands on the Bad One (Remastered),1LI819VWBwPDnLtIGP9UMC,20,https://p.scdn.co/mp3-preview/b2fd2655afd5709a45340dc4f2ca67ad60b8f3a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Leave You Behind,3GoPmHjQ5P8bLzfnr2IOxG,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,All Hands on the Bad One (Remastered),1LI819VWBwPDnLtIGP9UMC,22,https://p.scdn.co/mp3-preview/445471370b59b3e99b1ad26b68a31134cf0063eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Milkshake n' Honey,60311QR1wXrmmzBeTxa122,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,All Hands on the Bad One (Remastered),1LI819VWBwPDnLtIGP9UMC,22,https://p.scdn.co/mp3-preview/3bee160e8d2f2a71badb572909314ec9d0b5af7e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Pompeii,4qFnyra0EnO6nxxLJ74NMe,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,All Hands on the Bad One (Remastered),1LI819VWBwPDnLtIGP9UMC,20,https://p.scdn.co/mp3-preview/6db65a7ed0758fea2bfef33c8fcf54f6a9242a8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,The Swimmer,38rC3HxyhJQJ1AhdBqzPS4,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,All Hands on the Bad One (Remastered),1LI819VWBwPDnLtIGP9UMC,20,https://p.scdn.co/mp3-preview/1010b3b589c6a88e3aaf1bd7b71bd5661a668ca3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,The District Sleeps Alone Tonight - Remastered,0NktjP45rBAkuXeCRGalj3,The Postal Service,5yV1qdnmxyIYiSFB02wpDj,Give Up (Deluxe 10th Anniversary Edition),1WMxnk8FUn2RscMjOM6cq3,0,not available
27,Such Great Heights - Remastered,7bqVZBRrNxmrF1iFQLYX2X,The Postal Service,5yV1qdnmxyIYiSFB02wpDj,Give Up (Deluxe 10th Anniversary Edition),1WMxnk8FUn2RscMjOM6cq3,0,not available
28,Sleeping In - Remastered,2J6JBKRoQndkNyY4rf29Tl,The Postal Service,5yV1qdnmxyIYiSFB02wpDj,Give Up (Deluxe 10th Anniversary Edition),1WMxnk8FUn2RscMjOM6cq3,0,not available
29,Nothing Better - Remastered,4qEKtRRa0ta8psHrsJ84p1,The Postal Service,5yV1qdnmxyIYiSFB02wpDj,Give Up (Deluxe 10th Anniversary Edition),1WMxnk8FUn2RscMjOM6cq3,0,not available
30,Recycled Air - Remastered,2MGHuJQNQvx8jV7jEPkYgz,The Postal Service,5yV1qdnmxyIYiSFB02wpDj,Give Up (Deluxe 10th Anniversary Edition),1WMxnk8FUn2RscMjOM6cq3,0,not available
31,Clark Gable - Remastered,6NITrSpp68wehNJoOAZBmu,The Postal Service,5yV1qdnmxyIYiSFB02wpDj,Give Up (Deluxe 10th Anniversary Edition),1WMxnk8FUn2RscMjOM6cq3,0,not available
32,We Will Become Silhouettes - Remastered,3elIn2BOXxLsjMcY1hmxnT,The Postal Service,5yV1qdnmxyIYiSFB02wpDj,Give Up (Deluxe 10th Anniversary Edition),1WMxnk8FUn2RscMjOM6cq3,0,not available
33,This Place Is a Prison - Remastered,0auLClxf1LOyVrLJuH5YpB,The Postal Service,5yV1qdnmxyIYiSFB02wpDj,Give Up (Deluxe 10th Anniversary Edition),1WMxnk8FUn2RscMjOM6cq3,0,not available
34,Brand New Colony - Remastered,6JxxPhrbp3ZtQikOq19SyQ,The Postal Service,5yV1qdnmxyIYiSFB02wpDj,Give Up (Deluxe 10th Anniversary Edition),1WMxnk8FUn2RscMjOM6cq3,0,not available
35,Natural Anthem - Remastered,4PqspYNbVRwQgUGtXj6wCq,The Postal Service,5yV1qdnmxyIYiSFB02wpDj,Give Up (Deluxe 10th Anniversary Edition),1WMxnk8FUn2RscMjOM6cq3,0,not available
36,Turn Around,3mKQ7eTxsgT8EcTuLBXxUu,The Postal Service,5yV1qdnmxyIYiSFB02wpDj,Give Up (Deluxe 10th Anniversary Edition),1WMxnk8FUn2RscMjOM6cq3,0,not available
37,A Tattered Line of String,64ZutGB9OXDUDho6bcttqb,The Postal Service,5yV1qdnmxyIYiSFB02wpDj,Give Up (Deluxe 10th Anniversary Edition),1WMxnk8FUn2RscMjOM6cq3,0,not available
38,Be Still My Heart - Remastered,1j0KabI4ajLZqRYgK6k4PQ,The Postal Service,5yV1qdnmxyIYiSFB02wpDj,Give Up (Deluxe 10th Anniversary Edition),1WMxnk8FUn2RscMjOM6cq3,0,not available
39,There's Never Enough Time - Remastered,3kqvkfwVb3M79v6wtHZ3L3,The Postal Service,5yV1qdnmxyIYiSFB02wpDj,Give Up (Deluxe 10th Anniversary Edition),1WMxnk8FUn2RscMjOM6cq3,0,not available
40,Suddenly Everything Has Changed - Remastered,4BRk5evg6cMAoDWTwMfsGb,The Postal Service,5yV1qdnmxyIYiSFB02wpDj,Give Up (Deluxe 10th Anniversary Edition),1WMxnk8FUn2RscMjOM6cq3,0,not available
41,Against All Odds (Take a Look At Me Now) - Remastered,5OCZT3xK3ZgPUP8PJMqXyu,The Postal Service,5yV1qdnmxyIYiSFB02wpDj,Give Up (Deluxe 10th Anniversary Edition),1WMxnk8FUn2RscMjOM6cq3,1,not available
42,Grow Old With Me - Remastered,77HEETJcHtyOXmxiPVSwTa,The Postal Service,5yV1qdnmxyIYiSFB02wpDj,Give Up (Deluxe 10th Anniversary Edition),1WMxnk8FUn2RscMjOM6cq3,0,not available
43,Such Great Heights (John Tejada Remix) - Remastered,4KQ7VqFYeeMJyBZVnpEMdN,The Postal Service,5yV1qdnmxyIYiSFB02wpDj,Give Up (Deluxe 10th Anniversary Edition),1WMxnk8FUn2RscMjOM6cq3,0,not available
44,The District Sleeps Alone Tonight (DJ Downfall Persistent Beat Mix) - Remastered,4yYDCu6lSVcCNYSVQVvwxp,The Postal Service,5yV1qdnmxyIYiSFB02wpDj,Give Up (Deluxe 10th Anniversary Edition),1WMxnk8FUn2RscMjOM6cq3,0,not available
