A Sub Pop Fall Playlist,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1351,subpoprecords
1,Blood of the Fang - Single Edit,3lJ3qitpcQ7nh2UhYmImYo,clipping.,5HJ2kX5UTwN4Ns8fB5Rn1I,Blood of the Fang,0j3IYm9sSxHMPneqnbpC5D,48,https://p.scdn.co/mp3-preview/c9bb026d341082be49e9a69bf0c2420fecb6e812?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Halloween,1H4uY9bALTyUUyKJAe7G2R,Mudhoney,7LuYiSXiWs86rwWJjEEgB9,Superfuzz Bigmuff (Deluxe Edition),5w4gJSJS1LaSJ5DgaC6Cl8,0,not available
3,Pumpkin,13OEX4Ehtz7v9fPXT4v6zu,Male Bonding,5uBih1nfHdYIQPvNvQAV6C,Nothing Hurts,3V5dnaiabt3HjBCULXUZ94,0,not available
4,Buy Her Candy,5PUQQ64TiRFsg5gnaeZtTK,Sleater-Kinney,4wLIbcoqmqI4WZHDiBxeCB,Dig Me Out (Remastered),0nbA26khGDRROFRo7D90w0,27,https://p.scdn.co/mp3-preview/4129e21f143cdf205a91d41a4cdb6995c4c5838d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,November,7FScdhpmfqEDSssbVqPEyk,Shannon Lay,1Kssd2mp7BMKGZUUKncUt6,August,7eYWxZmQSratPk0h5CKEpV,39,https://p.scdn.co/mp3-preview/edfe6537782c2bd38da5e202c0a2653955464126?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Keep On Keepin' On,41Toe6yHdqTAPJIMV1tKAL,Pigeonhed,7C5dkQXLoTE3OFE5qBTrBB,The Full Sentence,14kiiWfbRbN7qyv9LbtyLX,0,not available
7,One Hundred Fires,6aEBEe2hV0jzbCB6iTLNqp,Preservation Hall Jazz Band,2S0rCVs10P1Q0v51wmOrM5,So It Is,1NckW49WY4yHcI6j2kuZpV,19,https://p.scdn.co/mp3-preview/6fafda55fe46caa4f1f8a193b2cae42310e4ac6e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Monsters,3HmT4DE0Kkie4Z98UrZrt5,Band of Horses,0OdUWJ0sBjDrqHygGUXeCF,Everything All The Time,5uMfshtC2Jwqui0NUyUYIL,0,not available
9,Orchard,3hwQknUg7zl9Jh6qh18ohZ,LVL UP,5vgsJ5wyLQ7tw36OGRzJFv,Orchard,3NWEwPfEutaEvtpWKJ9U5i,36,https://p.scdn.co/mp3-preview/6abe1b38869831cc899dfaa6401fa6637e0a202c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Autumn Town Leaves,4xI1VwZa8u3ymeS8hsHKed,Iron & Wine,4M5nCE77Qaxayuhp3fVn4V,Weed Garden,1xKEX6KhO9pRM85WT7aOel,61,https://p.scdn.co/mp3-preview/bfe14a4b1f1ea281784e3e11962b23c97349bf68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Ferris Wheel,32cPv85z1KziN7KLC78Md0,Pernice Brothers,1CgvL3gASrnuI8SKXr8K7F,Overcome by Happiness,3kNfhM1FJzXUIFY3BPSXj7,0,not available
12,See You At The Movies,0S5TUQG3sHb5dmTOXpKzQE,J Mascis,1PokjXeIq2zVosXbTEaNlx,Everything She Said,3K46zmFJyL2tPjk3dEIgZd,11,https://p.scdn.co/mp3-preview/c793ff47409767717ae2b6d65626d543eb34cd7c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Rome (Always in the Dark),7aP2HavIcTtEznySmt0myq,Low,0wz0jO9anccPzH04N7FLBH,Double Negative,1zTkgOHx3mjrUvrhxq4osf,32,https://p.scdn.co/mp3-preview/c6b45c517c2ac87c1376eb02586bd3497c8ccef2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,No Regrets - Acoustic,4kp21kBSQyCPUqn6QnHz07,The Helio Sequence,6JoxwT8CwvpxxNaP55R6q2,Lately / No Regrets (Acoustic),7p2PwhPEUyu7bwAZdHBypj,11,https://p.scdn.co/mp3-preview/f99d8552fee08ebc2793274bc101a650345e5217?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Coming Down,16bwzB6w9ev11KOZ1RNNKJ,Dum Dum Girls,65ewrL6LvcNGMMRVlksNGS,Only in Dreams,6TEtRKzAhB3AQ5R0vnGTGz,3,not available
16,October,5iwaJT4NtXV4qdz0c0Nfkk,Rosie Thomas,5Tw6OSRLoU7IHTO8kHGRQr,When We Were Small,1KKzYfIw2Xy0NKW9kx6RhZ,0,not available
17,Dark Oscillations,6M4j10AOAND5wXcHBTWXKt,Loma,4oCcCzMjKNCjQTzxtVlOJT,Loma,1yXlpa0dqoQCfucRNUpb8N,24,https://p.scdn.co/mp3-preview/32131a32a90011727af719384c790e5b33e3c265?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Ghosties,6BPSJUylqx7Gel256LVnOf,Holopaw,2LQMERAetFUczButdvcsb5,Quit +/or Fight,3wXffZsMh2mreago4q5qNt,0,not available
19,Holiday,5MOJ0gG7MA6smvFisuhbRT,Poor Moon,50IPvQjKz8UULlrpWTmQbO,Poor Moon,36DJp43u5kLJqLPEzaLPYI,3,not available
20,Solitary Swedish Houses,1k4AEkUwDEKE6xF5ybBNDK,Chappaquiddick Skyline,1M7LzCFWQ3rTLiUsD6qSST,Chappaquiddick Skyline,3e346Lo1g6nBJ7OaioPAcQ,0,not available
21,Meadowlarks,6X1BxLkiqI55VnlgQKMdDD,Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,Fleet Foxes,6spTDEWQfiSsKjkR9NmuDX,0,not available
22,Fog Emotion,1z126diBDqL9Qaa1LnP7TL,Vetiver,7ACSlU8kTcQIbvpwLWze8E,The Errant Charm,71FMv0NMD0cKL0N9jV1dLG,0,not available
23,Ghosts,2mSuo3pB7VknzwD0WCS3RS,The Head and the Heart,0n94vC3S9c3mb2HyNAOcjg,The Head and the Heart,0xWfhCMYmaiCXtLOuyPoLF,1,not available
24,Kingdoms Of Rain,2MgXFVGnI26tHvq9pIF2xC,Mark Lanegan,1fpXM23IoNckJ7NDAm8YJQ,Whiskey For The Holy Ghost,27BpHyWhpt5lSZubFbBa8o,0,not available
25,Young Pilgrims,3a4MfJq8FunJPx0mKJ0hLQ,The Shins,4LG4Bs1Gadht7TCrMytQUO,Chutes Too Narrow,6VVLUOWDHodYKY3jDh8Sck,1,not available
26,Amber,28RdNL23MghWelr2c8NZqT,Yuno,36BjLtXEXIifbRrfc1Rtqa,Moodie,3zy1yXThxasrQ5mNeDpzCP,37,https://p.scdn.co/mp3-preview/ba0a6657a9d32f908018f79852ab34b7d18be9c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Psycho Star,210FIe1foJw0To7gfq1OpI,King Tuff,0uI2HyW0eIbTbyH3S2XDHI,Psycho Star,5n5gDJxmBHStboPBcGboNX,35,https://p.scdn.co/mp3-preview/3b304f14b3e4e322feca087699e2860b21b7f742?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Ballad of R & J,114jmbnvPzjB8ac2GYHzPM,Frankie Cosmos,0x4xCoWaOFd3WsKarzaxnW,Vessel,4hJOMXjaw7mYC0vbWAqbe7,31,https://p.scdn.co/mp3-preview/a9e2be103b5df750dd0badbcf9f5ae2d94f8d71d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Fallen Heart,7FwPfYB8HFyM6ITKiSBCGR,Jeremy Enigk,6jUpCAtHPCEowkiAo4bpWK,Return of the Frog Queen,0op80Yon5P6ofsCXr4oKPJ,0,not available
30,Umbrella - Remastered,7DTDa3tjsQW7PvMXCoznlQ,Dntel,1jf3CssdtSksxNa3uIpPzS,Life Is Full Of Possibilities (Deluxe),2RxcUcneYSl9nXsz0HrI32,0,not available
