Rick and Morty Expanded Soundtrack,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1195,subpoprecords
1,Rick and Morty Theme,2CjlO4k9UEekILJmHwtees,Rick and Morty,2M0kKcVuBsLFH5d12pW215,The Rick and Morty Soundtrack,3KapDfR6qHEKi4RBDpn19M,41,https://p.scdn.co/mp3-preview/54240abe4ec7c206205a8a31f3b5d84c167de933?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Jerry's Rick,5eRFyjnt9wYvUTgWHNvncf,Rick and Morty,2M0kKcVuBsLFH5d12pW215,The Rick and Morty Soundtrack,3KapDfR6qHEKi4RBDpn19M,37,https://p.scdn.co/mp3-preview/4f690cf3ce0171a22fde8bc4c0e1a49eda217911?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,The Small Intestine Song,6tkKdGm9lLEnu7ZbyUNkUw,Rick and Morty,2M0kKcVuBsLFH5d12pW215,The Rick and Morty Soundtrack,3KapDfR6qHEKi4RBDpn19M,28,https://p.scdn.co/mp3-preview/2a6c4a15a80c87e0d6b97e00c8ca3b63bc54c152?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,The Flu Hatin' Rap,7bL6jqYDlF4GbK3ad7KPtS,Rick and Morty,2M0kKcVuBsLFH5d12pW215,The Rick and Morty Soundtrack,3KapDfR6qHEKi4RBDpn19M,33,https://p.scdn.co/mp3-preview/837f10b26a6609f1f1fb9827f53489fd94671e34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,African Dream Pop,1vxDsrFGSfyVXb6IMr5mUu,Rick and Morty,2M0kKcVuBsLFH5d12pW215,The Rick and Morty Soundtrack,3KapDfR6qHEKi4RBDpn19M,35,https://p.scdn.co/mp3-preview/d644221941253cfb937d86bb0b77089a29f82e35?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Look On Down From The Bridge,010ALbbh5KlQ4fKWgSdhRd,Mazzy Star,37w38cCSGgKLdayTRjna4W,Among My Swan,4mhpbf7jYc0L1nBceoebIE,59,not available
7,The Rick Dance,0EfZqCz0bisCLHgJ5zEyLd,Rick and Morty,2M0kKcVuBsLFH5d12pW215,The Rick and Morty Soundtrack,3KapDfR6qHEKi4RBDpn19M,37,https://p.scdn.co/mp3-preview/afb897fd5d7c09dd2991a998fd6c283abadc69f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Goodbye Moonmen,7pftXfDPCxObGz8eOZ4zrh,Rick and Morty,2M0kKcVuBsLFH5d12pW215,The Rick and Morty Soundtrack,3KapDfR6qHEKi4RBDpn19M,49,https://p.scdn.co/mp3-preview/ff8c7a9526bb2768f3e5d2c3176e47fe87da4ec7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Summer and Tinkles,0B0fXCdbn14HOCQpVVh6nT,Rick and Morty,2M0kKcVuBsLFH5d12pW215,The Rick and Morty Soundtrack,3KapDfR6qHEKi4RBDpn19M,32,https://p.scdn.co/mp3-preview/39f29f183b19416089353cfbf122b753454a492a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Do You Feel It?,3lOok0REf4j3790abX26PR,Chaos Chaos,6D6rjLdxyE5vwhMlkuQq0E,Committed to the Crime,061IeHu2QcmToSRzRkzeqM,63,https://p.scdn.co/mp3-preview/e2e5fde057cab325e0ea745ef766f550d2df1f3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
