New AF!,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1389,hot97.1
1,Fendi (feat. Nicki Minaj & Murda Beatz),4kF9ebsLYzO3MMZI6gYbyz,PnB Rock,21WS9wngs9AqFckK7yYJPM,Fendi (feat. Nicki Minaj & Murda Beatz),5ukHOb7uhXyvruk2YaAbt5,61,https://p.scdn.co/mp3-preview/52285cfca2779519c8ab259e2e7db834e21dbfc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Panini - DaBaby Remix,4SDgTLDYrJ2UrHbkRkg7MD,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Panini,71BrrQxz8mZAneNSDE9Lov,85,https://p.scdn.co/mp3-preview/d7592fb6ede98cad8fc13bd08d01a2cafcae5a2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Behind Barz - Bonus,5r7WvQtyPfy1xch5zMgGRp,Drake,3TVXtAsR1Inumwj472S9r4,Top Boy (A Selection of Music Inspired by the Series),334X6XoNKUzpAQbm5FPsMh,83,https://p.scdn.co/mp3-preview/73e9e47faa119ff50413dc7068362cbc1aef6c65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Ye,3FskQrDXcY24ur2fCvz35O,Burna Boy,3wcj11K77LjEY1PkEazffa,Outside,26du6obYLeY1vf6xIJ1l0D,73,https://p.scdn.co/mp3-preview/b2e484ca60017881f6ee6491e530ef52e4ec8b36?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Leave Em Alone (with Lil Baby & City Girls feat. PnB Rock),6uIR8eWWsyRgYG5LDAR7Po,Quality Control,6i392l38cR3uBPF0DbNs7S,Leave Em Alone (with Lil Baby & City Girls feat. PnB Rock),6V7d97v8C2AfRYrc91Hmn2,50,not available
6,Hot (feat. Gunna),5Z8HZM6iQMhhqyPcCGY5g9,Young Thug,50co4Is1HCEo8bhOyUWKpn,So Much Fun,1bnHPO4dKK7IjvgrtVBcQh,89,https://p.scdn.co/mp3-preview/ae942ea0edeae519e31555386d89b49e5242a62d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,YES,49npsHkkRrF42IxwU10Egt,Fat Joe,3ScY9CQxNLQei8Umvpx5g6,YES,0E74lJz7EpijEP2YDHGDYh,73,https://p.scdn.co/mp3-preview/b2bbf9072aed9b255c6176f96b1ed7ed7625303f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Safe Inside,4Qvi3NcJsSdK2DyrcdNkMz,Arael,3Qx4fiY080cY8vyPA0q1zX,Safe Inside,5T5BlNcyi2uyL5vsAI0qmi,6,https://p.scdn.co/mp3-preview/5c7549dfeb3295d6b6ed0c64cfc040b9e56a9886?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Bed Tyme,62OGEbbDil1e4F2IIlnPJA,Loaded Lux,6zRVoQ1aCEUA2aXkbJQiAe,Talk Dirty 2 (DaLux Edition),0sDBBQYI0OJ7JtjtSKOYmz,20,https://p.scdn.co/mp3-preview/042b7777099f67bc5a14dab071c07986a1d2e8ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Iman,2SbJ2Ab1MqQWYNhOPodHot,Rapsody,6NL31G53xThQXkFs7lDpL5,Eve,4W5qCJNSN3oNHB986TdO9S,51,not available
11,iPHONE (with Nicki Minaj),3GX2hFAekmSduZzcS52OnR,DaBaby,4r63FhuTkUYltbVAg5TQnk,KIRK,1NsTSXjVNE7XmZ8PmyW0wl,77,not available
12,Dior (feat. Gunna),683tYxiTlWzupDpaZ2mCv4,Moneybagg Yo,3tJoFztHeIJkJWMrx0td2f,43VA HEARTLESS,1DMa1o7j2548zVFXRzRe7f,69,not available
13,So Brooklyn,2ilkJUTXjd773UKTo3tZe6,Casanova,6dXsR7VDJvXnF1LTZlwULx,So Brooklyn,6GyFv0GLkVUF3X5kTAzFxm,59,not available
14,Juicy,2hep2ppSOX2eUbMjv259KM,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,Juicy,3C8w2Wr2dGfJYoUOioDcxe,53,https://p.scdn.co/mp3-preview/64722db7546ffdc2e163e7ff001e675425159068?cid=fa83a2fec7c440b7a2795d600d6b2c7e
