Punk Español,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,46348,spotify_espa%C3%B1a
1,El País de Alicia,4QAw1unWjQ1a2XMwGc06Ie,Envidia Kotxina,0ecMaXEm4sV6sndUYsyvmU,Difícil Ser Humano,1zSktJaNyIi1ot2Wupn4VZ,39,https://p.scdn.co/mp3-preview/f1990808cfac94a4dedc4dec4075e0d98eb4faa6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Ellos Dicen Mierda,6bsiPYRqISKkHN9FpgffKP,La Polla Records,3vHlZN6pTa2zOl2eVxiEdJ,Ellos Dicen Mierda,0QjDaIXJLrgirtJMFWIu8R,54,https://p.scdn.co/mp3-preview/965253f5f4f0e727e9746dfbbe70c964ea485f8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Mi Primer Amor,2oRmhBSPhWNScSkwR7x8xi,Piperrak,0kya4eL7YgduZ1RAbO6Uou,Arde Ribera,4miZbn6vSzsHLvCUMSBX1s,51,https://p.scdn.co/mp3-preview/7640423ace992db81df4e842c2b8c349a5008d15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Las Drogas,12UZTr5xsKm79TzQkmYRUf,Segismundo Toxicómano,0sKBEhvr6hz7Wpptw0fY8U,"Un, Dos, Tres, Fuego",6KqECOoCoekQjpDd0oIYxS,42,https://p.scdn.co/mp3-preview/9a307ce3187699a772e77217e5de8e2f34a60cc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Ante la Muerte,38QGYGRhXCPecNslTifxfV,Kaos Urbano,0u5LMlVeRfZZuh2Nxowii4,Ante la Muerte,7vDR2G7v27naFB98tQJqMZ,37,https://p.scdn.co/mp3-preview/a29836f63a808f89b1ca72e0265e31342bf5cf5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Prefiero Caminar,0SUYFrnEmh4QZOdThDoJ5B,Disidencia,1ym8Cw2gG6nn8hgk4Vjkht,Bienvenidos a Occidente,1F2GuNExWo3absC9LEqEcY,31,https://p.scdn.co/mp3-preview/4f7b4b35c58fdf265129fa7cc18f382df7eac9a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Txus,19cTnpZXsoNpah6J4q13iP,La Polla Records,3vHlZN6pTa2zOl2eVxiEdJ,Salve,57AwljF0RpTwtEd5A1SzUP,47,https://p.scdn.co/mp3-preview/a5a286f8d1afb5e5eea5755d7ced1ea943b21d80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Kualkier Día,1I9u9TGitfcJzOXV1fCM9B,Piperrak,0kya4eL7YgduZ1RAbO6Uou,Arde Ribera,4miZbn6vSzsHLvCUMSBX1s,47,https://p.scdn.co/mp3-preview/83a1092d86b71484c7ad3a6617d8651f7a44ff3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,El 4k Se Llevó a Mi Chica,18b2UvdOlTpR3IMru5Pfya,Lendakaris Muertos,6x6bFaWdzVQM6e7ke2ysMc,Podrán Cortar la Droga Pero No la Primavera,6YVmHQN5rdkLupIaszQxK2,41,https://p.scdn.co/mp3-preview/8c1991bf3b0069cfd378a6399fcd07cf89e71833?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Sangre Proletaria,7kRW6x17ZDtzFCQpzxMTFW,Kaos Urbano,0u5LMlVeRfZZuh2Nxowii4,Sangre Proletaria,6kwUrq1PfZ6TvbTvusdwbJ,32,https://p.scdn.co/mp3-preview/a2263e419db93b4231f71ecf3e7bdd8a4b630091?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,La Vida Sigue Igual,4jyuKmz9LEpVe1gF7nbFNB,Tijuana in blue,35LHJRKlkpHkACfkoyqqT4,A Bocajarro + Sopla Sopla,2QoZ36rmjP1gyQIQ2aAB9r,33,https://p.scdn.co/mp3-preview/d65a68df1a6446d016695ea255e0deb985bcc1a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,"Ni Descanso, Ni Paz!",0b5PjlQGnxkjNThxUmCSGP,La Polla Records,3vHlZN6pTa2zOl2eVxiEdJ,"Ni Descanso, Ni Paz!",0jndA7RswPbdGEYEe4Tq3Z,42,https://p.scdn.co/mp3-preview/0b58ea22fc67bfd92fd72fd6240d5653de23f3dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Tiempos Salvajes,3v1MxdLiIbC3oWLNVO9J2C,RADIOCRIMEN,6mA005uHpxR9wUsPYb79dK,3er Grado,3DRz1egfDO17AbHeU1J12f,31,https://p.scdn.co/mp3-preview/ce44e7ca1f80785d2a89fff95f3a6d8babd419e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Por ti,7tbmPVO7BOZ3uBTkQ4lwFV,Segismundo Toxicómano,0sKBEhvr6hz7Wpptw0fY8U,Escapa!,6MQUQgI1RKD4wHu2Qc16iU,47,https://p.scdn.co/mp3-preview/83f000fe50e626f1c5641b9c1b3d938d5be4427d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Vuelve,1jYliU7ZnsBHiqBGmGYi6E,Kaos Urbano,0u5LMlVeRfZZuh2Nxowii4,Suburbiales,5f4Pwwq1Ru09eaDslW55X2,31,https://p.scdn.co/mp3-preview/f1cd029a4cc420d2281ed9020dc82d00642263c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Mil Historias,7mElnVvJoNpmTDSPvOJMUB,Kaos Etíliko,5y9aHzw345UfAGA1Db5BPy,Porsupuestón,4fhyGd8qDAkvZXmDvLYixi,39,https://p.scdn.co/mp3-preview/71a46bb14872d3b448708395b3ae3fcbe3e39968?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Daños Colaterales,0m1jWuJipbtwtprrYqq0uR,Envidia Kotxina,0ecMaXEm4sV6sndUYsyvmU,Cuando Las Bocas Comen Silencio,2XnYnlNmP1gxV7J1MqCuCK,0,not available
18,Nos Engañan,0WFeE2O8RI03RheJ4PPbDr,Parabellum,0JbJ9sG3cB719QmmkIRTPQ,Envenenado,5GO7H2fSWsSs8QA7ahTcsK,33,https://p.scdn.co/mp3-preview/26783c17d7d6d0e5058631ecd301a2eec5a959b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Amor Frenopático,7oweiNEHHh3m3ReFDDSCyB,Commando 9mm,4CaLrZJU2xkAMMCGkuvFGP,La Gran Estafa,6pf3sJat12fcKc9VtUYGiA,17,https://p.scdn.co/mp3-preview/64e42293193e95e7f84fba94703458e8e7337543?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Don Vito y la Revuelta en el Frenopático,4EBFU2ujZgudwRUsi588jo,Kortatu,2bSQxEqvD23Y4W6ztHaann,A Frontline Compilation,2GUirHCExX549jcIgaYWKO,36,https://p.scdn.co/mp3-preview/932bf66c411339e52025800d0a3615f6741b1a52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Jarama,749QVthAEMdMPQdZBLQ98S,Boikot,0wppCmJl3glHZZScLcs4gn,Jarama,0Xturr8pgzoF9M6gb0UPlh,48,https://p.scdn.co/mp3-preview/a9f2b0db1bebdf45f0c617990be1c8f3da1ce8bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Esclavos del Siglo XXI,0tk6HwFFBSkbrn8sGKaZgq,Gatillazo,3XrunnoiCGkRTanrnsPRam,Siglo XXI,2fwFXVTTeMyJj7IbIoFQZy,48,https://p.scdn.co/mp3-preview/c2d26ca36a084d0817194993cf3d2e1fa1bc2a51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
