De Camino,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
17,Lost In Japan - Remix,575NJxNUVDqwJGdzBrlLbv,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Lost In Japan (Remix),3ynoYncFXzo2OfPT8j93Pw,78,not available
18,Stay (Don't Go Away) [feat. Raye],4YhN72dRYL2Z3MsaKyT7rS,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Stay (Don't Go Away) [feat. Raye],581MrXg5n979mmvZaC6AOE,79,https://p.scdn.co/mp3-preview/e861389ed2b773dc0aa5f5b96aa2bc0eed9bd09d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Find U Again (feat. Camila Cabello),1HpzOCZbNWzxvvXfSGtSrX,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Find U Again (feat. Camila Cabello),1GySemCUsaTUREhIPAF3hH,80,https://p.scdn.co/mp3-preview/80c0b6e9248e7c684425557e497ea30764c4e9d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Happy Now,14sOS5L36385FJ3OL8hew4,Kygo,23fqKkggKUBHNkbKtXEls4,Happy Now,6nAjd2MlBY1f1mNu6BsWLO,83,https://p.scdn.co/mp3-preview/a2c9677593d52774f89c7d2dd2e810ba4faac01c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,One Kiss (with Dua Lipa),7ef4DlsgrMEH11cDZd32M6,Calvin Harris,7CajNmpbOovFoOoasH2HaY,One Kiss (with Dua Lipa),7GEzhoTiqcPYkOprWQu581,85,https://p.scdn.co/mp3-preview/34b3b95afb8e1d34363f01b194b4a729100d3710?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Happier,2dpaYNEQHiRxtZbfNsse99,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Happier,78EicdHZr5XBWD7llEZ1Jh,90,not available
23,Ritual,3M9Apu4OZfylLTFKvgEtKa,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,Ritual,0efvl0HsK2xxttk4IVOJry,86,not available
24,No Sleep (feat. Bonn),1ahVFh0ViDZr8LvkEVlq3B,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,No Sleep (feat. Bonn),7KJTuTXYSnBGNgAxte3CSg,79,https://p.scdn.co/mp3-preview/09f423ce9a3235ab29947446e4d88a36a97f72a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Selfish,6xUy203RnyyOfbqf96Nven,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,Selfish,23RN2ZUUWMissFUhN7qgv8,71,https://p.scdn.co/mp3-preview/f0a8c630b0867b03e094efbbc3886dda34cfe6a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,IDGAF,76cy1WJvNGJTj78UqeA5zr,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa (Deluxe),01sfgrNbnnPUEyz6GZYlt9,83,https://p.scdn.co/mp3-preview/d8a0e05a79451d12c6cb5425c50c8d2ff00d4705?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Flames,33IOhptvC2Qoy2UhjiHXLV,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Flames,3B8J3BMp7lMA5YR5bUXHGK,78,https://p.scdn.co/mp3-preview/825f6901f430e501706447d3704c2953163ff8a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Wherever You Go,14nIFzHQf1OBWf6VHVR8DF,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,Blue,6x8gRx7RDvPckYBzPodW8w,34,not available
29,World Hold On (Radio Edit) [Vintage Culture & Dubdogz Remix],0VdwHBLCTSdrTJFIjWOsEC,Bob Sinclar,5YFS41yoX0YuFY39fq21oN,World Hold On (Radio Edit) [Vintage Culture & Dubdogz Remix],0wohygLfvrO6whUKOINTqm,62,https://p.scdn.co/mp3-preview/799ab12e951114709a57cdb8831db2cd68c7c2cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Heaven,0vrmHPfoBadXVr2n0m1aqZ,Avicii,1vCWHaC5f2uS3yhpwWbIA6,TIM,6Ad1E9vl75ZB3Ir87zwXIJ,84,not available
31,Speechless (feat. Erika Sirola),1rCcsYnmqbMYdkG7kS9GC5,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,Speechless (feat. Erika Sirola),6c9vwMfJN8ojcFFmPWEPRE,80,https://p.scdn.co/mp3-preview/b1950bbc4be0ad9ddd847f762117dd6614b6015c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,High On Life (feat. Bonn),4ut5G4rgB1ClpMTMfjoIuy,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,High On Life (feat. Bonn),1GUfof1gHsqYjoHFym3aim,80,https://p.scdn.co/mp3-preview/818503ffe3cd132ec5729384ce3f0efddcade342?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Beautiful Lie,3yppmP5ZKNZU1ZgaOU0xmQ,Benjamin Roustaing,5soL2yvcsjVjFBaAF4gcdI,Beautiful Lie,6KPMif85EfGcLEpvHaipvt,50,https://p.scdn.co/mp3-preview/538ae6e638e3237eb5ce6661dac8dfbe406ccd79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,6MDME20pz9RveH9rEXvrOM,Solo (feat. Demi Lovato),1q7a5wZeti0neU2jDn8Dz3,82,https://p.scdn.co/mp3-preview/ccfd1b80223079c120eeec6e83c7771eb74ca27d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Only Human,0DiDStADDVh3SvAsoJAFMk,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Happiness Begins,1Uf67JAtkVWfdydzFFqNF2,88,not available
36,Nothing Breaks Like a Heart (feat. Miley Cyrus),27rdGxbavYJeBphck5MZAF,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Nothing Breaks Like a Heart (feat. Miley Cyrus),2hBfao8GWZwHlUGDB8HVQO,82,https://p.scdn.co/mp3-preview/d77c0f82619faf3fa4d6a34a35938820b3389ae9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Giant (with Rag'n'Bone Man),5itOtNx0WxtJmi1TQ3RuRd,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Giant (with Rag'n'Bone Man),4PwXTHenZZx7ebgsnTM65K,84,https://p.scdn.co/mp3-preview/0f2bfeddc5705a09caf868f7e5aebf7e9fd8b6bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Thunderclouds,5a8RPWgKSmcGBGcffmIrUi,Sia,5WUlDfRSoLAfcVSX1WnrxN,Thunderclouds,6LK12zrllpjwB43YA4QX8d,23,not available
39,bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0S0KGZnfBGSIssfF54WSJh,97,not available
40,South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,No.6 Collaborations Project,3oIFxDIo2fwuk4lwCmFZCx,89,https://p.scdn.co/mp3-preview/7b43dd0c94b0af0c0401381a683d2f4833180ba3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,3v6Ji4uoWtKRkhuDUaxi9n,In My Mind,1c79SozES9Eb3Lzf9KVaIa,86,https://p.scdn.co/mp3-preview/93c16bb3fc2389f39db64a559ddac0d84bb15e4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Lovely Escape,4C9Q0n6vzuXiQksM2qM8hC,Charlie Brennan,3YzXK1DQ9EkWqwmUkk6yc8,Lovely Escape,6BshwPSLMKt1KUtlh0ZixO,55,https://p.scdn.co/mp3-preview/e3610ca5c5f374410b4cbe9d914e861a69efebd0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Anywhere,7EI6Iki24tBHAMxtb4xQN2,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,Anywhere,3syh4e0H2YnXmzGzP5Rd3G,75,https://p.scdn.co/mp3-preview/ec024df926734cd185ae9fde8d081cc4d451c4d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,"thank u, next",2rPE9A1vEgShuZxxzR2tZH,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",684W6NpKllEexqQlGqetCi,32,not available
45,Rescue Me,0mjAU3yKR1QnXnHtjGJqTM,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Rescue Me,57BhVBJbVPfIbwLANO5fSe,88,not available
46,Perfect Strangers,1Te8WIfLudxjHTr66BL0JK,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,Perfect Strangers,3unvtEoEI6Ga2FMKotI20p,66,not available
47,Out of My Head,3k2fZoNTfzrFSBRP5QWSW4,PYNNO,0FDAowft7CTLIjbXOHKQki,Out of My Head,3SfmlXo0vpLaNtT1dudOen,46,https://p.scdn.co/mp3-preview/ce0af9c9f93a7656ab506249eaf30ccc3fd3d1c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Eterno Verano,2QOtabBloSf7iti6MndGIs,Miki Núñez,2hahtdJusGYC77DKod4qfB,Amuza,28J7X3YF7SyRGoCvPJv1O9,63,not available
49,New Rules,6tF92PMv01Ug9Dh8Rmy6nH,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,2vlhlrgMaXqcnhRqIEV9AP,58,https://p.scdn.co/mp3-preview/75a1b521de23958a2db9acf4fc8151999ee54bd7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,All This Love (feat. Harlœ),0nxYyX5PIHJqF4VSb4CIFV,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,All This Love (feat. Harlœ),3mMaKYr6aPtFSHYUr7acxJ,77,https://p.scdn.co/mp3-preview/98487242c73774728294bd1292f3435e40bf6034?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU,DJ Snake,540vIaP2JwjQb9dm3aArA4,Encore,02sEJTj1sye1JaqxqpcSCp,82,not available
52,Lover,0MAwa3gzHXuyttt1MuYp3g,Sebb Junior,0oP6v3SuOC5jPc5pGUQdsD,Hold On,0ANpdLlQy7j2saTRlGMh1m,41,https://p.scdn.co/mp3-preview/e399568cca78751c069303a6a39cfa7c926dc187?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,El Secreto de las Tortugas - Version 2010,3hlYxsbq75SWlRfN7XR7Ax,Maldita Nerea,3heR1it0slFXjaa7E62zpw,El Secreto de las Tortugas (Version 2010),3HCbcwsHZ8nLflxd68Yy2N,61,https://p.scdn.co/mp3-preview/970a13087599db01a2cf2a0fa39b7f97d21f7c6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Long Way Home,1zZPjx3m2M604sI7GpI2ZR,Lucas & Steve,5wwneIFdawNgQ7GvKK29Z3,Long Way Home,0gsRK96dxwHjosLKpHgns4,69,https://p.scdn.co/mp3-preview/8006d8e2384d526bae40c85f31e9cf454180c0fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,The Same Way,1Rmxhk9QkgjJAPifwkA4uM,Don Diablo,1l2ekx5skC4gJH8djERwh1,The Same Way,1dW1vYhyo4srb9XqVNI6UZ,67,https://p.scdn.co/mp3-preview/c3375c5e7f159870c8072ef6d07fea4a221b6937?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Not Ok,6aoGtdWXBkYQ2O2wnyIz2x,Kygo,23fqKkggKUBHNkbKtXEls4,Not Ok,3GTuto6NDtZegL6idSk183,77,https://p.scdn.co/mp3-preview/b8abf7d0a5e3beabeaa6757d93599ce578e05854?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Rather Be Alone,6L32iYnvUR3JrHjxShOESf,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,Rather Be Alone,2hedSL1FfNMZFUJDhyQAwt,66,https://p.scdn.co/mp3-preview/962f05539a25ef628e21f9156a9244f8ac405ad9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Wolves,0tBbt8CrmxbjRP0pueQkyU,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,Wolves,5gQZvWM1o8NkQndueJtZcP,83,not available
59,My Way,1vvNmPOiUuyCbgWmtc6yfm,Calvin Harris,7CajNmpbOovFoOoasH2HaY,My Way,0dzeoQhVNzKkwM5ieOJC54,78,https://p.scdn.co/mp3-preview/33060c2bf30b7b5f6db0d539cdac800e93b0c49d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,All Falls Down (feat. Juliander),5yFSF6qQA1rcLsQRnBsZgb,Alan Walker,7vk5e3vY1uw9plTHJAMwjN,All Falls Down (feat. Juliander),4hlAdqONoJhkjf8u9XMjQr,75,https://p.scdn.co/mp3-preview/ad3f48f868d4ada8786b162ce539a801d85a88d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
