De Camino,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,637164,spotify_espa%C3%B1a
1,Señorita,0TK2YIli7K1leLovkQiNik,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Señorita,2ZaX1FdZCwchXl1QZiD4O4,100,not available
2,Bam Bam,0gTcD1YjpfjqQbKDYQIFCG,Gavin Moss,6bTG3OP5laBeEb27xgfoqT,Bam Bam,1qKWxampsPg6cVApKRKZ72,52,https://p.scdn.co/mp3-preview/a202f937909a9845e8371103fd7d336970729cf6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,To My Love - Tainy Remix,5LciLoxa1gK70yIUeoHgRx,Bomba Estéreo,5n9bMYfz9qss2VOW89EVs2,Amanecer (Remixed),7jo5KFYHLHpbVX0glLHiIA,74,https://p.scdn.co/mp3-preview/fe5d0555597f1a611a58fb4e2b69b00bb6f7627b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,I Don't Care (with Justin Bieber),5Nux7ozBJ5KJ02QYWwrneR,94,https://p.scdn.co/mp3-preview/40d2bf0a16b4a4c7e5747a57943f9c0bbf5bc5ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,Sam Smith,2wY79sveU1sp5g7SokKOiI,Dancing With A Stranger (with Normani),1V9oE8bVilClrk5naqyyvL,89,not available
6,La flaca,2LsbizbOeNa4x6qsi2jAMb,Jarabe De Palo,5B6H1Dq77AV1LZWrbNsuH5,La Flaca,6mD9lN6mqu4313KpY1RfIp,72,https://p.scdn.co/mp3-preview/de8001a943205b7ac3ebc910633a5e67421e2c41?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,I Want To Break Free - Remastered 2011,7r8Yc8CBLuk18OJ89u5ou8,Queen,1dfeR4HaWDbWqFHLkxsg1d,The Works (Deluxe Edition 2011 Remaster),7K6YvloaUMP4rnQQVzdBEo,3,not available
8,Time - Original Mix,1ngvdi0Srh3TSPFoDs3PUs,Brian Cross,6hKA4fRHqmcL8WYEmJfCaY,Time (Original Mix),48EkthHCGjt1ixpIWhNZb7,52,not available
9,Dancin (feat. Luvli) - Krono Remix,6WkJ2OK163XXS2oARUC9JM,Aaron Smith,77qukKzmdI5BeMBR7WGUrN,Dancin (feat. Luvli) [Krono Remix],2J2f6vGACFrRghO1Ki74BE,85,https://p.scdn.co/mp3-preview/9b466e4d228c0886f2826112b80a70c9eb0c6bcb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Promises (with Sam Smith),2tpWgbBdzjkaJVJzR4T8y1,85,https://p.scdn.co/mp3-preview/c78e0a33c394091314b35a2fd42b0102cc8fb1cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Electricity (with Dua Lipa),5N4erncE7kuUccm7zEmwzk,Silk City,2X97ZAqRKRMYFIDqtvGgGc,Electricity (with Dua Lipa),429B3se6xtZuvblNnS2iy7,82,https://p.scdn.co/mp3-preview/d4362730866e97d2e89776ceea7ad31cc5a44541?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Let It Be Me,3sHuIjfAzluc6S9cXoqfqC,Steve Aoki,77AiFEVeAVj2ORpC85QVJs,Let It Be Me,5ocW53VBnOprl6EAMOLGet,43,not available
13,Sucker,4y3OI86AEP6PQoDE6olYhO,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,Sucker,4W0r9HOcuCC6Vh7aze2hwi,88,not available
14,Don't Stop Me Now - ...Revisited,3INsYP1Y8GG4qJvBsKCdXC,Queen,1dfeR4HaWDbWqFHLkxsg1d,Bohemian Rhapsody (The Original Soundtrack),6i6folBtxKV28WX3msQ4FE,69,not available
15,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,2wY79sveU1sp5g7SokKOiI,How Do You Sleep?,7baaCf70tVcUBL2bbkuXjo,96,not available
16,Kiss and Make Up,7jr3iPu4O4bTCVwLMbdU2i,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa (Complete Edition),0obMz8EHnr3dg6NCUK4xWp,81,https://p.scdn.co/mp3-preview/7328fdaa04a8b5cada8b8e95a3dfe59913f9183c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
