ON REPEAT,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,That's Life (feat. Mac Miller & Sia),5h0Jgt873QtgL6nJRBGfT6,88-Keys,6RedK3o51NbUJuJxXlT4kj,That's Life (feat. Mac Miller & Sia),1a7behQFUiQ9iHjSJxiZXE,72,https://p.scdn.co/mp3-preview/7a29bb84794555fc0f10b71f71e1413a52947464?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Robnhood Robnhood,0eBXrhiHm4NrYqjzjYMv3y,Robnhood Tra,3U6QnM9NTNaBkuPAQmINy2,Robnhood Robnhood,1UcyUP4pGmpPgqRZYLdPzW,35,https://p.scdn.co/mp3-preview/901828a3f7a437abbcf81d42d66b9c40edd1bac5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Loser,1REYJ5uXwXwbp4Cei3xYNg,ILOVEMAKONNEN,3aGFCoR8xGN6DKwvdzeSja,Loser,3erNZUQrZr1sbfpOLLSb4w,39,https://p.scdn.co/mp3-preview/92d3a374540583511f4b912cc160a46f9250dbc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,It's You,6moU77g9RQyMzHNuKEaQKq,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,It's You,40vQONzvJb6sKejDN3eWza,93,https://p.scdn.co/mp3-preview/1219afc55c445aa7c2776f6389a361a4fb55b570?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Crimes,03zerAGQzn5PLfYMfr03q2,Gallant,7wFDo161xYdeaiLz3KIHoM,Crimes,0aEP2IjyXVOQIqkEr7QQDI,52,https://p.scdn.co/mp3-preview/60070da77ca6248d8e37ac02f0cdb4ba3f745c30?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Sharpest Edges,3YAKKLkaNHlPmziEmRjZBe,Gallant,7wFDo161xYdeaiLz3KIHoM,Sharpest Edges,31OLQGS2LF0F3gUIBrVtgv,49,https://p.scdn.co/mp3-preview/e70fccec6d51acbf47629d76165761c30c8011e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Sippin' (Patron),7hzDC1dS7OJFd7WUS0RlWi,Q Money,1dqnbaIyoeXqdr0exT8fBc,Sippin' (Patron),15cDepuQBKdHTSDkCjWY9D,46,https://p.scdn.co/mp3-preview/518b7f4f8a9f2bd9240f4de84b2e0f06d67ecd90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Gemini (2 Sides),3k9ZjtTpDwZNu8YmGu0Dyx,Wale,67nwj3Y5sZQLl72VNUHEYE,Gemini (2 Sides),4DaiLGNyIJt05pMqs9Mjlj,61,https://p.scdn.co/mp3-preview/ce14cbf7740a8b4ce7aa7e79e4bebb5a6e4d1ec7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Digital,4hjvUQo7a2Y5uCTR0Wtkkc,IDK,6aiFCgyKNwF9Rv5TOxnE8E,Digital,3ZUPbvKeTsUb4XI0Cx5MLz,54,https://p.scdn.co/mp3-preview/6f1e7795e3e9d6d1d0048b68606a8442cd4bf62d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Bandaid,5ceE5dmect86aveQ8i9LRH,lilbootycall,4EPyKMgsR7JDuW9tL0AYZP,Bandaid,1Ym4RBF66xeNxjRsIAxQlK,36,https://p.scdn.co/mp3-preview/79ba0de30c9e3b6b63c8e1e9cc57d2d2f99e17f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Back When I Was Young,4K6xVVrBph7QBOk8SdgRzg,Lil Zay Osama,7rkcFChEJ9tCLcVevtu0Nt,Back When I Was Young,0t6qHnU8bqfQJ4XDV25QkN,45,https://p.scdn.co/mp3-preview/cfbc8b6e58386214b003f2a76d4f6c56d0d3bdb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Trappin Worldwide,2LEuHhQhv02wBCo8Eaxmxd,Robnhood Tra,3U6QnM9NTNaBkuPAQmINy2,Trappin Worldwide,2SMHv6Z9xE6xVCe9oOFUlD,34,https://p.scdn.co/mp3-preview/e6aafebed44e65031812bf4ce5e44ea2f1c631fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
