Miguel - War & Leisure,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,28,spotifyusa
1,Criminal (feat. Rick Ross),18MC2XdOQYheFq5HAyK7rJ,Miguel,360IAlyVv4PCEVjgyMZrxK,War & Leisure,05LEST8E8mkEIl2LRfUkcI,52,https://p.scdn.co/mp3-preview/cd275dedd424c58460f24394f528db0c2e51afb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Pineapple Skies,19EnyPZhNPbRoCxAuv5pKD,Miguel,360IAlyVv4PCEVjgyMZrxK,War & Leisure,05LEST8E8mkEIl2LRfUkcI,65,https://p.scdn.co/mp3-preview/3c8e1975b257abf627e2be6e056a443b3600cf76?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Sky Walker (feat. Travis Scott),5WoaF1B5XIEnWfmb5NZikf,Miguel,360IAlyVv4PCEVjgyMZrxK,War & Leisure,05LEST8E8mkEIl2LRfUkcI,77,https://p.scdn.co/mp3-preview/346fef42d6f419f25ce78866478f3d06637b05b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Banana Clip,6xagjcywpcyNFghafZPQJv,Miguel,360IAlyVv4PCEVjgyMZrxK,War & Leisure,05LEST8E8mkEIl2LRfUkcI,68,https://p.scdn.co/mp3-preview/e218b45d8a8ee66dcb538fbbee97f92db4547a66?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Wolf (feat. Quin),3SHJLQK4Nfgg7eYMvMElnF,Miguel,360IAlyVv4PCEVjgyMZrxK,War & Leisure,05LEST8E8mkEIl2LRfUkcI,49,https://p.scdn.co/mp3-preview/ae1c2c113627e638ccbdf9c3f71ed6c90499e8ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Harem,7JU0nyGvKLawxIQ1LYhJgy,Miguel,360IAlyVv4PCEVjgyMZrxK,War & Leisure,05LEST8E8mkEIl2LRfUkcI,50,https://p.scdn.co/mp3-preview/c9b31d2a0df1613182d21852de358e4e7f637c1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Told You So,736XrOvsUtOpuyLmPdjuG3,Miguel,360IAlyVv4PCEVjgyMZrxK,War & Leisure,05LEST8E8mkEIl2LRfUkcI,54,https://p.scdn.co/mp3-preview/11026560ac70fca502ecd4c75317f4bc2f28f05a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,City of Angels,6Lnn71AwH0uzSocADOF8ei,Miguel,360IAlyVv4PCEVjgyMZrxK,War & Leisure,05LEST8E8mkEIl2LRfUkcI,51,https://p.scdn.co/mp3-preview/a7113adfd2b1027e58b6c4acc3f0b0ab496c2e60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Caramelo Duro (feat. Kali Uchis),3LcjZGk0GBlPRe5XhYVGgM,Miguel,360IAlyVv4PCEVjgyMZrxK,War & Leisure,05LEST8E8mkEIl2LRfUkcI,56,https://p.scdn.co/mp3-preview/c562d6ecff9e22f1d3d0f31e4412759330885589?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Come Through and Chill,1m8WpLYXEiNVZchsWEcCSy,Miguel,360IAlyVv4PCEVjgyMZrxK,War & Leisure,05LEST8E8mkEIl2LRfUkcI,73,https://p.scdn.co/mp3-preview/b03521234f2079da47efdb746fb7497211c2e0c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Anointed,4hv7GT5g9qNnrxlocsOSYt,Miguel,360IAlyVv4PCEVjgyMZrxK,War & Leisure,05LEST8E8mkEIl2LRfUkcI,49,https://p.scdn.co/mp3-preview/cc51df53f10560b20537499d31dcb895f0ce5770?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Now,5XN9jwDlXAZ8j5nMcK7S1d,Miguel,360IAlyVv4PCEVjgyMZrxK,War & Leisure,05LEST8E8mkEIl2LRfUkcI,49,https://p.scdn.co/mp3-preview/212d4d78287d7b0052172e0fc7923216b9734625?cid=fa83a2fec7c440b7a2795d600d6b2c7e
