#ThrowbackThursday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,780281,spotify_uk_
23,Put Your Hands Up For Detroit,2T1Xemp92qxuUCAFBWfRrj,Fedde Le Grand,7dc6hUwyuIhrZdh80eaCEE,Put Your Hands Up For Detroit,5NaES6denS6wM2M2zV1YkR,60,https://p.scdn.co/mp3-preview/90e692887bf9764752e70afafea353927b9733df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,California Love,0LyLz6XsVs6wz85dK0S6EG,2Pac,1ZwdS5xdxEREPySFridCfh,Hip-Hop - West Coast All Stars,2BSJXSAUcltZVI2mJOu4uf,53,https://p.scdn.co/mp3-preview/7b2829f9bf2976a0591236c0aa643536dad34fed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Rivers of Babylon,78His8pbKjbDQF7aX5asgv,Boney M.,54R6Y0I7jGUCveDTtI21nb,Nightflight to Venus,0txzXbDfTn3vAdx77iCaXd,64,https://p.scdn.co/mp3-preview/730e80a5edf17dae29194d9fd7429d72957e2e11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Waterloo,3Dy4REq8O09IlgiwuHQ3sk,ABBA,0LcJLqbBmaGUft1e9Mm8HV,Waterloo,5gSBDA6ufk8UZejT4XR7av,66,not available
27,Surfin' U.S.A. - Remastered,0wz1LjDb9ZNEYwOmDJ3Q4b,The Beach Boys,3oDbviiivRWhXwIE8hxkVV,Surfin' USA (Remastered),6u5tGarzvESDsQiIpC4SlI,73,not available
28,Angel Of Harlem,7iBav4v8maicL8cWKGxFhQ,U2,51Blml2LZPmy7TTiAg47vQ,Rattle And Hum,7hIoJcH4ObWasDFq78u1x9,59,not available
29,Hollywood,4ixxz1GXB57Q6K2nbR4AwL,Madonna,6tbjWDEIzxoDsBA1FuhfPW,American Life,6makHXbA3KBYNlYEPXyFJW,52,https://p.scdn.co/mp3-preview/6a1d7634a535fe6f440b7d84143484450f7a5f7b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Copacabana,7ymci0G28zU8IFAezh2X7y,Barry Manilow,3alW3LYQS8K29z8C8NSLIX,Grandes Exitos en Español,3BeNEyGG0LmTrAOoBDHi8w,42,https://p.scdn.co/mp3-preview/e1db6a35d4c4bc2539edbb3268429691b5b5933a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Englishman In New York,4KFM3A5QF2IMcc6nHsu3Wp,Sting,0Ty63ceoRnnJKVEYP0VQpk,...Nothing Like The Sun,3mVCQqgwEvwD7lHy9KHi7R,72,not available
32,Rio,2SEM1OHX0POc27jbphZEpW,Duran Duran,0lZoBs4Pzo7R89JM9lxwoT,Decade,4P6rgSkSEXFGrpTk9NZUAj,45,https://p.scdn.co/mp3-preview/d44f64df8a5a49860888ba9e49d4c012de771165?cid=fa83a2fec7c440b7a2795d600d6b2c7e
