FEBRUARY 2019 BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,0,burgerrecords4life
1,A Day in the Park,4IxYku0DyO82mn6aYq34he,Those Pretty Wrongs,3azero10EBz68YUn4mWz29,Time to Fly b/w A Day in the Park,6TMznlSOQjHe1RUBbpJqs7,0,https://p.scdn.co/mp3-preview/c7328a10c1f44afaf3d97e75dfa35830f095b601?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,any other nite,5E0P8VeI3t612HPuE5ngS4,the dates,61QMn3fOB3fecaESYReqUp,ask again later,7jvgMlH7GiaiPNFQ1voSsk,3,not available
3,Stress Kills,6uuopziiKWIFcpY0gRYHg2,Faux Ferocious,3Ci9XbeZP2rpeIvmStcCAj,Pretty Groovy,5lsxS2CYwNMC4t6132rYRp,18,https://p.scdn.co/mp3-preview/af946029e2025a85bc434754d11f551544682837?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Scum / Species,3IJNEjmpCvgV9ay6HZGkTs,Mom and the Mailman,6qmpXzNAd1VMIUHqdL5ZBI,Tasty Meat,4VcDP4LUDjTpqgxtCpvvcN,1,https://p.scdn.co/mp3-preview/a072ecc48fbf9287c755c65b1a747d8f8d1b127f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Without a Name,4QEPIDXz560PULNUrO6xHc,Dream Cars,7Kir2BRlBB3IaAVX1X6AQG,Never Let Her Go,2JgUyGpUxvMCFqYV5i6mty,2,https://p.scdn.co/mp3-preview/e92f927f162153a887640f39143d5c3558f03ddd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Pub Feed,18LwPvdmTNJfo3B0ZIH2Zp,The Chats,1aQ7P3HtKOQFW16ebjiks1,Pub Feed,7DOje1n8YOwMhlPuWCi58j,54,https://p.scdn.co/mp3-preview/21876dddc1d6e128e2b6abff287e202deb8e83d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Prozacco,1DJZcELHcqb85L918aAMyp,Sir Robin & The Longbowmen,2P4dAt6pEnJyXUvZWdmhmm,Prozacco,2kGtCOMB8N8IKa03slMp0V,4,https://p.scdn.co/mp3-preview/c22e03b6d00372ea5f77fdaff3d388b7e728a371?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Lullaby For a Troubled Man,1qMM7VLMG7WxMyac4QVxD4,Gitane Demone,7KEJuMEVdCsk1lH5nFT2ff,Love For Sale,7hOJS6kwa8KyzTkMjHnPZo,8,https://p.scdn.co/mp3-preview/0ef2debff0cf9d1d5c122db13c4b96c9f68a4e19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Don't Make Me Laugh,5JozMMoiu4IBgsNfBXXKcp,Rinse & Repeat,3LZFx6FDLyv8zoCpORQIKn,Fig. 3,47jTCGvDN3jWZhBFPEvMVb,10,https://p.scdn.co/mp3-preview/1cb0ce6a6e364173cb358847211fc41c00901625?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Some Things Never Change,2G2fylyaJAYV9LgCY9gLMG,The Cowboys,5neOIAwXTESXpzU5Ag03hE,The Bottom of a Rotten Flower,5TFw3qR5dnwLCIr1VP2Gq3,14,https://p.scdn.co/mp3-preview/e301fb847578b7caa68b6a2552ba2eb4bd7886c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Swervin,1eVHhYJkA1BrGsnRwrpAnn,Harlem,4PWqvc4ydEyoyBhXPOxDyy,Oh Boy,6peMQ8ostiH81p1uu2NdKX,23,https://p.scdn.co/mp3-preview/2e35fa13f9960c604fbd8dd6ca12f73b9e373af4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,69,4v57pXSPsCJhubqMOhBBrT,CATCH AS CATCH CAN,71rZRYoYt2kiRILzagy5ue,Regular Vanilla,42nYW3JyrdkEu8uqWdpD3b,11,https://p.scdn.co/mp3-preview/0fe9cd4b8b570cf705b2a522d2f8d01587bb3275?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Ducks,71OwcEZfnnNKj4AQ761C1f,David Liebe Hart,5mGPKcf584CNkdIiUttTNM,For Everyone,0JEjlfWhDe7uoR7TbeJyOJ,2,https://p.scdn.co/mp3-preview/692a8c1abd3f9e338eb4138a3d47ecb56f8d6ca1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
