2018 BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,0,burgerrecords4life
1,Made Me Leave / Crispy Grapes II,4zI2t6q2Fs1EPHTxUtQWlM,The Sufis,252Qg4E3R9CHhd7qeeiMpD,After Hours,7EASGaQIk995EHTbWukxVI,0,not available
2,Metal Teeth,43nxcyKQqYT1ROsUGcpwhQ,Death Hags,0PulgZlDMcE2B1AQD4kITo,Metal Teeth,3AUMaWdfWouYDWf8NQkS4t,1,https://p.scdn.co/mp3-preview/93146ecf3066256c9e2d9b17344000ac4a184e11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,It's Getting Harder All the Time,7g2BEKJmfC3AeZzFex70To,The Pandoras,78pZmOVzqri8Qatmnz4Rhc,Hey! It's the Pandoras,76REwDvZKgk7JN7nv0GbZT,1,not available
4,2027,69Cfjm2bExnhkFqdJ8HZ6y,The Exbats,7gDtEXhShKhmqrdh2lpSsD,I Got the Hots for Charlie Watts,2OJpWE9QCFNpY89Or4tEFR,4,not available
5,Rock Paper Scissors,3OPiYiDMm1bNNp0oHPwn9G,Rolling Blackouts,2YeJdsF4SzXdK1LtRCO9dE,"Demos & B-Sides, Vol. 1",3Beuu4awSCebBDRwCGpFTf,0,not available
6,Searchin',5Drjj8MGBWFDa8cNUs8HLu,Donnie Emerson & Dreamin' Wild,3AZTz73CzKLrMn6aMd3rBg,Searchin',6AImS6FT8iZjHyQx5FEnID,10,https://p.scdn.co/mp3-preview/37053ade184ccc83043461bec45f0ce39f5b4b5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Sad Supermarket Song,4jY3nrmw8tpKcvFZEqMkDJ,Mozes and the Firstborn,64ongxKGEtJGrBBRow05fk,Dadcore,6CbRglBkIcPCDepAiYY1yp,37,https://p.scdn.co/mp3-preview/32aabe63ec78cce32c4c87c6568a4648d3f6bea9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Sunshine Grooves,7BAsumCh26BMwkdRURk272,Mikah Wilson,6yzuTd0bqmHNZCCjHNYpvg,Sunshine Grooves,0xxuaa27d4AJo0mkcHgosH,3,https://p.scdn.co/mp3-preview/bcde79adba66c326bf4745f2e6a416bf24b83c57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Laura's Robe,1LjdNbO4VBI9LLJewzxB8U,Tequila Jay,6ZnTfnz3kwTifT2wRLArAM,Goodtimes EP,0n7f3j4g59KFyO9w7Z08vy,0,not available
10,Sitting in the Back of My Car,1JBJlyCE1psGZ7rxvlkV2D,Puzzle,3JDZy6EWo6V8yABANunf6V,X Hail,2Q5IwQf1W0Js29TyEbyvEQ,32,https://p.scdn.co/mp3-preview/c296d64c1537c20dd7f1ee0529ea8c97c3aaf39f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Narrow Minded,1epz6FwA943wepRCCCSvPS,O.S.H. Ode To Space Hassle,1z5FWiKCXrVYFqDfedNyEo,Love Won't Find a Way,4f6kbgKw9H15pM15lrNPzt,2,https://p.scdn.co/mp3-preview/5d85bde0a2c71ebb87cfd1ba02514ec0d3f1e88a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Concrete Concrete Anne,4rOPK7bW2gMGeio0gb4keD,J. Walker & The Crossguards,7rjrFHVKNo6rnorwShJTAJ,J. Walker & The Crossguards,4kawKs2RLuRGmNNnCPSutY,0,not available
13,Revolution,4ovSb5IJdoSG1U9JrD0exu,Gramma,0L3TxvboVLtHFw8ft84OqF,Revolution,1agc3BhaRZPBNx24V9BaH9,1,https://p.scdn.co/mp3-preview/e4076a47be277e472982ac6acd8d8f85b6f9c15b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Low Life (Future),4OVrfPsgQ4PvxBzWvD7i2d,Black Sea,0VlN2xEXtVTapFFt1pB4Qc,Low Life (Future),4SqVDLWhrOjA75BItWUWZD,0,not available
15,Mütherz,70wPBnCvgqo2hUXvb98FGx,Jacky & The Wünderz,7GjkamPb5ZIXmQfIegARSC,Let'z Dü Jüice,6irRjbeHavtUlxXOrBDRXS,0,not available
16,Krush,1DIMqh7dZms9eFZQNkpB2O,Tversky,2H2NwHErQadK2lAzZ4UXUt,Faking Funk,7pwYQG1GPpe31aZeCXeYpP,1,https://p.scdn.co/mp3-preview/dcd57efb69d3d07a39545610d376025ebf1a6263?cid=fa83a2fec7c440b7a2795d600d6b2c7e
