🇸🇪 SWEDISH BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,0,burgerrecords4life
1,Stockholm Syndrome,0bkvVXu3xQL7TrSOfPMhq6,Lucern Raze,7dI3P00ZhNevHfPf1zYkKn,Stockholm One,5F7q8C09NyGztUgquTA9h6,6,https://p.scdn.co/mp3-preview/7e100ea847c3789d96b521425fee578dd6f0b9e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Carana,1siFt9aacq4Sj3IelljYbM,Lucern Raze,7dI3P00ZhNevHfPf1zYkKn,Stockholm One,5F7q8C09NyGztUgquTA9h6,0,https://p.scdn.co/mp3-preview/3c3a2013d4bf330a9451f9007c823dc80ddf7464?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,La La No,1ZoF3BRO8GHdVPHUsKCQBR,Lucern Raze,7dI3P00ZhNevHfPf1zYkKn,Stockholm One,5F7q8C09NyGztUgquTA9h6,0,https://p.scdn.co/mp3-preview/f4b9a628b3836dbda992106d1edc6069d0f2ccc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Burn,7gquKPaEw7bXdOd0LV5Nnr,Lucern Raze,7dI3P00ZhNevHfPf1zYkKn,Stockholm One,5F7q8C09NyGztUgquTA9h6,1,https://p.scdn.co/mp3-preview/22d8a877b62e832fd2089a1ffa22c2f0a79315d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Yours To Keep,0Xr4SGFhBdQHFZpuwUldqd,Lucern Raze,7dI3P00ZhNevHfPf1zYkKn,Stockholm One,5F7q8C09NyGztUgquTA9h6,3,https://p.scdn.co/mp3-preview/c91e43d447507e1e04f6caa659a39699e0849e68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Hej,14jnVWc89hlfJ4FJ8y1iWm,Lucern Raze,7dI3P00ZhNevHfPf1zYkKn,Stockholm One,5F7q8C09NyGztUgquTA9h6,0,https://p.scdn.co/mp3-preview/152d0f6697927faec3d509e219f63cf1771cde61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Sunshine Blues,33IFCrbDRCygi4KVeXDlHy,Lucern Raze,7dI3P00ZhNevHfPf1zYkKn,Stockholm One,5F7q8C09NyGztUgquTA9h6,5,https://p.scdn.co/mp3-preview/d7cace1212bc2be5a95299c90730ae7c9fb61e01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,The Ballad Of Falugatan,5URCTwBmq7L9iGqBCCyNrI,Lucern Raze,7dI3P00ZhNevHfPf1zYkKn,Stockholm One,5F7q8C09NyGztUgquTA9h6,0,https://p.scdn.co/mp3-preview/ae5e2df5a6d715a4aacfdabedab95eaa4187ced5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Someone Like You,64fc1vsBAHLnmxs1w34Cth,Lucern Raze,7dI3P00ZhNevHfPf1zYkKn,Stockholm One,5F7q8C09NyGztUgquTA9h6,1,https://p.scdn.co/mp3-preview/b2870c720cc9998dd2c46d92c8114b604e29c3de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Perfect Crime,0F57k0lHS1eshLqlj7floV,Lucern Raze,7dI3P00ZhNevHfPf1zYkKn,Stockholm One,5F7q8C09NyGztUgquTA9h6,0,https://p.scdn.co/mp3-preview/23b82fffce773ecda00fd301c381ef119b1cfd94?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,I'm Only Gonna Let You Down,0jbwIAgKAltae7pCuSCYL5,Lucern Raze,7dI3P00ZhNevHfPf1zYkKn,Stockholm One,5F7q8C09NyGztUgquTA9h6,0,https://p.scdn.co/mp3-preview/4d283cd35b6f4ad1f8cd29aa3e2648cc1bac07f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
