25 Years of Summer Jam Hits,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
18,No Type,4scpF6J5uMBvoh6sFB7EL1,Rae Sremmurd,7iZtZyCzp3LItcw1wtPI3D,SremmLife,6eDx949ONWDCN0O22wFZf7,75,not available
19,Alright,3iVcZ5G6tvkXZkZKlMpIUs,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,To Pimp A Butterfly,7ycBtnsMtyVbbwTfJwRjSP,72,not available
20,Blessings - Extended Version,4UaWrzY75h1tAvlxa4NKP9,Big Sean,0c173mlxpT3dSFRgMO8XPh,Blessings (Extended Version),5Isq5L9DWNCRfvFAG6WFN7,55,not available
21,Energy,79XrkTOfV1AqySNjVlygpW,Drake,3TVXtAsR1Inumwj472S9r4,If You're Reading This It's Too Late,0ptlfJfwGTy0Yvrk14JK1I,72,not available
22,Hot N*gga,19gEmPjfqSZT0ulDRfjl0m,Bobby Shmurda,34Y0ldeyUv7jBvukWOGASO,Hot N*gga,5ptl9Sheh9eWaogxFOZ3PV,74,https://p.scdn.co/mp3-preview/db514620c64b34d46d7c00e25a8927689a99571e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,0 To 100 / The Catch Up,4jtyUzZm9WLc2AdaJ1dso7,Drake,3TVXtAsR1Inumwj472S9r4,0 To 100 / The Catch Up,5OkxLN5XaE9rLbgK2FuKBE,72,not available
24,Man Of The Year,5SsR3wtCOafDmZgvIdRhSm,ScHoolboy Q,5IcR3N7QB1j6KBL8eImZ8m,Oxymoron (Deluxe),7Et3bSTLLqdABO1qCxUplS,72,not available
25,We Dem Boyz,1ULa3GfdMKs0MfRpm6xVlu,Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,Blacc Hollywood (Deluxe),2pl9PVgr8QFKRGY0HY69GI,69,https://p.scdn.co/mp3-preview/5099a52a4ee074b68cae7f37d0f2d1ecd9a7ce0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Anaconda,794F99D5BQHS5ZGRXAs7I5,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,The Pinkprint (Deluxe),5ooCuPIk58IwSo6DRr1JCu,65,not available
27,Strictly 4 My Jeeps,0PDGCtMLGQ6zbKMMuqltuY,Action Bronson,7BMccF0hQFBpP6417k1OtQ,SAAAB Stories produced by Harry Fraud,3BClCxsYrpmoL7U1gVFvWa,45,https://p.scdn.co/mp3-preview/55ca5c28322cd71ea256ba9945d09edeb3ddbce9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
