Electronic Circus,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,535700,spotify_germany
1,HI,5x0lhxt4DBf7ja3RRCLCXF,Monkey Safari,5zovXI5By2gUhdr7EByjLa,HI,2wj4oyjeXPn6XlGxsaqAmB,47,https://p.scdn.co/mp3-preview/8b1c0c353c4fa4d3d76250e382519e95a0a440bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,The Lights,2tJhsBdtaaD8SJF6m6xBvX,Kölsch,2D9Oe8R9UhbMvFAsMJpXj0,The Lights,1LhlKOpYfhEicL7eG35IvX,55,https://p.scdn.co/mp3-preview/37fa0e87252ea2e8926e77356b54021f56140719?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Bali,3aDixsN2cxlm2cSZMLg7T0,Marek Hemmann,7tL5UmgvPx6TqKyf0Sjjw6,Bali,2DisdlWjkPjtA1ri7vs3BU,46,https://p.scdn.co/mp3-preview/9ad4f0a895bb6af022be1ba64eddd7fce7b2f823?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Inner,1KjmJNDREONdxfCzxIKqRW,Niklas Ibach,2LyxhWXFqUt5Zbe0KSW38j,Inner,6Ee1nfmnIsG9Bhw4UHVtO0,39,https://p.scdn.co/mp3-preview/6397c09a61eb8e6379a507b653fd3a08e8032346?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Maia,4iKxhBx1KqQsu7N9lxbrrC,Oliver Schories,0iTjLBepeGaLgZS18kxgRq,Maia,1oBhdNRz5apEqNEt9RJjZY,56,https://p.scdn.co/mp3-preview/aac655ca939cfc42420eec4e18786397ecc19837?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Lovve,6uwUdhRWaH9PuDa4xJoLjf,Betoko,48aaubPa3RsbAp4uCPhoS7,Love Night Train EP,3gm75EYIcj6Y3Zr37nDH1q,48,https://p.scdn.co/mp3-preview/d86ec5901efcbc8be90c150d77d57acd24d5f373?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Black Powder,2dr1CekIXY9e5y1cZgzsDs,Meerkats,5Tp2QVmXiCmQHEphdWAPFd,Exchange Of Energy,4O5GM9XfjG9unEXwZ4iMF9,34,https://p.scdn.co/mp3-preview/ed4f62ee914aa833d5f4fec3f321a09a905d8976?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,All Time High,5IqmMl7hPmpeCSpjwaiOPz,Niconé,70s3JhU9Ai0cIowagibjNI,All Time High,5PEGN9C4WWwWeKKgFF0k6B,21,not available
9,Earlylate - Andreas Henneberg Remix,1toPP1tDcSAJEX9im0rISH,The Micronaut,5BNKzWZCbIsQz9zAsg9n6V,Earlylate (Andreas Henneberg Remix),24pri86QLraSFv3wcggLDi,38,https://p.scdn.co/mp3-preview/f172a705f830190b4935cbc5e49edd17fc02cc6f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Heater - Tube & Berger Remix,62dWJq7A2vjDGGAKzW6tgZ,Samim,3iI5B3NF2FdRcRocAKOAPM,Heater (Tube & Berger Remix),5jLT0itmjIzyrbGsnT6rch,52,https://p.scdn.co/mp3-preview/330d236ccff45ac44f8dd1bf71e250d562fb3665?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Heartbreak,5O9u9QFHt8f7plErVAxpV7,Hidden Face,1Itil4naIwgkm48BNTjZ2A,Heartbreak/Nightmare,6BwD0YcHajAGSDnfloY0Ut,45,https://p.scdn.co/mp3-preview/7ca2fc2907979286c2bd4c52fd8e58ac843dca8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Assembly,76pU17NzmantizUgs699WH,Lexer,2vDXLZ9mI3CdTPPIzFUKlY,Assembly / Anwar EP,6GfeGCTUnlNz1DUUiP6CYk,39,https://p.scdn.co/mp3-preview/3aa48560161896f6904e3427cced766fac90504a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
