Pop Remix,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,3014590,spotify_germany
1,Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,3eFJI470ALf1EYjywPRsJy,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix],49bXZtlI5kQSqQMSCnSaWO,56,https://p.scdn.co/mp3-preview/7dbdc5127f297e5ceeac2860971400132a8f9ff7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,All the Time - Don Diablo Remix,1z1Hg7Vb0AhHDiEmnDE79l,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,All the Time (Don Diablo Remix),1HoSmj2eLcsrR0vE9gThr4,71,https://p.scdn.co/mp3-preview/561332cbe1dc118decfe60529e5e24bf78350abb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Here With Me,5icOoE6VgqFKohjWWNp0Ac,Marshmello,64KEffDW9EtZ1y2vBYgq8T,Here With Me,6NHS3hV16MZyfcp0nSHdrd,86,not available
4,All Around The World (La La La) - Marnik Remix,3Ciaf6WgvG95TGRGxQ1yO8,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,All Around The World (La La La) [Marnik Remix],5r998zJ0MNYb2TTxyQmjxT,60,not available
5,American Boy - Brooks Remix,6B2NRQjtSOtqi67d72r5cx,Estelle,5T0MSzX9RC5NA6gAI6irSn,American Boy (Brooks Remix),2oUf4rrrptVC50h75WzjmI,54,https://p.scdn.co/mp3-preview/d9e904ce8c8800ed013ed671c8e99e1114641836?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Hate Me - R3HAB Remix,3iJeF2izF1QcpCgUc97BLl,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,Hate Me (R3HAB Remix),6e6RVFWdZaoTiLAZOCMnps,69,not available
7,Phone Down - BRKLYN Remix,20qDJ35jF87v09RSsrcJpg,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,Phone Down (Remixes),2HdXsOQmIXDKGrOjTKLMuB,56,https://p.scdn.co/mp3-preview/4fbc7d368040e4ae4674624680bb038be2ddeeac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Heaven Can Wait - The Aston Shuffle Remix,3C4fzUgIP3ahkhOBdP38GM,Sia,5WUlDfRSoLAfcVSX1WnrxN,Heaven Can Wait (The Aston Shuffle Remix),6fUjIqkNJY56xS62ild7D1,62,https://p.scdn.co/mp3-preview/d0d866cab57c06caaef88feb0700c117a4d61e3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,4RaN7556EogBfF80klMEX2,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Stay (Don't Go Away) [feat. Raye] [Mark Knight Remix],5DInvPwtc0gzZuZjpu1BHc,58,https://p.scdn.co/mp3-preview/d985a9b8e08374769f1950949407588ce6d52ce0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
