Chillout Lounge,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1070911,spotify_germany
1,Oceans of Love,46TV8sNXDDUU2Y5GX86HWb,Lstn,0OO1zgX3CUfJQwoOEBSKSp,Oceans of Love,1I5JNKcaA8AuKPMMtYD4Sc,58,https://p.scdn.co/mp3-preview/0f1ab3a5c2c43b8041adf7f25d068dce08f5d898?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Sleepy Sunrise,7kIWxZ21faNADk4wFou0xh,Roman Müller,3nFw6mPGG5Uj2YS7IyaGEF,Sleepy Sunrise,5o3LWKMa4S3lWsBw4wTHhn,56,https://p.scdn.co/mp3-preview/7e05b116eb4e34786520d7b32c3234c0a909d40b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Light Up The Weekend,3Op7fis5MGTryTzOCRZWRk,Ben Sass,1FnRHIoBK2iVgpE0B1ZmSw,Light Up The Weekend,1gIyXNkNBrAKrvdcTVDtlS,60,https://p.scdn.co/mp3-preview/c2981acd521305a48678c87670695edc5341ee85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Movement,6WKynwuNv6tsxlFsnWYkQn,Lylos,5atRFMjItKzpYWYW1yVMoR,Movement,1uuViGWUYCNyHgaTan5oVk,59,https://p.scdn.co/mp3-preview/3cbd7419da298f32c31850252c00a87a4a713f1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Runnin,5h9aYL43itcGXmoR2MCR22,Betical,3vbonbiHY9CmCYrWgp9j5z,Runnin,5zZtTEnK2D2JbJfp2gVBYE,57,https://p.scdn.co/mp3-preview/00b8be04cd640f4493dbc2400552fa81aa974183?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Halo,1p9cjLG43MuaenXlUMvzgP,Okwen,4snWBwVHKKPJ4Ha9LrcLaY,Halo,6QofnAjTE7W1sbd1HSGqG7,56,https://p.scdn.co/mp3-preview/d1ba998905b4b175f20e169511ecf0850f3af315?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Chillseekers,13roqX9Iow1epU7pMOYmgI,Chill Cole,1Ns2CQv733eYFITrIHvW6Z,Café Dreamer,34kp6iILHhggrkYCnXg9sd,19,not available
8,Lost Lake,0ZFrmkdubhTMeKduvJiLMW,Boomo,7JI9PRTGOQVzLkWnbJtwo6,Lost Lake,5rr18WFY7nHLPCibLnL9O1,55,https://p.scdn.co/mp3-preview/5be74508340d0dcc7278ddaa45ec396813b80534?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Circular,1AcxJ4t47oSb8GtAlWaxgn,Crisp Nibblets,1DDHk8crK8M6gY3cVcGtJn,Circular,6W2mnksM97w3WgHi5rLGXf,58,https://p.scdn.co/mp3-preview/76f0ced495055d9862afab7586416340b284fa0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
