Pop Brandneu,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,363913,spotify_germany
1,Nice To Meet Ya,3cphb8kdsjElYR7r5icK3H,Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,Nice To Meet Ya,3KrYBAbfxlssMirZLs6HzZ,75,not available
2,110,5sdQ7VUx6GOfsRoSxnK1YG,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,110,6DIKn3gZZms37nf3PvUegP,87,not available
3,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"10,000 Hours (with Justin Bieber)",4ow6xJwn49gpWz7iHpOzWY,86,https://p.scdn.co/mp3-preview/a3e97b632968fe644ea13d758629e50b26d12c3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Never Alone,4w3InOZmItJiSlhnkr3lv6,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,Never Alone,3MdfIe4hKDL59tOpVwC7DW,67,not available
5,Jetzt bin ich ja hier,0AdBvkg8yVPm0t3q8Lkf4b,Tim Bendzko,3xDVmZmDpaF1uuez2N7mKl,Jetzt bin ich ja hier,49n6x2tWqoBS1jP5kcpKNw,48,https://p.scdn.co/mp3-preview/a32ea06cbcb17a4425486387f3d5da7d44abe3ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Cry for Me,40nPimvmG05WYS7983bawZ,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Cry for Me,2dq4ae5hiyxlFPG1s8rlq5,79,https://p.scdn.co/mp3-preview/be6616aac8c7cc3aeaf0c58a96857259c0bdfd55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Memories,2b8fOow8UzyDFAE27YhOZM,Maroon 5,04gDigrS5kc9YWfZHwBETP,Memories,3nR9B40hYLKLcR0Eph3Goc,91,not available
8,Never forgiving,4YBMSSP6uLM0Y0eFhFkp58,Emma Steinbakken,3GIadM69XShFZNB3gP67Td,Never forgiving,4au0knWAMpEUB7PSZKAkns,42,https://p.scdn.co/mp3-preview/213790af210ecf2eb1cbcff85c54fb3530cfec3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Lie,27NaNvlmvOHqTF0VPjuRSD,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,Lie,1qZDkipk2XWaJ6aoEvJwAm,70,https://p.scdn.co/mp3-preview/218700f7fb105c733f712c66367aaf2649f10dce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Keep On Loving,2JPRzi73qRt1kYSSwQHQUJ,Topic,0u6GtibW46tFX7koQ6uNJZ,Keep On Loving,5ODwXvnCJLwIMqs4iqYIG7,55,not available
11,Better Half of Me,114xcQz8sZ6fxRBTZmgmNE,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,Better Half of Me,3qMdA1s9e4FiWOlVFViq20,64,https://p.scdn.co/mp3-preview/399031dc531b563a49779932cac87f9c9f161d85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Afterlife,6PFyGdWw0qnstR8KJAWrrr,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,Afterlife (Dickinson),5172ZzQfuoa0joJIekZCDa,75,not available
13,Beat of My Heart,76CrkEsjBMyJyxymvmx2hK,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,Alive and Feeling Fine,1oBajnDtZiBg03ebaFZYoj,36,https://p.scdn.co/mp3-preview/64702056e8b3733203d4c9c7ea9d320a140c4fdb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Own Me,2CnscesDhDpF7LpURtgBEv,bülow,5vBrKGOjN10BMwB0cJADj4,The Contender,75OmZv2K9rN3ySHEvc8GIQ,59,not available
15,Stack It Up (feat. A Boogie Wit da Hoodie),1xU2QZ40MY4Ex2pfczZa9U,Liam Payne,5pUo3fmmHT8bhCyHE52hA6,Stack It Up,3R4bm24vpp2UiKr567EtAD,78,not available
16,clementine,7ozvM98YyrdyOBh1lItVHc,Halsey,26VFTg2z8YR0cCuwLzESi2,clementine,4Hw4CuL2FH67FfY5mBJl8D,73,not available
17,The Last Time,1maoY6K6fsTEv9fhXhBL14,The Script,3AQRLZ9PuTAozP28Skbq8V,The Last Time,7hKlP3f3yyQjizcUIKWvZk,74,https://p.scdn.co/mp3-preview/a01724234b85486ecd51a9033b18b6ba8b08e8d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Play Your Game,51T2yBmmeBieiKK6wcQhgl,X Lovers,1Hr5Adjkxh6ihfsoahOY38,Play Your Game,7spN8eJUXtXdACDJMTPWth,51,https://p.scdn.co/mp3-preview/5d853e084633a097868b0a6eb166f3badbc32d28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,not available,not available,not available,not available,not available,not available,0,not available
20,Julia (feat. Soran),4qHQEsFfNDoq5c0FXlREL8,GAMPER & DADONI,6HQ6vf4AloXyVNdyJhrX1J,Julia (feat. Soran),17tOFnReEgt8R97riMgvLC,58,https://p.scdn.co/mp3-preview/90b6a1c33baf881b86f9bf8a708213cd38b3668f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Einmal im Leben,5YOKXGkBdTHpGhnBUtVaFH,Wincent Weiss,12xme1fwd3iGEW7rF9b6tp,Einmal im Leben,5hDhVnDbpguNCpD6cnAWBG,63,not available
22,There Will Be Blood,3MTk8zTFCHgMei64ycr6GH,Kim Petras,3Xt3RrJMFv5SZkCfUE8C1J,TURN OFF THE LIGHT,1DHYrQEevTTen4mqPgaxfH,66,https://p.scdn.co/mp3-preview/1d5c358ad9c79a948ca9f4fe79d90cb02fb7f865?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Holy Water,7Ga9ZSdPAcQXQvd1ObVFpm,Galantis,4sTQVOfp9vEMCemLw50sbu,Holy Water,18C3JLfjKrkCKZubEhqJuw,71,https://p.scdn.co/mp3-preview/c2c54ef611015334a3a315ba8352365bbfaf9877?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Liar,7LzouaWGFCy4tkXDOOnEyM,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Liar,3xgS4rfthlsvhW7J2WLiiR,92,https://p.scdn.co/mp3-preview/10cc798e1e25bb65f13cbe166aa77e51e2f11474?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,194 Länder - Single Version,6kga9ZYARzHBprnLOENrMQ,Mark Forster,7qXzy6c5RWT0XlVQcOBIDG,194 Länder,0L0xCOeLaNEErHE74qOfED,63,https://p.scdn.co/mp3-preview/225b9d321c72372c20f1941186a148ea36235191?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Used to You,55OUCSy92BYCmhjOuzFQcf,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,Used to You,6DY36Etteqk1q32tl8ACPv,70,https://p.scdn.co/mp3-preview/754ecd2aab10c4028d196d080af9a49b8d22e82a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,I Could Get Used To This,5BDmCfpzQeXT4AuxyO5ATs,Martin Jensen,4ehtJnVumNf6xzSCDk8aLB,I Could Get Used To This,6u7I12iNeaPAXdvOgxsaZ7,56,not available
28,Trampoline (with ZAYN),1iQDltZqI7BXnHrFy4Qo1k,SHAED,3KwmxIhSe9UTSEF37kwngR,Trampoline (with ZAYN),5QqqBZmdQmY1MvlnpBkagB,81,not available
29,The Game,64kY8ox52wBR7sWI3pcNwj,Milky Chance,1hzfo8twXdOegF3xireCYs,The Game,4o8zheBB9DDkWKjUIEfGNe,54,not available
30,Hit the Back,7ww6gTkfd21QU9CD8PG39m,King Princess,6beUvFUlKliUYJdLOXNj9C,Hit the Back,6QgNrl3BSgNmnhDBAeMTpf,63,https://p.scdn.co/mp3-preview/5a9e6a2d79203e7652f664751f50bdbaa11fb708?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Two Commas,7fLgbqsbl6DpOyIUak0ATf,Poo Bear,3JXpwnHbLvXxY99EuXqFPX,Two Commas,16NsVCcpShBwp7eddHZGPt,57,https://p.scdn.co/mp3-preview/fa26dac40d90e16dd0a756166d35ea40c57876dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Bruises - Live Orchestral Version,5FMSmqgBagV4KSMqMjB2Ro,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Bruises EP,3bAq5agU2IUDfDuO4w50aR,70,not available
33,Sims,7sJwGtoWgkVRwzujlyT3cp,Lauv,5JZ7CnR6gTvEMKX4g70Amv,~how i'm feeling~,2ASTOinfP52bAbWPzXmjYz,73,https://p.scdn.co/mp3-preview/6c4103a1d4ee6272c1f29f991a90d02c6bfe5275?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,This Could Be Love,6pYWX2sqfzlfao3irB9iXw,Violet Skies,56w356OnIbrmFsOFcx3NQN,This Could Be Love,6KBXkshoN7saKqCqMz9tdu,43,https://p.scdn.co/mp3-preview/4afea7cf45e3d1cf6cf1a60bb7114325292edc95?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Deine Mutter - Radio Edit,2vr0CMTmtUgqX3HcYGBFmZ,Gestört aber GeiL,7KAGJwWQQui8b0uqwXRkSr,Deine Mutter (Remix),4Bzx7he6GT4IRzRcDpwFyu,53,not available
36,Problems,5fgHQws1Cj6KDLQmlqM6lF,DeathbyRomy,7aWpPjjgItUnXljFxYYKZI,Problems,5qrMJHElz2d5ig6NDIY6cv,51,not available
37,Never Change,1SG6r7daFfpzPcU15luVqB,Don Diablo,1l2ekx5skC4gJH8djERwh1,Never Change,3YlCbpHzM8GyLYE43TXijW,71,https://p.scdn.co/mp3-preview/66faba393fe9a352998f3d5ada5f1b397ce9f49a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Vertigo - Radio Edit,5VAME3mVIuLtW0g2Lqv9hq,Gil Glaze,6pNzdcgIaKQKsYNS5agP4V,Vertigo (Radio Edit),68tpFvfuX12FlNu3cg28dL,40,https://p.scdn.co/mp3-preview/aacc073e211c4b8da0aa856a522fa1586423d094?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Wanted,6hLkeOMrhZ2CMLBp2of576,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Wanted,19xtr8RaBkQNaDaNmXnVDj,83,not available
40,Don't Let Me Go,0mraAV1twNnnsS73Km9JEw,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,Don't Let Me Go,2X44RWddp0EsjkJvClLN13,59,https://p.scdn.co/mp3-preview/d03b244bc5892474aeefb3a81dc5cb3eef078f1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Adore You,3CQqY9BxLZE6HmieR7fvNM,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,"It's Your Bed Babe, It's Your Funeral",1sbCW0I7rP05Zyru3gSyiH,58,https://p.scdn.co/mp3-preview/bee9946703d334a01d9d4025733dce0c1c12d92b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
