Wochenende,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,471504,spotify_germany
1,Home (feat. Nico Santos) - Alle Farben Remix,2POIEMISkGy3KM718dv8P7,Topic,0u6GtibW46tFX7koQ6uNJZ,Home (feat. Nico Santos) [Alle Farben Remix],4eCnJpIo3df9bPTN7ziUbW,59,https://p.scdn.co/mp3-preview/93ceb6c13228cbb19dfe321b842e112e54c8abca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Love On Myself,4KmfgzXQ1trtD2eY7CtUAP,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,Love On Myself,6VW7kUijiZ6DmX9066eMlJ,75,not available
3,Sinner,71uQd0T3RgUwlY0nioWMzb,Klingande,1L9i6qZYIGQedgM9QLSyzb,Sinner,1fsVGFBkQdMuugYtYfHxgc,50,not available
4,Losing My Religion,7C0NmFbuejL7xwBjiRr1Ti,Jones & Brock,21NGSSCu57Zbh4tSgf9WRQ,Losing My Religion,33xzla7ruFsiN2HcgVeh8p,50,https://p.scdn.co/mp3-preview/04a8687887f1ed7e63728b2ac9544f14350b32c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Bittersweet Symphony (feat. Emily Roberts),6sYJuVcEu4gFHmeTLdHzRz,GAMPER & DADONI,6HQ6vf4AloXyVNdyJhrX1J,Bittersweet Symphony (feat. Emily Roberts),4kFCmKMq1c6gl8eema7wkg,76,https://p.scdn.co/mp3-preview/defa3f2ed5154790750164c170a2e4971c75316b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Let Us Love,2Ln8KzONjBfBYoap9lNh7W,Topic,0u6GtibW46tFX7koQ6uNJZ,Let Us Love,2znIiVu8XHg4Drlcctgmzs,61,not available
7,Don't Let The Sun Go Down,51KAOQZ0ZLYimgnK2bdSeI,Marcus Brodowski,3U5sS2ernX7nUjFZ9GSxWh,Don't Let The Sun Go Down,2Sj4U8PnLYuzABTfNJrNex,44,not available
8,Geronimo - King Arthur Remix,197NhaECmu1vdkrjrOZqVI,Max Lean,4sOc3KgWiki8GMnvxYH8sh,Geronimo (King Arthur Remix),27r405GsX7m0nkQ6xW8xbc,44,https://p.scdn.co/mp3-preview/0121907338e82c87e6b0af28c0eee981a9200b6e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Empires,0KolR78aYglcksc0W0JAJJ,Sons Of Maria,2SfhiNVhk8w8xCQ89P3NPU,Empires,3pynK4RNWjWAB3rYbcbQ8F,50,https://p.scdn.co/mp3-preview/877357e2eca2504d5e29f1dda924a7d405300e1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Julia (feat. Soran),4qHQEsFfNDoq5c0FXlREL8,GAMPER & DADONI,6HQ6vf4AloXyVNdyJhrX1J,Julia (feat. Soran),17tOFnReEgt8R97riMgvLC,58,https://p.scdn.co/mp3-preview/90b6a1c33baf881b86f9bf8a708213cd38b3668f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
