Tropical Vibes,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,681324,spotify_germany
1,I Can't Help That I Miss You Now (Instrumental Version),7rQsYPsTMjIfEqJR1qLveZ,Basixx,3yoJOUgWeJEC81UoZhYIdd,I Can't Help That I Miss You Now,4aC9uStwgDvEPQgy3lpuwF,55,https://p.scdn.co/mp3-preview/fef6da412344fd5668ea62b65a081d2ef9cb55a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,I Feel It Too,7q1HTi8JRpHEr73M6m0Z9h,Maiwan,7Bv1SZbrpTYQixKfQgCzsI,I Feel It Too,0z8ZRKGJ2PVFuki4UhguLT,10,not available
3,7 AM,5FFKnBx45in04E98mqtfaN,Tomas Skyldeberg,3yeLWKlxZaq5grWz85s0Ef,7 AM,2lrYnl0JdDRvlpmFzN84nl,50,https://p.scdn.co/mp3-preview/81a97a719a173ffca25f651abbd4873383ff6aad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Perfect Start,36XnyXO5tdMLi78gKDEOkR,Mefree,6In7t4xPMNmmVOewOXS6Yb,Perfect Start,7mrE8Bs2BYlq0XTbZbIWnU,9,not available
5,Right Now,1UIKfD0kg5yQdXgXEsZFyB,Daxten,1uwGIdDsv9rhyzuqgYhOuS,Sparkles,39btva8FpsGxJi4dQ7jRIN,8,not available
6,Melody,3pm7dLjzj1TlNwxA80LSGV,Tellow,2w28TUN1pz8BDBH1PW88f1,Melody,24gv56TY2YGQlk0WGYSeRU,8,not available
7,Just Wanna Run (Young Smoke Remix),1SGRHEkArmCqvhXEgSPt6U,Blanches,5G9rJDotuVF6BoVc42I4GW,Just Wanna Run,4IzxB8Azmsbk1Ag04ebFOq,52,https://p.scdn.co/mp3-preview/3596a1d46021751ba6f0e0f9b555686a62f492ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Movement,6WKynwuNv6tsxlFsnWYkQn,Lylos,5atRFMjItKzpYWYW1yVMoR,Movement,1uuViGWUYCNyHgaTan5oVk,59,https://p.scdn.co/mp3-preview/3cbd7419da298f32c31850252c00a87a4a713f1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Summer Crush,5g9EIVLc8vm5H47dpEXFfE,Maiwan,7Bv1SZbrpTYQixKfQgCzsI,Summer Crush,0yIpx6waKvmtfbotLbbeO7,10,not available
10,On The Clock,21i7PKEXvd8InFaDT3j5m9,Lvly,7yoh9onDM7XQFBepQTI6Qu,Mad Woman,0Bf3lhNyCKdiuyd3fRgXyy,8,not available
11,Turbulence,33kHojDMIDSDwzD4FWCezM,Catiso,7lrRQOcMFADRVofsWyT0ST,Pegasus,6bBiJBp19QFqjm15Bo2sRS,10,not available
12,Lost Lake,0ZFrmkdubhTMeKduvJiLMW,Boomo,7JI9PRTGOQVzLkWnbJtwo6,Lost Lake,5rr18WFY7nHLPCibLnL9O1,55,https://p.scdn.co/mp3-preview/5be74508340d0dcc7278ddaa45ec396813b80534?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Movimiento,6KBNZRqnMt1sSRTws0ufqU,Andréza,6s7c9SquJovHuUvYvb3pI0,Movimiento,6LiaEVnDu7jEI6ThJUrFx2,47,https://p.scdn.co/mp3-preview/cc50613c7a04bb9421bec42ee512984c371ecc8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Love You Tonight,5BbMKYskxFCCp7kacFBdRw,Martin Zandt,3HVIhaXyOOKizvzcO9C1Mk,Love You Tonight,4oFF7Oh66kN9JT0DyjUW46,55,https://p.scdn.co/mp3-preview/47a51ef7e60562b610d68be68f597772b5e42214?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Messed It Up,3eMPHLdnp21gEiN4mrPiqB,Lvly,7yoh9onDM7XQFBepQTI6Qu,Messed It Up,18KMTAgcNb9pTdjl5iURY3,9,not available
16,Sunbeam,0JHJZleYBzcchU09DVEWjt,Hallman,6lQbKezHkug0aJSkAjYYO5,I'm Going Like,0ltxBiyZK4kQ8NoGqRyIlA,46,https://p.scdn.co/mp3-preview/bba1c9938f05cb1c00a40c3a5ce676a6c918de42?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,The Ghost in Your Smile,63FttXBXFyghH7q9CVIjcW,Gnarly Gibbs,2Zl0BC5X9r7hSxWAF52XfJ,The Ghost in Your Smile,3XanT5R6MH4AeDbSn5hJVa,57,https://p.scdn.co/mp3-preview/5ef6ff37b9d43e330603fc297fbaf28fc429f9af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,We Will Get It Right,74smyjR4BrrfgUJiT1g9Hq,Brookii,52qnChybMeZVRp2wkEkJEx,Fool Again,4oAXsnuMvQaZsWmEqtcN9L,45,https://p.scdn.co/mp3-preview/87545c0a927098470cdff31c2bdc19fe5fd2f0cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,You like It,6KYYP0xGmFX6z8NPzz3sil,Gloria Tells,6DglQ2XH6PeloHbusbZvHA,You Like It,6P4BoNLI7DNHZMZX74N2of,48,https://p.scdn.co/mp3-preview/c3bffe85b1b8099cb4d60ae6f3a59f4e7eebc786?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Summer Vibe,1s7MlV77vmjAHqzVq60Vfd,Tomas Skyldeberg,3yeLWKlxZaq5grWz85s0Ef,Everything Shines,3eXCBTg64X3AuakWQGuQ7Y,19,not available
21,Like Water,3ao5EtzaUJOnbtjjYRqPGG,Paisley Pink,3If1CcrLGqjVA4szNh1q6G,Poser,3lXeKczPphklBkzvbFOL4q,14,not available
