Rap in deep,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
33,Tausend Tattoos,1rGZd7EVl4aOClpzDLNPwy,Sido,4Yttlv9ndGjCDCVLqM7ACq,Tausend Tattoos,7mxNuldTYg5SScgpyNsMd5,67,not available
34,Da wo du herkommst,4PQoiQjfemQl1wdEEPtTdU,SAM,159dlgZwWgkgJXpmU9C44W,Da wo du herkommst,5s3zZGELd9y519RJGINhs9,2,not available
35,Nostalgie,28coSh1PJ51UgkGsovqVdt,Fard,7iZ5x5fwRwROoX3iRWpVgN,Lost Tapes,6pFcpG2HomsBu7QqRYyXyW,55,https://p.scdn.co/mp3-preview/b41bcbebcd58b91868b74296c7d5ff7dc064dd8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,10419,3irKuchN2iCEcFQKPGOBNx,Cro,3utZ2yeQk0Z3BCOBWP7Vlu,10419,77lCLNoxp5SjLS5M8ErbPI,60,not available
37,Kein Ort,6bttMvbYkMxp4PlahARQa7,Mädness,7r29hnM0AiX10xqC7WKXh0,OG,2MXvXskaqVDn19oWcO5fKb,51,https://p.scdn.co/mp3-preview/3c13a8091f6e66912a040bf072d994fec81a6d02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Schutzengel,1AhCWp3EdGnOZdp41wMOI4,Azad,7LQLsKs1Qulq0BxYdhRnBU,Schutzengel,1kFpMgx0K19qJrQmZOPD8N,50,https://p.scdn.co/mp3-preview/ee7d6e95e93adde16f371e49fe8b8ca7d3c31619?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Nachts,6pf3DDCmBlD9jo4TkervCV,Max Herre,7IpWQKu80qQvyer3LO6SW3,Nachts,7MbLmJqwmVjwAcD0pwhMuV,47,not available
40,Tausend Zweite Chancen,2q1zzSWLYRBenEBXoCMieB,Timi Hendrix,6v2fKtxH2ZyVvk4tSqWeOP,Tausend Zweite Chancen,0TpvgsSREn55q1b7NFe3H7,41,https://p.scdn.co/mp3-preview/ad4b2ea112ab2dc1129bc77f28534e81850a3772?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Stolpersteine,1rn5uhAxbKLliAPwOYKoVj,Trettmann,6QzzeKV0VcnT2vJMYDPuL4,Stolpersteine,2GIwadlGEMyzR12xAcuePd,59,not available
42,Venedig,5y5IhxcU44QOwPfcmuxu1y,Montez,5ZY4M2aGiTaZQEP6HfqeJc,Venedig,3ed5WnBtOEgVEvZeQ8h5XH,50,https://p.scdn.co/mp3-preview/a49821526d6e71a753d7308a6674ab62b593dfb7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Fan von dir,7L0rh5cpeSEYvb0zugEbbI,Bengio,0gfGtWOKV78OjwmQ0iGcE3,Fan von dir,33OBiKpDogfscJfaqP895H,47,not available
44,Das Wenigste - Biztram Version,6Q9LAvjtaEjre2qwvJlsGm,Max Herre,7IpWQKu80qQvyer3LO6SW3,Das Wenigste,7eE9npByPbKU2gzaADDBMd,42,not available
45,Meine Welt,0pDXY7Z38zb0YC2uh2JQcI,Prinz Pi,3OYM3jjPVR60kOqmamRRgk,Nichts war umsonst,5ychJJ8YoaOtiCGv8HElAP,49,https://p.scdn.co/mp3-preview/bf0ac1513540580ea32f10237e154f30e4ef9cc3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Grauer Beton,20VvQEE7Fxuh7iXZszIQNp,Trettmann,6QzzeKV0VcnT2vJMYDPuL4,Grauer Beton,1PoUs0CIYvUYqW6X7Ut5FF,1,not available
47,Du fehlst hier,5bVnyZlYUzQ46PIw63f1WS,Pillath,6ZhSAhthwyV6WoyuM4CSbb,Du fehlst hier,01UwBX8Awj1ejPYEB2832C,42,https://p.scdn.co/mp3-preview/d246bb611f08d81e85978e9602de8e1a39cfdaa7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Delorean,2J8AD51VCucMpedsi8hr6V,Vega,6F9QTYrJgiLY80BZGzWIHO,V,1LONwQD8QTDswOL3LzDzZ3,47,not available
49,Kugeln,4Hrd0WAAqqQecGlU7ZJpMk,Perez,3O6JEvN76o3iifjyTctGgr,Kugeln,7GVzeVTkXz3Nwo1sPO528G,40,https://p.scdn.co/mp3-preview/7c41859437e7ce62e0ee4007ec11323ae1e0c0ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Seit du gesagt hast,3pZR2jLSPB7b9kFROuCxZ2,Danger Dan,2jXb8AWz82Sn3RRGOaia7a,Reflexionen aus dem beschönigten Leben,74CrIDwLDcI8HFvye6Vkht,46,https://p.scdn.co/mp3-preview/f76293dfeae67ab69214a135d25057d80dfa7b31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
