Fit mit Beat,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,436297,spotify_germany
1,Like That,3831W9bQFWQyiH2F9Y2G0U,Mike Candys,24Sxfn1uAoJmuR9N72drt9,Like That,2KruLoLod168ShxVb4zqbt,55,https://p.scdn.co/mp3-preview/da00a446798469240f65f70edac5098a9c11055c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Loco Papi,5EuVplVa6I5vbAUBuCRnvS,Sevenn,7bNqXqIrIfwJnipx7oGeU4,Loco Papi,7ehHSfldPNGr0rRbdxffcs,62,https://p.scdn.co/mp3-preview/56482a3e527982bf7f7833b4997db6164d16a991?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Alive,5sYxtT5C8uAzGbplBcjLYB,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,Alive,31x3K8q6G5M5Yu7sIN4rry,68,https://p.scdn.co/mp3-preview/970ddefb418e2bec25f0eb53875e0fa2436a5fee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Workout Bitch!,4xrQeibZ40B9iqSIe3GaqI,Neptunica,5dGsIOepO9ufQlXjW8KrPL,Trapical Movement 2,03DDiuutznNO02uDHX8Zgw,8,https://p.scdn.co/mp3-preview/7e0bedcc14339d06427c2d4905ee355586148c95?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Killer,5d2twM6u0tcH9aBshJwiQH,Clixx,6zDyLPW26yfwhcwvTBX31X,Killer,19vVkkqcAzoTNfBVNptc1E,49,https://p.scdn.co/mp3-preview/e78dc4714726f733b8091b605a214bb332266583?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Pump It Up,2DlQ8oYNzWVKUj0c4pfC7t,Mike Candys,24Sxfn1uAoJmuR9N72drt9,Pump It Up,1uKohudCLWM1TuELR4pZgO,50,https://p.scdn.co/mp3-preview/9b160ad97f6e369c55b99f5358e451ea5de89b39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Set It Off,324d6dFm9Mk0uDyBhQyk82,Beachbag,2dZshj2g0klBLuEML2xkWg,Set It Off,7qv0xPTbbpnNaOhWQSLvAE,53,https://p.scdn.co/mp3-preview/567f375d353751d3f57174ab480ebf4a96cb015c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Midnight Memories,7sCiLJBNdOeCyJ4qyPTeCt,TAI,5VOokbPJRb3e8tJYMxxsMQ,Midnight Memories,1xDR2YeyTxUhO3Bn7Xj7n0,44,https://p.scdn.co/mp3-preview/1387e6da53be80a4ce64b00544ba26bddba5f143?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,I Won't Let You Down,3CAJbLcoLkmx2xRAIPIWyv,VINNE,1FGLT6mEhIrPhgqYiU57ro,I Won't Let You Down,1zTHFwLoH0aUp92RVGSyjh,58,https://p.scdn.co/mp3-preview/d306c69bf828d3b3a9ad71271ef3d88faab227ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Work,3d4lc8esnUl7Bx9J9d9oty,MOTi,1vo8zHmO1KzkuU9Xxh6J7W,Work,7G0zAdOGlZALLj0yIu1b7j,61,https://p.scdn.co/mp3-preview/901516e36582dcd9c1dbe793d2ebc531fc9b3114?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Wasted Time,4MS4HcwZuIez3EypdnbAv7,Steff da Campo,7Bo6vpAmmhylCRWoHSBkcZ,Wasted Time,0dmfOMg0fseV88asp3BSx9,55,https://p.scdn.co/mp3-preview/c5d24e3d93c256b5fcaacbdaa14a69690ace798c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Moonlight (feat. Danyka Nadeau & Badjack),4dgkustBLuGq8tjsWtzRoO,Disco Fries,7G7KvDCLdVG0Ok511Iqc9U,Moonlight (feat. Danyka Nadeau & Badjack),7oUxppVSOY26Lzv3LibIAy,53,https://p.scdn.co/mp3-preview/46980dfa84224b5e58eb6120d689c4ce8eca17a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Get Away (feat. Rama Duke),7G2Ax4k5WN0fGlQZQKWXwr,Breathe Carolina,53M4Iv2RkzzxFFvW2B1jhC,Get Away (feat. Rama Duke),0yVKYfVfmlwiRV0v5oX2vb,57,https://p.scdn.co/mp3-preview/2f58f08ddc5f4b2d7a9aec8c42fcd8de3191f4c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Turn Me On (feat. Vula),0qaWEvPkts34WF68r8Dzx9,Riton,7i9j813KFoSBMldGqlh2Z1,Turn Me On (feat. Vula),7mtnp7B5yFt3D3PAznGzc8,74,https://p.scdn.co/mp3-preview/63d5112b08ac694625f73e0ff40b1621a86e7b02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Front 2 Back,6zXKqzLVtelUovqyCtM5eL,MOTi,1vo8zHmO1KzkuU9Xxh6J7W,Front 2 Back,0VoYYxnT3xEkWgc1Nwy3ZS,50,https://p.scdn.co/mp3-preview/4762c7f7007f18f22846f0340bc1dbe6b49e5278?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Talking,34EP7Q3Uvm1Fum9y3WoS5I,SKIY,39JhQRThBhrHgjXtIK3dGZ,Talking,5YJvQr0kGUZToLIZvvVtra,42,https://p.scdn.co/mp3-preview/7be4a7676181c5aff5291da4a56798c358fb15fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Living on the Edge,3t5XQ5ucLNXxwKj80HYXv8,Strobe,02kU78WfHXLRT2GvnmzNaA,Living on the Edge,1CWsCxhnzLXIMnZQwx7nkz,44,https://p.scdn.co/mp3-preview/cd7813499cde438cd9d1820bfa2394c4a06f2c18?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Khaleesi,0uvUzG3kHn48Jqx6o0eUdb,3 Are Legend,6w0JXd2nT27GXVTbsuQ2II,Khaleesi,61zEoycntJJmmfDY5LURcy,58,https://p.scdn.co/mp3-preview/e296d1fd0043b4ec2c7943042180b395cab40e4e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Rubber Bands,46eI4JcWjax7ARjZ35CdMB,Timmy Trumpet,0CbeG1224FS58EUx4tPevZ,Rubber Bands,4GbdP3Nctzr2IfObBIm3aJ,60,https://p.scdn.co/mp3-preview/689f3664fef1126da504bf7070bba28c8d1ef47f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,She Wanna,6itEykNNdP2IrsLFLLlh4r,Devochka,02xYwCW4WypA3nRQv6qEcX,She Wanna,1fmHSM8GqH9dGDHL2cnete,56,https://p.scdn.co/mp3-preview/663b1e956be7ce66cc985ece9d13bf5d97bbf20d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Heart Beating,2uxRRlQ8GTWH47dOi4yxRu,Nora En Pure,24DO0PijjITGIEWsO8XaPs,Heart Beating,6DhdVQGik0aHlTDTsjbiIK,58,https://p.scdn.co/mp3-preview/dacea30cf3ae521979a403a55fbdcad00ee0a3b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Body Work,1qo1dnwguBAbiqRNd3oTEi,Pickle,3RuyFkjMNXXXabK3bH5DQt,Body Work,5qgPhM185R7H3W8htqTeye,61,https://p.scdn.co/mp3-preview/3ebf423836c46d02afc16bfc81fbf6d630d96d7e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Keep It Goin',5QO36B9kCFQdxKRRjkIrQD,Deorro,6VD4UEUPvtsemqD3mmTqCR,Keep It Goin',1bwM69ypPPzjYJv1iVusi8,57,not available
24,Metaphor,1UTXQrmAL4oladIwc1PWSh,Alok,0NGAZxHanS9e0iNHpR8f2W,Metaphor,2ds371eeP7JXPUhBCk26eH,63,https://p.scdn.co/mp3-preview/f8e65523d2c1d1802ace1e2543bebd05e7e7b8f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,No Fcks Given,23c839fNGMyNrVOFuEYlM8,NØ SIGNE,28e1tcP4TyKPkQUr1A3HiU,No Fcks Given,3slitNq5tO60WoWcLpVHrI,44,https://p.scdn.co/mp3-preview/35135a43d0e0a1a2db07159693bf7a7eebbea035?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Home (feat. Bonn),4aTtHoSBB0CuQGA6vXBNyp,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,Home (feat. Bonn),1cL51Zp86zgzMDTXRiq8w9,77,https://p.scdn.co/mp3-preview/74145f27bb06406170aff7bc7b0f377f8e90ec1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Laguna,2o7osOZYhcHrnWUYLWvZj2,Distrion,01amjyTlohCQrBLbM1scoO,Laguna,7334YyjPUfu1ol8AhOA7a4,47,not available
28,There 4 U,7wcqhpUNja8qeemwd0sws7,Melo.Kids,67zbXa7VOBhfFhM5n6AM33,There 4 U,4C0GqXazlAgFTfLV3lWQCJ,30,https://p.scdn.co/mp3-preview/18743f3714c4121ec832443173e1b1faa4f1fcde?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Blowin Up - Original Mix,58oyWKBdoJsD3GefTXDr5f,Roger Horton,3c4ZwfXOb4VBK7L7qWIBBB,Blowin Up,30wdIYRbUgIZmDAmMrJ2gN,43,https://p.scdn.co/mp3-preview/e4269b834da6d8f062b31c5c40269a2aeed36a54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,A Little More Like You,5lsGkDRsE3gko5pt0xOnA1,Dropgun,3nAdmhth5AczU6YwCJOlYh,A Little More Like You,44wSKflN8TNELNLc2mgbjc,51,https://p.scdn.co/mp3-preview/028b0d5d8530e7fb44690761bbc1b14991c55c4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Through My Mind,6gryRHxijWXqeRxchge5mP,Firebeatz,53YSn9tHwGJ6bq5P0gGoYo,Through My Mind,1acGjmUX3jF58COoyIlEgt,51,https://p.scdn.co/mp3-preview/fdeaa5362d111213bee055d0538f0022d451ff1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Chicago,0B5b6mBsi1D3DfYxi0yqTL,Chris Armada,4og82NHzHSH3rx8J7sF98l,Chicago,5CXj1SQDJgDCoPnELlUbBm,13,https://p.scdn.co/mp3-preview/50f1c69176653604951190c6a3cc62d128beadc2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Where To Be,5jojPKDxnshDhX4T1OFmBe,Aeden,2WIFU5KpTGyYWZs039dQPn,Where To Be,1oQtahnuWmvya1hCFOoWcQ,46,https://p.scdn.co/mp3-preview/20eff8b8a89788f82acc5146eeda55a00c37ef80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Up N Down,2ADRsLEVqYCUWo3jYEIvAP,Donkong,2iSzx6yX8XC77IGgRlRZgX,Up N Down,4c1SaWADvO44obiOFj92EB,39,https://p.scdn.co/mp3-preview/8551abc9bbc9bfe7973c476112fd26370ef6450b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Blackbird,17dzcc3DPZOoW4mtq1r1Dr,Jonas Aden,1qq5e02CcWNFqZMbmdrIcj,Blackbird,1nPjnw2l59kVVizsh9hwHf,30,not available
