Feelgood Indie,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,367258,spotify_germany
1,100 mg,4mclJcJDsL8IRvcGrlzOUu,Giant Rooks,5wD0owYApRtYmjPWavWKvb,Wild Stare,4HnX6awkuCoaeV2udY9GXu,36,https://p.scdn.co/mp3-preview/3a43b2a4a691f96dbe2aa24665bbde12377e7203?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Any Better,1ELgqMMqkj66NlyZMxJNR3,KYTES,1q8H46YhdCtAO8tXHIWe2d,Frisbee,3EX0PrHh4oNcL88znn7M7Z,54,https://p.scdn.co/mp3-preview/bf120e4cef16e79821afcc360ac529acc608bd82?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Smiling Face,083YqmGxSLpgr8Hr6HeFNx,Cinemagraph,7zMxkD6FhVkm8hBRy7jyJP,Smiling Face,75E23gvtdp9zPvRpKXWcIA,56,https://p.scdn.co/mp3-preview/5b803ad91439dfaabfe13632a3d85c109a21b6e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Someone You Love,0JmH9PvuIDyEbaSMRO7aGL,Some Sprouts,41g2y82Z8CADYGlzujOzKp,Someone You Love,5SSHnTR33t2E600pb9Qg8e,53,https://p.scdn.co/mp3-preview/e65d525de8fe98de683ad04473168d31f3bc7fa2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Kids,6b2EqQRpnOfYilaNXqb8SD,Leoniden,1zwtew8BGPk66RKGQqtPCX,Again,5tN19IQrbStEzPJ8snVO8g,59,not available
6,I Swear It's True,61AYzKQ7kvLJ82IFaIbRWn,Mani Orrason,6Xy8dw47s5ZgDlr0isOLV2,I Swear It's True,1amufMJmaSVgIvRujOq5Va,48,https://p.scdn.co/mp3-preview/5af5f77b9f49262ce15dc4b87fe98504dd2d38cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Take Me Out,3QfDceqmFnYDJi87fwI3lK,Pool,1yZ0q0QsxwvyY6odzRxUuX,Take Me Out,2YCBz7N0Lrdagv6Fym6a8e,49,https://p.scdn.co/mp3-preview/a7a1bb5c549cc07f1cb510600bdab2e5bf28a727?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Westkreuz,4QyKh45tFQmLKHvCvEZYfo,Von Wegen Lisbeth,0uNoScPvcAL4krqNZfeJBq,Westkreuz,2R2NYtiopurnrNpTq0VIOl,55,https://p.scdn.co/mp3-preview/9f37c0368a7e85492d2b4858d3b16a4013034f4d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Sympathy (feat. Einfach Flo),1IMVry6jzpeKntP2yWvBXG,LOST,6xegaNFVvrldyVGSXx1g9Y,Sympathy (feat. Einfach Flo),3uVd9vpvIWxYj42DUtPKuo,49,https://p.scdn.co/mp3-preview/385ac8357b8370a3e47190adbc19c18a6ece818a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Highness,5StogjwnaLs9zO0fl6x7P3,Nosoyo,4H5tKZTXuVPxynMaaaBbWs,Highness,4EHDGQCK8ziAccxlY8tCS5,47,https://p.scdn.co/mp3-preview/9f250563fe8dd2967a3706fdb9f0a6d75d9443f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Apart,2kMLIAMcNDoVLfQj5oDMAQ,Seed to Tree,5eTXENvednmXhr6r5lUWhY,Proportions,6lbvRJMvyz5s8iddP3KJLR,46,https://p.scdn.co/mp3-preview/31aafcecdb1861dbc616618d1fe5da5ffceb3cf7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
