Hit Rückblick,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,212105,spotify_germany
1,Zu dir,4ij2vmffYpMjCTDd38vvEV,LEA,5Yo5iU2nf4H41waPl4ZnS1,Zwischen meinen Zeilen (Deluxe),3BRzzOrxdksgbL4Iw7dNHd,64,https://p.scdn.co/mp3-preview/67f00ab3fa1e72e08586c575dc5f2695c6081f6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Change Your Mind,4kOlyvj9WiPrI4zpmzKAeA,ELI,63gbXCha1jpkrJJ9K5gGpR,Change Your Mind,60PSfBhVSZFJj302rOs4DY,63,https://p.scdn.co/mp3-preview/924b2708dc291b8a6e4a2d8c0a6dfc33e3d5d1c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Je ne parle pas français - Beatgees Remix,0LH2h4pwiX1iY3KDuONOb6,Namika,0HSc7yUdNSosxRb2UJnXlz,Je ne parle pas français (Beatgees Remix),63aClD1eR2iy2edftkal6g,63,https://p.scdn.co/mp3-preview/81205d7cfa5ceae8ab749340c1663fe0a1feae0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Vagabund,3yhaXZury9ZUpfXvdvuWiB,Bausa,13bDjug9N0pyv3ZUINjkDV,Vagabund,67YdsiVy31rptZvo887NrP,66,https://p.scdn.co/mp3-preview/1d0a9f326fa08a51313b3c16a435dd30b2240aa2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Rooftop,637yH6Qs3wXdgjPjO7QGdr,Nico Santos,3A9B6c1CrSPauiOblw7pWz,Rooftop,4xkfGQYu4OIPiAqant9Az5,16,not available
6,Leiser,1fTzkQQ4oH5TIN8HnSbjCa,LEA,5Yo5iU2nf4H41waPl4ZnS1,Zwischen meinen Zeilen (Deluxe),3BRzzOrxdksgbL4Iw7dNHd,66,https://p.scdn.co/mp3-preview/8be9b895f9f1b3dfe4a0990a8e67b74aa761910c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Burden Down,5IoGqgKc01aOc4MqzGfDmm,Micar,3QqlKdJRY4IqUry390xfvJ,Burden Down,3LzJ8ksrGySf1SIiFAY8cs,56,https://p.scdn.co/mp3-preview/2419b74e69f54107fdb06c3c3f526a58e80d5a16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Born To Be Yours,2hoigtnMAjSejRi1hHk99w,Kygo,23fqKkggKUBHNkbKtXEls4,Born To Be Yours,2pJwtJl5mZdRj2jocjDFgB,59,not available
9,Rise,3KLygy1YWhmrQx0GRs7IOx,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,Blue,6x8gRx7RDvPckYBzPodW8w,31,not available
