Deutschrap Royal,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,936128,spotify_germany
1,Roller,5dhQeuLGmlhfwlI6BWfSpo,Apache 207,1qQLhymHXFPtP5U8KNKsm6,Roller,3RJvPSUpz8E4b6SjectOPu,88,https://p.scdn.co/mp3-preview/cb7ceb09ae50ffccfeb5af1ba67df7741b374587?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Tilidin,1VEMUkGFio5uURvN8x1DZJ,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Tilidin,1hgTRY8gTrfHGVfCAFBXWd,81,not available
3,Eiskalt,52UVKsw31NTOCTNPTpwbFJ,Loredana,2Im8m4STDBosjfmb5hmP80,Eiskalt,1X8ggfiXeKkGhGp4zAxQcb,80,https://p.scdn.co/mp3-preview/823e6b41d1c27c07661f33dbedfc62018fd4d922?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Hi Babe,6erIvryBSsAdebNU4a7Mrs,Juju,4sg4no0TXdsrM1s4SVUwNF,Bling Bling,7FUJDqWr0PvHJyIJeCsswA,74,not available
5,gENAuSo,5nmVf5dSgH4A25qsev28Mi,Dardan,3pjq2pDV9RR6VY55wBjVnp,SORRY...,24hHNi75352fzhqiorank2,79,not available
6,200 km/h,2wvLtM25eMpHK7hkidqte2,Apache 207,1qQLhymHXFPtP5U8KNKsm6,200 km/h,7luwJPM1BvU87SuNJJ1cnO,85,https://p.scdn.co/mp3-preview/d19bbb43c7a479d47dc9e7b022b3933f0d6bb5a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,110,5sdQ7VUx6GOfsRoSxnK1YG,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,110,6DIKn3gZZms37nf3PvUegP,87,not available
8,Jetzt rufst du an,5opjywL6TBjJRF22TcFDMo,Loredana,2Im8m4STDBosjfmb5hmP80,Jetzt rufst du an,046InGzRvfWK1iWMJNKeBL,77,https://p.scdn.co/mp3-preview/a867adcc5b85bcba0b975d05d8a9192c3c5cfc63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Trance,5eA0fLfQRw9WuX34ZRPvAT,Qzeng,2741XFBjSCs37MjhGaGkKT,Trance,6N63t6SqAxXZ97XYNAuyif,70,https://p.scdn.co/mp3-preview/7a071c90967fa334582377ab619b4f14ce21a383?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,cOcO MAmA,0oOPa0AlLnjCO6eci0HIdH,Dardan,3pjq2pDV9RR6VY55wBjVnp,cOcO MAmA,5be2Yd9oHE7DfdwUsIpa2N,70,not available
11,Kein Problem,3Zigq1lfHmFRlyoRrh9k2s,Apache 207,1qQLhymHXFPtP5U8KNKsm6,Kein Problem,3t8Ay5wZfH4NTm4bCj6LAN,78,https://p.scdn.co/mp3-preview/c566c9e21ef1edb869162f12da3ec1c6cabee41e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Wieder Lila,2kkcJ8tSDV42LdWcPjy6We,Samra,6h1s4i4XKIYv4ErDelLDN0,Wieder Lila,2e1TJGCwd9Q5AIvA78yD00,79,not available
13,Lambo Diablo GT (feat. Nimo & Juju) - Remix,3TMW1GOB1lsmvf8er2dE8g,Capo,5y9wg9qkGBl0n9v9RzaPKu,Lambo Diablo GT (feat. Nimo & Juju) [Remix],78SjtioGS10lFchsD1XMH4,70,https://p.scdn.co/mp3-preview/b637e92939e0388e68524598af58cb29509009f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Letzte Träne,1FuJKBi6XdFyf8Yzmck468,Kontra K,4lDiJcOJ2GLCK6p9q5BgfK,Sie wollten Wasser doch kriegen Benzin,0sVQrIwythyuM0G6uLcqiy,72,https://p.scdn.co/mp3-preview/1111c5da07f8dbbc4cfc3517775fbc598a6e7d22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Barrio,3mbGX2yy83BtCiPO59mE5r,Olexesh,2Z9KL8Zmqx5Sg3cd7Fldhl,Barrio,1P7Blp133JaG0bqG2oiNH3,71,not available
16,2 Minuten,1u5jYTx2WdptYWYpwqcE9n,Apache 207,1qQLhymHXFPtP5U8KNKsm6,2 Minuten,4xdyGrY8SLDeMdsTxRaxfx,75,https://p.scdn.co/mp3-preview/806efa377f177b798e0b3fab65723c713ed10fbc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Diamonds (feat. Capital Bra),2QpxC2yag7Ec7Ut1dovXKb,Summer Cem,3drqpTL4sQOckmAfF9i1wg,Diamonds (feat. Capital Bra),178ijvdr9h0bZSioIxRFKv,77,https://p.scdn.co/mp3-preview/7f15579652b84812ddf03606106fdf5c77051fdd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Vermissen,07f2b3CTdgKKlhv0mqUksz,Juju,4sg4no0TXdsrM1s4SVUwNF,Bling Bling,7FUJDqWr0PvHJyIJeCsswA,73,not available
