Deutschrap Brandneu,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1108674,spotify_germany
1,not available,not available,not available,not available,not available,not available,0,not available
2,not available,not available,not available,not available,not available,not available,0,not available
3,not available,not available,not available,not available,not available,not available,0,not available
4,not available,not available,not available,not available,not available,not available,0,not available
5,not available,not available,not available,not available,not available,not available,0,not available
6,not available,not available,not available,not available,not available,not available,0,not available
7,Fanboy,64M2DKjDqp2plP3JdJ77ZL,Fler,75ctWsRuGXmxMxnFPkuEwA,Fanboy,2XBFG5nH00Had1J1n1SyvP,63,not available
8,Honda Civic,0WFgtxiLNr99YaoSdYR3Ud,The Cratez,3pVfscwg2QxhdHtk966inb,Honda Civic,6TLzZKljClASxNACc1ZTtZ,82,https://p.scdn.co/mp3-preview/339774adb8ae3f564a60901da265943dad571f1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Berlin lebt wie nie zuvor,2pfio0uHpT4USTPBNeTIWo,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,Berlin lebt 2,5vc7GCjUpkbDUodoFc1FTI,77,not available
10,Hash Hash,0AuriGfdxWcFNLBCPMUJ71,SSIO,3IrUyDPQlQFcB5lMWhPml2,Hash Hash,4zlPfLeR66FyU3KcW4G5qW,77,not available
11,2002,2u8AXJyk8pICzj2wyPBL0b,Sido,4Yttlv9ndGjCDCVLqM7ACq,Ich & keine Maske,3jdqYXotnRgQwG3HTniNdH,81,not available
12,not available,not available,not available,not available,not available,not available,0,not available
13,not available,not available,not available,not available,not available,not available,0,not available
14,not available,not available,not available,not available,not available,not available,0,not available
15,not available,not available,not available,not available,not available,not available,0,not available
16,not available,not available,not available,not available,not available,not available,0,not available
17,not available,not available,not available,not available,not available,not available,0,not available
18,MONEYHONEYDRIP,7uj8AUQSUg8ZAzabYLwt8f,Jamule,4sVieJlKgpZ2k9ESNS5IdN,MONEYHONEYDRIP,7kaO0wgFXhAX9h1pfxZHmn,73,not available
19,Biturbo,6mh1ErQFwTq8aCZMbPoKWj,Bausa,13bDjug9N0pyv3ZUINjkDV,Biturbo,5Hc7qKx9kTHzGMjneg7tJm,68,https://p.scdn.co/mp3-preview/542050122aadbcc725c23abc8d7aa92eae68a2fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Bunte Farben,7emD4r5AwM5a5jU9NZ51FO,Eno,3GBBxBdoolb0B5YizZq9bF,Bunte Farben,3pQtiNNA2RoCUn4up5uwEo,66,not available
21,Keiner kann was machen,3sJReCcPq9Ff3Xs4B7g5j7,Fler,75ctWsRuGXmxMxnFPkuEwA,Keiner kann was machen,1deDNR6Fv1qKEEf3VjWMkN,64,not available
22,QDH Family,2lx8Ir3TlI7bcZa3yE7x5X,MERO,5wyWp867LWGjFmYZXVSFnZ,UNIKAT,3BtNr9u1bGdzAZx2wiKzfk,70,https://p.scdn.co/mp3-preview/3cf406640c174e61368efde0b55ebd81d589d2fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,9 mm,0f9FAdm6qg2b7vvOhO15bU,Kalazh44,5sRQkVexJlax2iISuqL8cV,Nix gibts Balazh,5xzGE5PRmApLZHQYqcrtxT,61,https://p.scdn.co/mp3-preview/3f3168ee24318490efbb261a5cdbd323f4223a75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
