WHOS NEXT Best of 2017,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,52,hot97.1
1,Bodak Yellow,2771LMNxwf62FTAdpJMQfM,Cardi B,4kYSro6naA4h99UJvo89HB,Bodak Yellow,1wpgafbHuQfSUmCWvahFlq,70,https://p.scdn.co/mp3-preview/35254f7611813c692709161d41cb04a694c9b5fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Live up to My Name,61mnlyQlnPuq1GEX0LxIWh,Baka Not Nice,3yvCFkK57FXH7JIwZQ5CmU,Live Up to My Name,5CAhrMWfi3ClQiaHKG8C6Z,60,https://p.scdn.co/mp3-preview/b2d59e14e0ec3431f8cdf72fbc4c8f0650c0fc09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,No Effort,6iF5JgF1GNUQwlnsgnMzUu,Tee Grizzley,6AUl0ykLLpvTktob97x9hO,My Moment,6074OsmUN1PdFgy0zTP4Fn,62,https://p.scdn.co/mp3-preview/2db3e4f04a610fe91f186c608a9605c26c140010?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Come on (feat. Fatboy Izzo & a Boogie Wit da Hoodie),2gw2A93iKVahgSlkUJ9D5E,Jaquae,77sK34HEoBEkzo0jNCVR1t,You'll See,51DVpTT8jHV58KBdu2emUM,0,not available
5,Hop Out,0wSeTpuEBS5uloIJ9tGhFi,A$AP Twelvyy,0tPjSrb43a58uznKru1k2P,12,41tn9gcVocI693HtBidKfi,53,https://p.scdn.co/mp3-preview/dbbe8f54cbbe3b9332eff65b3e30684de0e3430f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Gangland,4Axp1wyE3x5E13ijci7UO7,Young T & Bugsey,6M6XXCcO5gI68XpIlrUL3Z,Gangland,0EyHe0865ALBOxYhumb8g2,57,https://p.scdn.co/mp3-preview/e4172b6b088b1fcd5ec011f571c1d83d0e15d2aa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Catch Me Outside,5kmOA4GG5o3lg7kaFPDfc8,Ski Mask The Slump God,2rhFzFmezpnW82MNqEKVry,Catch Me Outside,6alImt5QQqa7sC6aEsTaVA,1,not available
8,Soy Peor,5MT96Zz0ymUJNm8obKZQr0,Bad Bunny,4q3ewBCX7sLwd24euuV69X,Soy Peor,28xYvlMemVAzCBJdJVNqf9,40,not available
9,City Going Crazy,3ioduZkk5rehZxilb38VWr,Snoopy Dinero,2WAOLW3ile8mu3ZFq0kyaG,City Going Crazy,4LObIh9EnkelZWKkLM8Ma4,7,https://p.scdn.co/mp3-preview/513d018e29ed024e9b31ae039514a9f92ea1532d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Doin 2 Much,6opC9QRzTviOM6y7hYhKh6,Moneybagg Yo,3tJoFztHeIJkJWMrx0td2f,2 Federal,3ppB3UcyOQ6U6CcffL3bPd,61,https://p.scdn.co/mp3-preview/13431cdd6a25be28bc532092aa7ea595a9e56afb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,"Stay ""100""",1hJjKYqtVt47RmRR0Q1vDA,Smooky MarGielaa,2HO2kO7O5gEnM91dhobllP,"Stay ""100""",1BexHfFIu0svjzHCW9xd9Q,57,https://p.scdn.co/mp3-preview/f4d1187f5bdca10d21e84ded36d2ba2ae7d7eee7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Step Off,3OaQAsCrQaGrLkV4yjYkUK,Na Boogz,7DLCAkOCa4PzZHF4awCkF5,Step Off,7lIKGvzgofVap09qWryI4W,7,https://p.scdn.co/mp3-preview/46f7abc1d997751428295ff1d06e34f8a268e7f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Rolex,0pSBuHjILhNEo55xK1zrRt,Ayo & Teo,27mFvqQj8KpjmdKIqcw1mG,Rolex,1bHj528aZfYOKq0ve5AHMr,75,https://p.scdn.co/mp3-preview/bd059d92a5feebff918e7de21209b9aedc2a73f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Temperature,7e4GzpRqLXjepuEW7X1urp,Devvon Terrell,4WcJL1x8azi1Qkv4jc6fhH,Weird Nights,7gU0Q6cJw4wrSxiCctx7lo,48,not available
15,Space (feat. Sexton),4nMdQX2N9sp3bYDnrQmUry,TK Kravitz,65rDIPdQD7ijLSOq32cMXo,Space (feat. Sexton),6XiJvi1Re3DmhyACGn57a1,53,https://p.scdn.co/mp3-preview/4c552f855fb32d086d87f114c1516b29f7bf2939?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,New Freezer (feat. Kendrick Lamar),4pYZLpX23Vx8rwDpJCpPTA,Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,New Freezer (feat. Kendrick Lamar),5LaCH6lgcr6LaNdb3ldZrp,6,not available
17,P.O.P.,2gGqKJWfWbToha2YmDxnnj,Belly,0FOWNUFHPnMy0vOw1siGqi,Mumble Rap,04XJbeTbd7CvN0eXwe4K8P,42,not available
18,Love Galore (feat. Travis Scott),0q75NwOoFiARAVp4EXU4Bs,SZA,7tYKF4w9nC0nq9CsPZTHyP,Ctrl,76290XdXVF9rPzGdNRWdCh,78,https://p.scdn.co/mp3-preview/34ee046041c05b75609bd7eec1e97b6c7cb4fe4f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Laila’s Wisdom,1EzniRQ6UM9Y5xGrmfqCgy,Rapsody,6NL31G53xThQXkFs7lDpL5,Laila’s Wisdom,0IkioqpdjITJwhbRliLoCx,40,not available
20,GUMMO,2vjmyyAnDUzilFYxOlTdO1,6ix9ine,7gZfnEnfiaHzxARJ2LeXrf,GUMMO,0KXZqIrkIGTt07VU9MhMP7,58,not available
21,Crew (feat. Brent Faiyaz & Shy Glizzy),15EPc80XuFrb2LmOzGjuRg,GoldLink,5XenQ7XfcvQdfIbpLEFaKQ,At What Cost,18JrBX1QkpnUSJF3oxX6RX,75,https://p.scdn.co/mp3-preview/d0dde15184d6cd06e09b3a50b033093ce5b2c5b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Runnin' Plays,0ZAauHcE6xx3vgsOEBHZGp,The Kid Daytona,1U77TS18o4qUO3bwq0pbcM,Runnin' Plays,4f2iNVpn8yoO4ef8v6A8RH,24,https://p.scdn.co/mp3-preview/4b6be58e3f967c039b72e49b329c2845118c460e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Trap Phone (feat. Desiigner),0DYqSujddw62PgH0tRI6XK,Don Q,5TM9R6dNoJSMq23yZQD6Ee,Trap Phone (feat. Desiigner),22E2H13eXdqW7ncjKx9frS,28,https://p.scdn.co/mp3-preview/d26c0ab4d039591a8e9d80542fb0c95e0fd6c43d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Wake Me Up,3GvaQp4dS3htsegKXq7tUp,Remy Ma,39mHYiNmLR7p8PXNG8Wll6,Wake Me Up,0XTHiKLB8tj842LgI7osWR,47,https://p.scdn.co/mp3-preview/208da39f44234be7b6178d7ebd87c344d7a15e2e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Magnolia,1e1JKLEDKP7hEQzJfNAgPl,Playboi Carti,699OTQXzgjhIYAHMy9RyPD,Playboi Carti,4rJgzzfFHAVFhCSt2P4I3j,78,not available
26,Did You See,6DXEZzM4wBa3EOl0NCNSvz,J Hus,2a0uxJgbvvIRI4GX8pYfcr,Common Sense,6fUnZqjU3bwBOZIsQ4kN1Q,67,https://p.scdn.co/mp3-preview/3439d79fe4b19be6533159516487d5da975d21dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,The Race,5RCfvwDewu6p2x1mEI6smX,Tay-K,2ODbg2404zUzTi02qIPEjB,#SantanaWorld,2nYP6rqljYdjisRdZt9axz,3,not available
28,Thousand Ways,6Yv3wlC9fTqQtp7TiMX2D0,Jay Critch,6Av6GMCOznZIlHuNcBWgf4,Thousand Ways,5ffLBS1KNA45LkWuuZoXnK,0,not available
29,Hurtin' Me,76IkF7pA7RscjDTvOFT4vb,Stefflon Don,2ExGrw6XpbtUAJHTLtUXUD,Hurtin' Me,2xhP3p0znN775vRxRP71ET,66,not available
30,Más,2v6lYsTJF3ackTmQk9h8nr,Audri Nix,3JRFmLODLzfpDsIM6xdaLa,Más,25xcKgemv1RLZJnz8oZvPm,0,not available
31,Stack Up (feat. YFN Lucci),2n1HpMxhmb1UPGX0oHF2Ab,Lotto Savage,1Ukd2DtqpLxxy0q8yV7dfy,Stack Up (feat. YFN Lucci),7kndQaH4ejYYF4symQV4OY,21,https://p.scdn.co/mp3-preview/43e2b269813b08c1d902b32afce922f0956133cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Live SheckWes Die SheckWes,0asxiZ68X8m2wuJwsabF6d,Sheck Wes,2RDOrhPqAM4jzTRCEb19qX,Live SheckWes Die SheckWes,04zOspzPJtCIGYCZFh4b68,1,not available
33,Roll In Peace (feat. XXXTENTACION),40oKW22ZNNkEdZLJTScaQI,Kodak Black,46SHBwWsqBkxI7EeeBEQG7,Project Baby 2,51wp3EOOp2mBIjhZjR7W0i,78,https://p.scdn.co/mp3-preview/b77976d5bf4ec6cdb1bbb2f93d2c7782efb2e898?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,06 JEEZY,6AZGg29FLL8Vuv7qWz0Q29,WESTSIDE PARLé,4jDRAJvnzVjy7gDpNuS8C2,06 JEEZY,0x4VfC26r0AM3g8Uy46pA4,4,https://p.scdn.co/mp3-preview/169f16b7511c1a7dd2ac85c3ec99642325abc2c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Krippy Kush - Remix,038kavjqUaGIYZL5lYocvX,Farruko,329e4yvIujISKGKz1BZZbO,Krippy Kush (Remix),6PLLKjD7vpHDrl8tc7aFaR,59,https://p.scdn.co/mp3-preview/fd7afc10b66a0b846c090245c20d961d0c3c4f48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,My Dawg,7CEJH5Ed7FBbXF6CqBQPlJ,Lil Baby,5f7VJjfbwm532GiveGC0ZK,Harder Than Hard,2zXJkApMEHfHuZxs6Z1pfA,65,not available
37,F*ck the Summer Up,5ef9BuQyJIZ3J2vCEjaKyf,King Combs,41I5xI04kixwmonDBl0Sda,F*ck the Summer Up,2TAAsaHZ3VKRbkr67QfcEJ,31,https://p.scdn.co/mp3-preview/84f0f8d0b7668c81f67456aa9beda7d60a24274b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,4 AM,4Z4SfxRraZqvvzc0XIJqsf,Maliibu Miitch,5J1JcdYCPj44YKz6kVA5wx,4 AM,5L2Y4IDn6jWIJCzQuxyaER,0,not available
39,PICK IT UP (feat. A$AP Rocky),3ncgNpxLoBQ65ABk4djDyd,Famous Dex,0WOxhx4hikIsyF3CRPLC8W,Pick It Up (feat. A$AP Rocky),4NaE34wj8KRWoxRmgbr915,75,https://p.scdn.co/mp3-preview/6d6199fd979de1aef83c9b8b7056f7ec4adbb3c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Gang Over Luv,7LaI3mRTJu66r9HKdv7iBx,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,Sonder Son,5Bp1EX2ypdFnJ5IUyiRl8w,62,https://p.scdn.co/mp3-preview/826a342aa6c5bb1c017b0225a6608be5f68c5490?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Selfish,2xbI8Vmyv3TkpTdywpPyNw,PnB Rock,21WS9wngs9AqFckK7yYJPM,GTTM: Goin Thru the Motions,7eFfp9r4A30ueN9A5EJbk2,74,https://p.scdn.co/mp3-preview/5c33b7fbb2ca5ee02a7ee3b2278c7c8b46ac16af?cid=fa83a2fec7c440b7a2795d600d6b2c7e
