Keith Richards’ Lost Weekend Playlist (BBC Four),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1509,bbc_playlister
1,Off The Hook,0yLMGuXY4KIgR3w2LsM8AJ,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,"The Rolling Stones, Now! (Remastered)",6CNXUyFKuhAjKIDsV3m6kZ,0,not available
2,Little Red Rooster,3D7LMAS2AtiHjEVvGqyMDz,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,GRRR! (Deluxe Version),3LcLR5Mpdj6C5jiaReLvDt,4,not available
3,Oh Baby (We Got A Good Thing Goin') - Remastered 2002,40jlfhcgbV32rt9bb84vlH,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,"The Rolling Stones, Now! (Remastered)",6CNXUyFKuhAjKIDsV3m6kZ,0,not available
4,Big Ben Boogie,4h07TUVhpvt1PfUb9hY3uu,Winifred Atwell,6dYjED5eEVQa9RdtR0KAM4,Black & White Rag,1g2UMNM3uEehj0dmQ6THCc,1,https://p.scdn.co/mp3-preview/ed735898bdf51bfdf0cb1e7b91d091d28acca49a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Wang Dang Doodle - Single Version,2uAM5s6z1jU9tm6fTFY9eO,Koko Taylor,04qIJRFjTmvW5I1DMyGE1R,What It Takes: The Chess Years [Expanded Edition],6o8lM2GjSj1yqEZ84KCgAb,0,not available
6,Child Of The Moon (rmk),3iG6sQ5Lpy3mdZ0yxzypq2,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Singles 1968-1971 (International Version),6KlJV0tOH85ZGtI2gyvXpo,0,not available
7,Fire,6cVdoWiwNGbmE6tcpZ2GSc,Arthur Brown,4Wyn0ejiSIAgFhCL6zbTRm,The Crazy World Of Arthur Brown,2gu9Q6wy3ftQtg4lplR7SP,48,not available
8,Night Train,5mxxdOFiCuIyqZXUcq5VJi,James Brown & The Famous Flames,32r72WOqqRO1DtSznId7Lr,I Got You (I Feel Good),1MBy4TpZXZD1G8zuaWkA6O,0,not available
9,Shake For Me,1rtHlgmione27sNcbVbl1v,Howlin' Wolf,0Wxy5Qka8BN9crcFkiAxSR,Anthology,3H40DS7cHrLsWb4frwXWPL,0,not available
10,Undercover (Of The Night) - 2009 Re-Mastered Digital Version,6DgqroIXRnsTa5Y3Gj0iMI,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Undercover (2009 Re-Mastered),064eFGemsrDcMvgRZ0gqtw,3,not available
11,Trouble,1kVeI4KHPAbtdU6zoWNL8f,Keith Richards,08avsqaGIlK2x3i2Cu7rKH,Trouble,6C9euJzOo1sE0gySekaDXp,0,not available
12,I Had Too Much to Dream (Last Night),5YgCmkSdGukXqK3fJlX4pQ,The Electric Prunes,1kkpNi8Ii5MhBMxmUhN5g9,I Had Too Much To Dream (Last Night),1k3ldWSHD1BwUVHGiFMhyw,49,https://p.scdn.co/mp3-preview/f60e58a277ff58c4dcffabc41e2b64e79fc78657?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,We Love You - Stereo Version,7D9zQOnM8fDzNHtI1rondd,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Singles 1965-1967,2EXY5L6GbdSrRR3mo5Bes5,4,not available
14,Because the Night,0lIoY4ZQsdn5QzhraM9o9u,Patti Smith,0vYkHhJ48Bs3jWcvZXvOrP,Easter,1p6cWoueuunhpgy6131zAd,63,https://p.scdn.co/mp3-preview/91aeadd271c997390ca82caaee943f6f6b636d30?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,The Girl Can't Help It,2O3gFE2JiBTUvsJH382fdG,Little Richard,4xls23Ye9WR9yy3yYMpAMm,Slippin' And Slidin' (Peepin' And Hidin'),5rOwWGUwnOpGlo5xfCEcyo,0,not available
16,Wee Wee Hours,0CJExyagB6OLyTszmbj5jq,Chuck Berry,293zczrfYafIItmnmM3coR,Blues,7gJRNa3xHyTB9HKwo2SFPz,0,not available
17,2000 Light Years From Home,2qWUF2lWeNoXEErXgmlF38,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,Their Satanic Majesties Request,44jYRMyw4XlsW7D6cxGdzk,2,not available
18,Journey In Satchidananda,6ZTilFyljGPpZeS5KbU0sh,Alice Coltrane,0oKYiTD5CdNbrofRvM1dIr,Journey In Satchidananda,14qDLRNo3R2MsddIfWXpcB,43,not available
19,Here Comes the Night,3OfttbJAJNvkI4VwtZD2E7,Them,5BaHqGtf6UAZnHfqdPaTDA,Complete Them (1964-1967),0I5bDXICWz4idoFkxv0W4Z,51,https://p.scdn.co/mp3-preview/4d052ba344cbdf284bc0c6ba331e5b49e1e635e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Summertime Blues,2wwRSaZgshcHSvGzWryUIi,Eddie Cochran,1p0t3JtUTayV2wb1RGN9mO,The Very Best Of,25TCdjTn54TAHVulRohu4G,13,not available
21,Land of Israel,7Mn25y1aQZnMmXvcX3p6Cy,Johnny Cash,6kACVPfCOnqzgfEF5ryl0x,The Holy Land,2nydwfDSmSmJaFTNsWK1kG,15,https://p.scdn.co/mp3-preview/165161accd0525b66847f034e3db795dfcc8c181?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,The Devil To Pay,4z6uU6l22n0c9Vdgc9A7IQ,Johnny Cash,6kACVPfCOnqzgfEF5ryl0x,"Hello, I'm Johnny Cash",1ET6CG74QlRHqbU1fJ5NhE,27,https://p.scdn.co/mp3-preview/288996cd0a56d675a87a57cd560cd7cd3d43bc10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,That'll Be The Day,49dOnz1NuDgUNba91MudGy,Buddy Holly,3wYyutjgII8LJVVOLrGI0D,The Very Best Of Buddy Holly,4ufhEXGkugwUgZ2fOHx5ts,11,not available
24,(I Can't Get No) Satisfaction - Mono; 2008 Remaster,5oM4P3GHTogOTWedEpq4I5,Otis Redding,60df5JBRRPcnSpsIMxxwQm,The King of Soul,2Vb7aaRyTQdIqrf7mQ6Qrs,20,https://p.scdn.co/mp3-preview/9e683f88c890c39adf02f130526a2f47e69aba50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
