People's History of Pop 1986-1996 (BBC Four),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
19,Chime - edit,31FEsEwlOqiPpUOIqi1PPw,Orbital,3csPCeXsj2wezyvkRFzvmV,Work 1989 - 2002,2V3Xh4bwakEcRDEhh5ORod,0,not available
20,No Good (Start the Dance),4kcBLVepesflQP345wKVeq,The Prodigy,4k1ELeJKT1ISyDv8JivPpB,Music for the Jilted Generation,04moHShgS3I0ErPt2mTAtd,6,not available
21,For Tomorrow - 2012 Remastered Version,3rWlZxRCrBMcEL3QsSidr4,Blur,7MhMgCo0Bl0Kukl93PZbYS,Modern Life Is Rubbish [Special Edition],2gu1tAkUSoe5zTJNM0qU3g,52,https://p.scdn.co/mp3-preview/719f1b9b9e319f5cadd092bc277df84865d433cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Connection,2BrL11P3djGJKirIN160qf,Elastica,3l14gV4hIMAjmo7KUvEWTx,Elastica,2Eu3dJJYgcbzrhp0zyRBZz,45,https://p.scdn.co/mp3-preview/d85f3b48fa4ec2b729a99351be6e424b827b2eb8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Girls and Boys,5CeL9C3bsoe4yzYS1Qz8cw,Blur,7MhMgCo0Bl0Kukl93PZbYS,Blur: The Best Of,1bgkxe4t0HNeLn9rhrx79x,69,https://p.scdn.co/mp3-preview/e6fe3a8d487412f67de6e731c1cea650cde07055?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Girl Power,74NLQcg124dJMlJOtVUpBt,Shampoo,3wChfsJPsUnjVHXc79wRN1,Girl Power,5o1FQj6ozzIJLpFrDbXX79,17,https://p.scdn.co/mp3-preview/64996d26b2e7f5c5c742aa01377ffe0813d05bfd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Wannabe,1Je1IMUlBXcx1Fz0WE7oPT,Spice Girls,0uq5PttqEjj3IH1bzwcrXF,Spice,3x2jF7blR6bFHtk4MccsyJ,81,not available
26,Don't Look Back In Anger,7H0jlAh4VoUtdeBUurXae9,Oasis,2DaxqgrOhkeH0fpeiQq2f4,(What's The Story) Morning Glory,1FB977nQEiAr8jel6O2Zn3,17,not available
27,Say You'll Be There,1yTQ39my3MoNROlFw3RDNy,Spice Girls,0uq5PttqEjj3IH1bzwcrXF,Spice,3x2jF7blR6bFHtk4MccsyJ,67,not available
28,Champagne Supernova,2UjLzxf4oYjHOVOBoVojlL,Oasis,2DaxqgrOhkeH0fpeiQq2f4,(What's the Story) Morning Glory?,0PTVq4kaAAuROnfvfA7bHG,65,https://p.scdn.co/mp3-preview/14d0af99bf37887f49ab53ded6175ad12787d910?cid=fa83a2fec7c440b7a2795d600d6b2c7e
