A Woman's Rage: Songs About Being Fed Up,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
26,He Thinks He'll Keep Her,5ANnHcFKjGAC98A7Qkaepd,Mary Chapin Carpenter,0qAmeOULjwn04k6jMMeDyr,The Essential Mary Chapin Carpenter,5XZgZAIHcrnQwcAWq4Tbn9,51,https://p.scdn.co/mp3-preview/fd99e3cd162c3bb3d55543355347b3447e3b5521?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,My Lovin' (You're Never Gonna Get It),3R97rNX7JnmshCWBwOSFet,En Vogue,5fikk4h5qbEebqK2Fc6e48,Funky Divas,7d2qNq4zap02SoWdvr0caA,59,https://p.scdn.co/mp3-preview/5d8d1f7fe6368ceedc942ec7787cfc157a772a11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Kool Thing,1ZozGivTAYsOwhy6LVHsPX,Sonic Youth,5UqTO8smerMvxHYA5xsXb6,Goo,5iYYQwB0oH9FVyVlaOXZdr,58,not available
29,Rosie Strike Back,6e8wCJw4vozMz7qord1cqx,Rosanne Cash,6lx6XS8umFqYRVbBErx9fE,King's Record Shop,4jTw2WiVJ4eJshlpMy5aSl,11,https://p.scdn.co/mp3-preview/f624ecd6acdb67c19391492ab1a9ac80e34d6a50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Buffalo Stance,3XWgwgbWDI56mf1Wl3cLzb,Neneh Cherry,3JxCEqL9zjKnDJgUhRuRJD,Raw Like Sushi,2AyJzvREOnlnYhaBzF1Kxp,50,not available
31,And I Am Telling You I'm Not Going,6SetWNnANlNaeH22lF2VyB,Jennifer Holliday,2ju2ZxMe9yBOnt1MkWo32t,20th Century Masters: The Millennium Collection: Best Of Jennifer Holliday,2IyrhfDNlZptLC904nqkT6,39,not available
32,What Have You Done For Me Lately,2SFq0UIiBWkBgky0fkrHP0,Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,Control,7GWkceE5McMVfffd1RGL6Y,46,not available
33,I'm Not Having It (Re-Recorded),5z1YYPlXwlqkKiPsT0L1fU,Positive K,5NtJpNZgRqBvRCq6OE08ZU,Save The Hip Hop Drama For Yo Mama (Re-Recorded),0BAshDyS28j7yv6OuGx6GW,2,https://p.scdn.co/mp3-preview/a921fc2fd6ec8ca8543721e19acf13fe10219b4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Too Many Creeps,4tv5LzVrftOVRhMR8yxbi6,Bush Tetras,2X2Q1fpEwW7WtZxXb4acYb,Boom In The Night,5WfTRxUqigx5Tu5Ub29XnU,33,https://p.scdn.co/mp3-preview/76310cde72673c088c02dccba762048cbc3c5edc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Bad Reputation,5M5ySjWYS4s6hi2pEvEwb5,Joan Jett & The Blackhearts,1Fmb52lZ6Jv7FMWXXTPO3K,Bad Reputation (Remastered),4W6ZPZ7h5P3F9oL2Y3oN75,2,not available
36,Roxanne's Revenge,2sftlrkrHgbmUa577QsOMm,Roxanne Shante,3r7n7y3j0nYgkPePO4p3QC,The Ol' Skool Flava of...Nia,6MQ4yq30QEdWLtQdzCHGGE,24,https://p.scdn.co/mp3-preview/069e9dc941df39d5c688b1e5948cf71e381633c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Troy,6m3kJ6d7Ypd1eoBoGP2qZN,Sinéad O'Connor,4sD9znwiVFx9cgRPZ42aQ1,Lion and the Cobra,60gQ6EG1JFQWWUcasx7wKc,50,https://p.scdn.co/mp3-preview/f711c85e36997aa64e8c9c63cff40308ad26d728?cid=fa83a2fec7c440b7a2795d600d6b2c7e
