The Best Songs Of The Month,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,My Wing,2pPlM4dz0iDJiVzJOXQKNO,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Terms of Surrender,23h1Qs3UhemYK1ekqgw1uk,46,https://p.scdn.co/mp3-preview/52564668f334990c8c36d8aeb22b511cf48de752?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Old Hat,2BNTOqv1zDZbItHIiuUKWf,Jon Pardi,4MoAOfV4ROWofLG3a3hhBN,Heartache Medication,2ny0Q7DWoI2GH1TlQTuBdD,60,not available
12,Alice in Wonderland,6LB4piSwmQO17TqJV65BnQ,Kalie Shorr,5l2O3KSyCkTtjwcTLixHi5,Open Book,3B9LjhSrQjSZzWhRyQxReg,24,https://p.scdn.co/mp3-preview/693f56fa4aa4a2c6d0885a5f4f096b7b1e566008?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,A Pretty Red,4ysK2USCUyxbtxdu05l8Wq,La Neve,6oM56wpaItnHB11icBhnPY,A Pretty Red,6WaDeD0HmNbFlik4y0tM9q,23,https://p.scdn.co/mp3-preview/97a99eefd8000aa4e5158e0a490c23169f45721e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,The Wild Rover,0nb1FJ7rW3pyQP44WTogaW,Lankum,2zPm4XzwKuPidtfKh92H2Z,The Wild Rover,6WZ3MLpI2o4CxU0RWknstT,34,https://p.scdn.co/mp3-preview/d00e22474162c57f4d7672a74e5621462e23a806?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Heart Sutra Song - Gone Beyond,0kcnvkq810qDHj9eX2qdtH,Laurie Anderson,5hqB3Fxgin9YGYa0mIGf1G,Songs from the Bardo,08D0Jby6PtRWX9io6dQamA,32,https://p.scdn.co/mp3-preview/eae62f370d726971448c010d7ceae62482208c0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Leather Daddy,70RfJ89j3kqOP1kQ9plOOy,Microwave,7ptm7G8z8VVvwBnDq8fAmD,Death is a Warm Blanket,3Npw95CLeKN2N2X7KgLl5r,46,https://p.scdn.co/mp3-preview/3f23d3caa5541d8a2501b9a337821699381aa9a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Almost Free,13tWxfK97sxdpfk8p9lR91,Molly Sarlé,4XLoKwIIoARkhaKuZocq5d,Karaoke Angel,4Op0Io346Tajgi7M6iLRV5,32,https://p.scdn.co/mp3-preview/50721da3d7ffd7d76cbf48f2950290c389b7f8e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,The Fool,6u06cNiYZQ0f58UaZU7ZGK,Overcoats,2pst3pDewxsl4kJERuDZpp,The Fool,27MlqWaVkKVt0rHipc6WUf,53,not available
19,No Bullshit,6TI9TADFjvqrExpG88qg9q,SAULT,1uRxRKC7d9zwYGSRflTKDR,7,19uWOx2aMKl7cdesfEyFms,35,https://p.scdn.co/mp3-preview/95445276d9c05fe5c87b1001a3b7b2b006ede25e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Doggy Bag,0hJDGarm7R9jKExoPb2CuG,WaqWaq Kingdom,4in9NY36a5EllSTje5liC5,Doggy Bag,6lHdM9Q9aRRxgLTuBKQmbQ,18,https://p.scdn.co/mp3-preview/a85389dc62eaf95b493523119b7bff15d5aa76ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
