Drive That Funky Soul,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,17752,spotify_uk_
1,People Get Up And Drive Your Funky Soul,4MYAriiSUzgFNvd16mOtHS,James Brown,7GaxyUddsPok8BuhxN6OUW,The Singles Vol. 9 (1973-1975),73ypjQ8NmBx2ClBxinEr0I,2,not available
2,It's a New Day,3xbJKmI4nJsrNWsR19FXdu,Skull Snaps,1UMfAdvEOF6ly4dPiR5oWJ,Skull Snaps (Digitally Remastered),4unHYV3Xv6FmHwi7nzHxeH,27,https://p.scdn.co/mp3-preview/72a33549d39813e911cb178f4b47890c229e62bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Funky Super Fly - Pts. 1 & 2,5v6QOABJDkQgLaeUUFtmJL,Bobby Williams,6JkMj7SxN7t0HHseKZdDgt,Funky Superfly,3eyyjfmfVM0N8Yhvaigx1h,23,https://p.scdn.co/mp3-preview/3373aa8badf51c99fd603966c7f8fe5ca25ef28d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,All Aboard The Funky Soul Train,2qklTvbtRqVDOjoSo5NTfQ,The J.B.'s,4lJHGi5dlJmWwFH0JKF6di,Funky Good Time: The Anthology,5QsEKmBv0xUFqR4HgZITKu,1,not available
5,The Sad Chicken,368qBcXIAVyUetrxBldmM9,Leroy,5vkZtKhcby3JzDaSkTQnCt,Cold Heat,0PGmzaeVknvHNVMhI13ROy,28,https://p.scdn.co/mp3-preview/7fb01c54c23c2856db06c5c91a0b5b14f06a8588?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Bumble Bee (Sting Me),4eoP2E3dMtsQFrL8z7WLyd,Wilson Pickett,0N5PyKJzS3M1XNlaCL7bbE,In Philadelphia,1PhXZOVQd8gzmFYGHgOase,35,https://p.scdn.co/mp3-preview/0b6d8370e01ff3a909d5d7a237b1f2cc43b79437?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Scorpio (Original Extended Album Version),6SnQpeMGO92hZrhlty3XCn,Dennis Coffey,57GVLfjMebK2uiZn3wHUN8,10 Best From The 70s,7tRkXr9RAqZEZ1BfTbUbpx,0,not available
8,Mother Popcorn - Single Version,5W0xgDN4IyhYDTUHbm8Fks,James Brown,7GaxyUddsPok8BuhxN6OUW,#1's International Version,2cZGGwUi6srhxDiXGadK6P,0,not available
9,What A Man,1fAq1tPHZGsYACY25qdIcd,Linda Lyndell,5zU5MAgXh6Lcs3FY2KSFNQ,Sourced,78rQftFElWu9VzTEHJUNun,7,not available
10,I Got The Feelin' - Single Version,5tT343vz3ymI4xwq4W4ANE,James Brown,7GaxyUddsPok8BuhxN6OUW,I Feel Good: The Very Best Of,0fovpohjB1baHoe47xhfa3,19,not available
11,Would You Believe In Me,6vyQ16BaJD028xZbJY5bUO,Jon Lucien,2CV1vj08wUVXTAMs2Ho35r,The Masters Series: Rare Groove,0vbdMpcv9vuAuCSpExvwdv,24,https://p.scdn.co/mp3-preview/8598a27c04467ce1766b00b671f6b7fbbf7e4733?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Think (About It) - Single Version,41VralobTkW7XgR5TebwNk,Lyn Collins,6XJPGyxrP66scKvIE9kpPN,Mama Feelgood: The Best Of,4dbTy298O7gy58tVJLlosh,8,not available
13,Different Strokes,5O14WMdO6VVy2kcxQ7xjaP,Syl Johnson,6XItHNeKXecnFpkJHOn5JL,"Super Rare Soul, Vol. 3",01x240qiRiVVcX6DvoyRj5,0,not available
14,Footstumpin' (Alternate Take),5cae7SInhNkVEMF796VJYb,The Organics,1yPqigaxAZAB3zVgIQYl48,Local Customs: Downriver Revival,18cly2hHSXm1mU9HYFD2S0,23,https://p.scdn.co/mp3-preview/f2ff3db6217464f85bcbf818ca97b089da2581ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Chevere Que Chevere,2KW6BsbLwRhksNljVMvcde,Joe Bataan,7ME0heqob2B32S9ofWhOyU,Call My Name,7lE8v4zEzTdseOxQsYLwJo,26,https://p.scdn.co/mp3-preview/31774fdf51cb51a67bf91f95f6f3a065f3dc1f28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Kissing My Love,1uYFjXYe431Stwmapureka,Cold Blood,0q8LQM9bH2uGZ9QvA3NeZO,Thriller!,0p2lWjdvrFrqhUTgX2W2d4,26,https://p.scdn.co/mp3-preview/bf12c2fb2db0b62b9028b79c1338de3ddfde9598?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Brick House,6rse1lgQ3ccmyRlieBzRLl,Commodores,6twIAGnYuIT1pncMAsXnEm,Cool - Funk,7gQvwVSqfD2lqzf40WFNQz,25,not available
18,Still Water (Love),3oEKil1PaT1bz223LPAEJs,Four Tops,7fIvjotigTGWqjIz6EP1i4,Still Waters Run Deep & Changing Times,1YHIfr13dnBRC1DRbo3iSl,0,not available
19,Soul Power 74 - Part II,2IHiO2e6YOQJfXGQfVtWhO,Maceo And The Macks,0rDIqnqwAmDPL1gyzoFH9y,True Funk [3 CD Set],6YQxPRto33Zn2SpzIFIobt,2,not available
20,"Top Going Down, Bottom Going Up",0HcKZL4j1rr7hvPwtZX6r6,Nathan Bartell,2N3nvA6WX5qTjTQtpxVmKj,Quantic Presents Worlds Rarest Funk 45s 2,7aMSahKMz2r8rg77Mv9XRN,28,https://p.scdn.co/mp3-preview/52a2155100f808e8e3a526c7e52203e67c794960?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,"We Live In Brooklyn, Baby",0JQvc3lYVglaAQYpNWwSHt,Roy Ayers Ubiquity,3WbeZvDk1COiO2dEokZqn7,Destination Motherland: The Roy Ayers Anthology,1YdXBTXgqta3k2AgOQFTCp,0,not available
22,Scorpio,6yHo6OS77yoq7opmDahzoa,Kashmere Stage Band,5IlWFdNUgNdNDs50YtHoNf,Cold Heat,0PGmzaeVknvHNVMhI13ROy,22,https://p.scdn.co/mp3-preview/f75f64238dff6f751660129b3448fddb035efec2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Is It Because I'm Black,2tqd5MGF8wXhpHoOKXoF3A,Syl Johnson,6XItHNeKXecnFpkJHOn5JL,Is It Because I'm Black,076qHSzvu55zhfDwgOGiv5,47,https://p.scdn.co/mp3-preview/4abf966a472857a8ffd56d35bfd88a2da4d2f291?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Funky Drummer - Pt. 1 & 2,3bUroyAt2ncaWeYgSMFPe4,James Brown,7GaxyUddsPok8BuhxN6OUW,In the Jungle Groove,5txq0YcojxIMHOjXUGDXiD,1,not available
25,The Grunt - Pt. 1 & 2,7c507lRoBJNXdXX7JMHmIe,The J.B.'s,4lJHGi5dlJmWwFH0JKF6di,Funky Good Time: The Anthology,5QsEKmBv0xUFqR4HgZITKu,0,not available
26,Right On,0IeRPQuVb9JoH1R26FpKiy,Clarence Wheeler,4gbGKYPiT6JsXOkjrCdzOV,Good Times 3,2MKHDBHshsGKn7YmdqG69c,0,not available
27,Luv N' Haight - Single Version,7hg1s3LKKt3QpgVzm93qA5,Sly & The Family Stone,5m8H6zSadhu1j9Yi04VLqD,There's A Riot Goin'On,3o0PyCr2AGALzTztW5TK3t,0,not available
28,Honky Tonk - Part 1,0Q7ujdV8mN9jeW9lvtU5FT,The James Brown Soul Train,1oyEDC7pq66tOiz4BnC6mo,Funky Good Time: The Anthology,5QsEKmBv0xUFqR4HgZITKu,0,not available
29,Pop That Thang,5dDXE8BaKvatNzMhpU0HsL,The Isley Brothers,53QzNeFpzAaXYnrDBbDrIp,Summer Breeze - The Best Of,6Un0lZsdNGDhV9Q4vbqvDe,0,not available
30,We’ve Gotta Find A Way Back To Love,3T8Ix3HQE1tBgZhosGk3x9,Freda Payne,0701Axu6yvUIoctaKMbDIZ,Hot Wax & Invictus - Most Sampled,1c66sLP1m7XsNqbYVOjwqa,21,https://p.scdn.co/mp3-preview/39765d2917894ad1188b6013aa53576b1aa49e9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
