Feel Good Friday,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
14,World of Our Own,4SAHTVRe6EBhgAOWl49yPf,Westlife,5Z1CCuBsyhEHngq3U5IraY,World of Our Own,5FECTGZ9UdITzeo7o0AhUZ,66,https://p.scdn.co/mp3-preview/72b97683262eda27fc7bae2a40c49659d95e4bcf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Just Got Paid,0v3BMLcwUmAwyqJaf5997o,Sigala,1IueXOQyABrMOprrzwQJWN,Just Got Paid,09uJvEy1F5GwvazqSQcYyB,73,https://p.scdn.co/mp3-preview/7aed134222ceb3d401b03b9d90778f448ab6a748?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Anywhere,6lD9nDl7jBUSIPDMAMZjuD,Sigma,01pKrlgPJhm5dB4lneYAqS,Anywhere,5D7wyvS4OM7u1PvEH2k3FO,68,not available
17,Sucker Punch,7aHUol3Vz9xHm4Yot2dSKi,Sigrid,4TrraAsitQKl821DQY42cZ,Sucker Punch,5ZahfPNPqf08xrnoyIVIa3,56,not available
18,Keep On Movin',0MjMqYIYzcCteAs4c0BZGy,Five,6rEzedK7cKWjeQWdAYvWVG,Invincible,6rwT7u32X6CdrOCClbowiW,56,https://p.scdn.co/mp3-preview/87938c92b197d3ce13ad91a392ecf49ee565635b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,2002,4Pbg79cTBu4vgSphoyNq3j,Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,2002,6oSxSPOg7Kuitjt2zwP7sU,78,https://p.scdn.co/mp3-preview/393689f63c149cefb1f1293494058b93a0e19891?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,ME! (feat. Brendon Urie of Panic! At The Disco),4Sib57MmYGJzSvkW84jTwh,Taylor Swift,06HL4z0CvFAxyc27GXpf02,ME!,0WGakTFs8cnggcYsHjIhgy,47,not available
21,Shine,1hrsEHe39nYu1pJx0Nrxd7,Take That,1XgFuvRd7r5g0h844A5ZUQ,Beautiful World,676W2PECpK9UJuuqyjXRjk,63,not available
22,You've Got The Love,0fPf9CDFzVnHpcfld5XVtO,Florence + The Machine,1moxjboGR7GNWYIMWsRjgG,You've Got The Love,77JmKGdCSo3JuNelG5fofU,66,not available
23,Love Machine,6SHvqMjPEQqyJaxuEzNcr3,Girls Aloud,12EtLdLfJ41vUOoVzPZIUy,What Will The Neighbours Say?,5uuYulJrtga1APMxTDcfum,63,not available
24,Build Me Up Buttercup,6sPOmDulFtLzfX25zICNrC,The Foundations,4GITZM5LCR2KcdlgEOrNLD,The Foundations,3j1kw5l2mEeKCUuXXwjhWp,75,https://p.scdn.co/mp3-preview/a1286ea4146157ad1559eaefe6e8a0869e3963b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Dance with Me Tonight,1FSWSs9CL01RCYxXtm08Rf,Olly Murs,3whuHq0yGx60atvA2RCVRW,In Case You Didn't Know,2OvZ8JCShhvxNkptwoGjve,67,https://p.scdn.co/mp3-preview/882a4b1505b9bedf8fe156080cebb23193b3540b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Greatest Day,3LF54Y7TxU5vy3YKAIfiQ4,Take That,1XgFuvRd7r5g0h844A5ZUQ,The Circus,4ZQyCspw8NPzUZm1VantTn,63,not available
27,September Song,0zbzrhfVS9S2TszW3wLQZ7,JP Cooper,4kYGAK2zu9EAomwj3hXkXy,Raised Under Grey Skies (Deluxe),3cS0qzNDjE5SjdAL1W98fo,77,not available
28,Foundations - Edit,2n5rCyakoxP7lOqB7VGwsY,Kate Nash,5vBKu1igxFo6g1sHADkIdg,Foundations (US Version),5B78JJwCPtn5mwnZWF08Mx,41,not available
29,Close To Me (with Diplo) (feat. Swae Lee),5JEx7HbmvHQQswJCsoo9rA,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,Close To Me (feat. Swae Lee),4bLCVUEB9YWKEeaJm8FfqQ,85,not available
30,Everywhere,6i8ecOsx4J2Px1maiqzqoG,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,Tango In The Night,1W5YP0TlKjFtb2UZJThLpV,29,not available
31,I Wanna Dance with Somebody (Who Loves Me),2tUBqZG2AbRi7Q0BIrVrEj,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,Whitney,5Vdzprr5cOqXQo44eHeV7t,81,https://p.scdn.co/mp3-preview/3bb02cefe0aca5129bb4be624a3f0dba6f31409f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Ruin My Life,5tAa8Uaqr4VvA3693mbIhU,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,Ruin My Life,2BM5FQCILC33Va2jOZ11Mu,82,https://p.scdn.co/mp3-preview/ecf6c9e17477f5d2a03c78626694fdbc95170d01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
