Room 2: Urban Classics,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
22,Yo (Excuse Me Miss),7lVEI0S5Kad3KTWn4A2QvX,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,Throwback Thursday R&B Jams,1uK1d6H0smXhjc13Osgoj1,1,not available
23,Pon de Replay,3U3Ff8ZvL6oEu1r98gCCWW,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Music Of The Sun,19UbDbyaYRW1U7lBMYO9F2,59,not available
24,Always On Time,3J4YoloryJCieZ9kapS1oL,Ja Rule,1J2VVASYAamtQ3Bt8wGgA6,Pain Is Love,019lJMwYCbjeWxhLBQFuPn,10,not available
25,Be Faithful,29TJpH7vOyURlvEVVTMXwq,Fatman Scoop,15GGbJKqC6w0VYyAJtjej6,Be Faithful,2Ew6w2SF3LOson2mDYpOif,31,not available
26,Re-Rewind,0VqSg7nsmUNJKHZYufNZFo,Artful Dodger,4L8MIM7AXmq6jb0tRix4JT,Re-Rewind (The Crowd Say Bo Selecta),3A0raDljpXTEvNTRcLhRxx,55,https://p.scdn.co/mp3-preview/e5649d8bd2de43ab397ba48befc222ec51b48743?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Gold Digger,3QHPHLAkYV5cQBUYs6rowx,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Late Registration,0Ds6i3h0F9RcYIKAD5Olum,64,not available
28,U Remind Me,2QsZVnbWVSjKMXK6K3uRBL,Usher,23zg3TcAtWQy7J6upgbUnj,8701,6k16WXh4rKyusIoN00rmpi,74,https://p.scdn.co/mp3-preview/b94b8fba4179746fbb1f23dd124d1aa076f50131?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,What's Luv? (feat. Ja-Rule & Ashanti),2mKouqwAIdQnMP43zxR89r,Fat Joe,3ScY9CQxNLQei8Umvpx5g6,Jealous Ones Still Envy (J.O.S.E),6vMgb2mih3pPiWUxF8VEdI,74,https://p.scdn.co/mp3-preview/1ab4e265221ece1b9a6ba722d1430bd070825221?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,"“sorry (i Didn’t Know)"" (original Radio Edit)",1ElsvWNXbo3jXs4OuakQLn,Monsta Boy,0YgabnWomkooWIaTM6VOfE,Sorry,2jMkOKyXgCi9NI4dxm4EkN,53,https://p.scdn.co/mp3-preview/c1f79ae79b340bd53139568275dd633b72de85cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,AM To PM,5bPvKo7mH5ZETLSbdP1oHo,Christina Milian,4eAOcbAXIF4BmbN6E1QIlw,Christina Milian,7wToXNzrsnCiEbH1OGrDRW,55,not available
32,Shackles (Praise You),7JKEA8xYDoFp4q0QBW2PGg,Mary Mary,12Kgt2eahvxNWhD5PnSUde,Go Get It,20bME4IGNpUBm1Rk3TzuP9,60,https://p.scdn.co/mp3-preview/19566deed7192b63f3634d8954e1c71da0bbda1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Crazy Love,6HfooVSTxGJAMSl2KMrmCV,MJ Cole,49GY4uPAwdlk5lSGtfKWYl,Sincere,6TrlS4jRRt83HYjUKHcNMd,7,not available
34,All I Want,40FFyvBiecWpeKjXHgCRsr,Mis-Teeq,6csA2rxNLkQJXeEa7lyGXn,Lickin' On Both Sides,5TMQsvBUkHGxOEnPEVPrj3,39,https://p.scdn.co/mp3-preview/1b26f501c5e1d8aaded33077b1c1cf58f403ff44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Touch The Sky,2pRyjmTGkz5i8xemOtJ7pG,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,Late Registration,0Ds6i3h0F9RcYIKAD5Olum,57,not available
36,Sweet Like Chocolate (Radio Edit),3IFVskDtdJTwAZ0I8HGvoO,Shanks & Bigfoot,2HdJwHponT4dLmV57ry159,Sweet Like Chocolate,1PZubkPoodI7JEON9ljzOC,54,https://p.scdn.co/mp3-preview/737bbbd9a5b2a61c52f5f6cb4510b39158405418?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,I Luv U Baby - Radio mix,6J3LHclKrdg1zLArH3kmF4,The Original,2IwjkUrnzXsfgXkvUtZYKH,I Luv U Baby,7LgsDPzNTZGIxAOlzwscrR,55,https://p.scdn.co/mp3-preview/4d744710669bed74f80dc042ae64037c7c2d6fe7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Look Right Through - MK Vocal Edit,2DyzYki95bDbkVNczAcQtz,Storm Queen,0DgsuiMZylmPOYkrVOqNYQ,Look Right Through (MK Vocal Edit),0Per6mmtf5vym8ivbrQPVi,58,https://p.scdn.co/mp3-preview/cb7fc17517adfc689bb463a16f58145b9b621225?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Señorita,0aj2QKJvz6CePykmlTApiD,Justin Timberlake,31TPClRtHm23RisEBtV3X7,Justified,6QPkyl04rXwTGlGlcYaRoW,68,https://p.scdn.co/mp3-preview/8a246268bbe230983f28a006d7f40286a272c5d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,No Letting Go,5dWfl2PBpKHpBVdz95wxK1,Wayne Wonder,3kc5AFnL1TQQdNaMdSW2UO,No Holding Back,3WH8Q7LS2p143e5PrKGLeA,63,https://p.scdn.co/mp3-preview/6dbbbdd3ef30c2292246d582ec64c41060ffab26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,A Little Bit of Luck,3stQUVyIkVtY7KbU8OGnEN,DJ Luck & MC Neat,4MflsXABg2VC9Powgd7JCF,A Little Bit Of Luck,2lnitRC7G6edIjewfydk2U,56,https://p.scdn.co/mp3-preview/d91edf8ccca3261f2cbd3edd5a289f80deb42b39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Dilemma,18vdhCWxqPohnPwicDi3Xr,Nelly,2gBjLmx6zQnFGQJCAQpRgw,Nellyville,1kh5XByhI0DDWV7m9kddr0,62,not available
43,"Jumpin', Jumpin'",4pmc2AxSEq6g7hPVlJCPyP,Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i,The Writing's On The Wall,283NWqNsCA9GwVHrJk59CG,72,https://p.scdn.co/mp3-preview/900921fe7ea36b001edc1c21f146c4732ff43032?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Sunshine - Wookie Main Mix,5q1hpdlf8ncJUhKLyjHoHB,Gabrielle,7rftfGIYEeZ79sLb58ZBDi,Rise,2R6V1HDBBgRxfu469y6V6R,47,not available
45,Me & U,7k6IzwMGpxnRghE7YosnXT,Cassie,27FGXRNruFoOdf1vP8dqcH,Cassie (U.S. Version),0j1qzjaJmsF1FkcICf3hRu,72,https://p.scdn.co/mp3-preview/af06bccc66a9062aa4655fdd22c151c4ae577a54?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Why,2yRYI0OVKjfHm1586P0BJO,Glamma Kid,5af1NCuQPqXvilvvum6tub,Blackmarket presents 2 Step - Volume 2,4b5Md63obUODg2wcUlVhT9,43,https://p.scdn.co/mp3-preview/729f5b0cb7dbe398a3245102389078efe5298b49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Ride Wit Me,5x2TDyeeTpf0riUoQDrvsV,Nelly,2gBjLmx6zQnFGQJCAQpRgw,Best Of Nelly,7kL2kX4AeR1eUR9bz2mbNe,62,not available
48,Jenny from the Block - Track Masters Remix,0vYMzeTmfbnrAhGPRcJqVP,Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR,This Is Me...Then,0yrEC0zQQa0Gf8PfqnOYsp,7,not available
49,My Boo,68vgtRHr7iZHpzGpon6Jlo,Usher,23zg3TcAtWQy7J6upgbUnj,Confessions (Expanded Edition),1RM6MGv6bcl6NrAG8PGoZk,77,https://p.scdn.co/mp3-preview/132214d772dfacb85b3ed27bafc366b526c5da49?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,"One, Two Step (feat. Missy Elliott)",59OZXaIPW4QHMmJcoSZYpC,Ciara,2NdeV5rLm47xAvogXrYhJX,Throwback Thursday R&B Jams,1uK1d6H0smXhjc13Osgoj1,0,not available
51,Fantasy - Bad Boy Fantasy,0nknDCcG0tZQuoVpRL7Bfj,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,Throwback Thursday R&B Jams,1uK1d6H0smXhjc13Osgoj1,2,not available
52,No Diggity,0AvV49z4EPz5ocYN7eKGAK,Blackstreet,2P3cjUru4H3fhSXXNxE9kA,Another Level,6nUnNpoLKWpb9qxhYiT98S,19,not available
53,Beautiful Girls - Radio Edit,4Tf94tAHtlQxjbeeyU3y7C,Sean Kingston,6S0dmVVn4udvppDhZIWxCr,Beautiful Girls,3xNkswNSrzwSAIb6qleRrA,55,https://p.scdn.co/mp3-preview/ee6cd43c4a5fc2ddad6529a7425434a42151232b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,White Noise,3nOMGGeQppHhfrkQ65VLVQ,Disclosure,6nS5roXSAGhTGr34W6n7Et,White Noise,1c1OQBsCs2F4kRY8CXauuo,63,not available
55,Murder She Wrote,280GUUkqaTBa12SCpQdlip,Chaka Demus & Pliers,6RQkaOWddQmiLLJqSgnTbm,Tease Me,3MvOWcHQP67OGTJvr9TPFi,6,not available
56,Imagine - Asylum Remix,0tHr952isDUWtoYBa68RUb,Shola Ama,1XCorAp4vtEceWjPgyiiw6,Garage Nation,1A8TZkInJCQCUsyOxPsC1W,3,not available
57,Temperature,0k2GOhqsrxDTAbFFSdNJjT,Sean Paul,3Isy6kedDrgPYoTS1dazA9,The Trinity,32Bu3ETQhR1PFCj3ndDlYf,76,https://p.scdn.co/mp3-preview/c1ee0ed6fce41fc3ab320cbacdbfcffd197af3a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Turn Me On,0BBOLOV5JntPL3341swIre,Kevin Lyttle,1GaBsp1ICIp1e6udgE7fba,Kevin Lyttle (US Domestic release),0OWwtYwEZFMquSeHGNv3cw,65,https://p.scdn.co/mp3-preview/25983983d1f5c1da2bee20e2e828789859f532b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
