Easy,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
23,What If,6uPvKfUXdKD6pIVoO4rFaL,Rhys Lewis,4T2k9bgIoC8bbqjqiEl9vZ,What If,3coczD0Xkl7liE9cjvqX3R,65,not available
24,Little Love,7kuknPPa148Ex9XUpYvvIZ,Tom Speight,02U4dXZhGSo07f66l8JZ91,Little Love,2Q21uR1dGlu2eLpH6skFc2,51,https://p.scdn.co/mp3-preview/af7d4ffc9d574ca815e9bfa0bb63ab4f011f17f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Come Home To Me,2K8elWg8ihrZRwZJ7Gy6L3,LÉON,4SqTiwOEdYrNayaGMkc7ia,LÉON,4rH2e0qPw9MrwOSdk9rKNe,68,https://p.scdn.co/mp3-preview/32c5a5e057154dd0dc6c99961c05a63a928ef80b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Slide Away,44ADyYoY5liaRa3EOAl4uf,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,Slide Away,0SHGFAL8WZUvpWb5iLPp6E,90,https://p.scdn.co/mp3-preview/0cff2bb99981e4c697a584cbac6f5225d08a1e3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Heavy In The Morning,1ERPi46mkhiCL5XmTAdZAc,KAWALA,58bHgbHOExsHSOGlf0uUkL,Heavy In The Morning,6jp1isHMWcqdyXJQPc8fML,41,not available
28,Sunday Morning,0CxVnKu6PG6tYTGVtSD8UU,Hamzaa,3TXjnAw0sg1VVdnR9fGdBs,Phases EP,67yZd1xUTES5qFQT9XNwZG,58,https://p.scdn.co/mp3-preview/61c6c4ea9d74ef14fa559cb8c1e081684e9e92d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Love Again,6sVDMcXr4vS3OLqmJpfQne,RuthAnne,31rVRoX5ZG9ZyRbHvlEwjA,Love Again,1pHHBKK6bzn4eJHEUgJAnk,50,https://p.scdn.co/mp3-preview/c386317b1bfc2202559323616751d81c8ba9a949?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Hollow,2dojP1uWh51PhLlTMYIMue,James Smith,543ccHFPnZfJMD8tRGPtu7,Hollow,2OcR5Lm3zfwpGKzQg6Gh8Q,57,not available
31,Breathe In,05jMBDlGSJgIqEuw5xo38F,Ward Thomas,0xBhUB0EfzvchYnaIWkdBw,Breathe In,2td0d4u3UYjWusxqccZVIo,48,https://p.scdn.co/mp3-preview/2e458caa2a0bf6b43c18aa383e47ac05d3ed3469?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Stay Young - Acoustic,4JTJPnMP8bgByqHG6c0QMA,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,Stay Young (Acoustic),4ipKTh2wh5ib5lXqaYHbIY,53,https://p.scdn.co/mp3-preview/423e6eba0a3f4ff5caffe7eb8d3b0470795a738b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
