The Rock List,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,109020,spotify_uk_
1,Into the Surf,55o8LNTefCEX475jcSn4qH,Foals,6FQqZYVfTNQ1pCqfkwVFEa,Into the Surf,0025Y5D7IOZVpEfQtpvHIi,65,https://p.scdn.co/mp3-preview/9366a991d9ecb49fde2275b80d78c87e08ead238?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,The Borders,4oZxIJoCv6UVuseYGoy0h3,Sam Fender,6zlR5ttMfMNmwf2lecU9Cc,The Borders,5x4JCQ9nQE7qQoKyWY7D6f,66,not available
3,Hope For The Underrated Youth,6AYD3ztnzQhAJQ3SOWwqtP,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,Hope For The Underrated Youth,486SJxMPXQrwatQ4S1cU8G,71,not available
4,Bubble Gun,0taUCqJNeUmAoaN5UyKcPb,Honeyblood,2zCxZQIcbO3Ev8AyTxxqmm,Bubble Gun,4759qD4Th9yBbSjplJIh03,39,https://p.scdn.co/mp3-preview/7bead16d34f7a9c6c16a91d9014282bfa0586c17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,One Of Us,30W0p4Gg7MeQKggG25b0J2,Catholic Action,7weMxddXvIGbPk8R8SkH5H,One Of Us,3yO97ochB2Y1Ta3T3Rm2Sk,34,https://p.scdn.co/mp3-preview/0ebb3d795b2f4ecc259e4a42a21ceaa6e3b3eac2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Sorry,7CURMjvpE285aV8VGBhznH,SAINT PHNX,1Tdg7NIdyWx9icE2GNZzxk,Sorry,0lptWsj6UNwuRbcMg3WOfe,59,https://p.scdn.co/mp3-preview/5f431c56386b6d422d3ee323efb2ff9a5c9bed8a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Not Where You Pretend You Are,7s7irck125SZba3kPbU5kV,Annabel Allum,5vkZbKJdzVGMguwXljppOz,Not Where You Pretend You Are,0wi1fG2UZz5ONTls94ZcQv,32,https://p.scdn.co/mp3-preview/c59fa99da2dcc3bc7fdc7e3e7d6ed53ebda86381?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,The Inconvenient Truth,2ytc0lcdULjVATN29fFnjv,Nervus,4vApur54D4XetXX1xnIAKv,Tough Crowd,4SnGyNZdZsFWNYFmANxfH4,35,https://p.scdn.co/mp3-preview/2531e2c6712e38988d8cd91db859bd74f57dca38?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,sugar honey ice & tea - Edit,0zEKOcdfzNkvW1OFnazAQO,Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,sugar honey ice & tea (Edit),2442fVHcs5gEuDXgRHespx,62,https://p.scdn.co/mp3-preview/641573664ae4198379a755d43d45f21e49f25519?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Go Out With You,1ETajdK6h5qub64KFsU8e4,BLOXX,4wYzzR0lpEub1gUU8bbBTw,Go Out With You,33VOTiFZa62yttu5roeQVa,46,https://p.scdn.co/mp3-preview/d070b8ef580cb9e9a02deda87da3e7e44cecb228?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,What's It Like,4UmOAzO9O1xxFQEym6ZcSj,You Me At Six,1kNQXvepPjaPgUfeDAF2h6,What's It Like,6DGBiEEqsqKb1JZg6BS0Mt,56,https://p.scdn.co/mp3-preview/b1a055cc89ecc5d576b443ab3700fea432f6bd62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,"Rockstar - Recorded At Abbey Road Studios, London",5D6Z7Iof3v5QRbaW2LquoN,YONAKA,3Wcyta3gkOdQ4TfY0WyZpu,Spotify Singles,2bOO36ZGSYDuXj27cdnxKE,44,https://p.scdn.co/mp3-preview/1d981c29dc980d840eb494b0e66ce42290ec76e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
