Massive Dance Classics,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
23,Fly On The Wings Of Love (XTM & DJ Chucky Presents Annia) [Club Mix Radio Edit],07V8WFArYiW6wuBO4rZbaw,XTM,4zD1wnIvCIplhiQPvF1c0z,100% Clubland,7FQQSKTRD2nMIuO5WQmHaM,54,not available
24,Café Del Mar - Three 'n One Remix,0UjlzEecHAEs2TfcDreKQO,Energy 52,0sElgscu7tp38PM1MtsUz7,Dave Pearce Trance Anthems,0O2dXIZUYvZHMulwwcsj2d,44,https://p.scdn.co/mp3-preview/f82fd439d9d809ed10c19c75b7ca94ac4a08a2ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Flowers - Sunship Radio Edit,1IqANTbvKLojRoomq685LA,Sweet Female Attitude,1054JdBVMCPm9VpvkUcOYX,Flowers,4EBj7OhtgpRZspPD3RHczW,63,not available
26,My My My,653rxW1E7V52QWh6a7oIdS,Armand Van Helden,3cQA9WH8liZfeja1DxcDYE,Nympho,2JIkl78IhsQCuyoEGc7COH,55,https://p.scdn.co/mp3-preview/db7acc08638637d9760afb5401b3181057b3db18?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Movin Too Fast (radio mix),0BYskg260zz9uxuQX6CD4V,Romina Johnson,1NmCD7ZZqEs7Dfp6fSZkZ0,Movin Too Fast,1i5V8efHO7a9SE8YRWh5OF,51,https://p.scdn.co/mp3-preview/15bfe9e2578e03224b07b81e0756b47b03593688?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Encore Une Fois - Future Breeze Edit,3UPBOL5UtCZmJRwioMkfLD,Sash!,5XTxV2ifoYkmNb13Gb6cKz,It's My Life,2YBkamwn6VqpPO2wOfDVjS,63,https://p.scdn.co/mp3-preview/a02fbb29bf705f43942f525522e841a89454f2d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Two Can Play That Game - Radio Edit,1gsnWXeNlbfoHpaGRi4oQ0,Bobby Brown,62sPt3fswraiEPnKQpAbdE,Two Can Play That Game,1K62bZaGNA1eNoR2pNu585,57,not available
30,Dance Wiv Me - Radio Edit,6pTg4H8juKV9iSzrcVUbM3,Dizzee Rascal,0gusqTJKxtU1UTmNRMHZcv,Tongue N' Cheek (Dirtee Deluxe Edition),0tbxVYstYiHpBwA7qYL1hC,67,not available
31,Make A Move On Me,1bRi61JqeHPUDhuftFeK9D,Joey Negro,5cWh5zsmOIFhuPL0Ay1e7f,The Many Faces of Joey Negro Vol.1,6eEreIF7TAIsZGlNCDR7h9,53,https://p.scdn.co/mp3-preview/3bdda5c9a6751c5b72f5b85afc3ea7a5a6047dd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Love On My Mind (feat. Amanda Wilson),2d6kU8J16F3fqpbYKZiLP3,Freemasons,49H2dQUNhIlso7VNkS8nFR,Unmixed,6RJScagruOkzWCCOiXRNND,51,https://p.scdn.co/mp3-preview/d0344d28d3cd5aec73c7263fb99fc2f987c71624?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Anthem,5czNuIU6g7l5jpefJRcPR4,N Joi,0hcjDfqTgMJdAY7e83gSxs,Anthem,3SFsRy1gfOGmcCpGkPrUSc,51,https://p.scdn.co/mp3-preview/ce902bf8f1afc3406df64246194ad2ea5f305101?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Better Off Alone,0pMUR7Uvp6vxlbG0qBFvgM,Alice DJ,2tbvDi9eXf9XXp06LupkED,Who Needs Guitars Anyway?,5oPKlo7IBFXlh12tqDVoAU,72,https://p.scdn.co/mp3-preview/d4a8e5d6fe6e83aded1afc394b2fe8e792fb6810?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,U Don't Know Me (feat. Duane Harden),0TN9m8rp3ZuNi4JwCKSans,Armand Van Helden,3cQA9WH8liZfeja1DxcDYE,2 Future 4 U,00XVrVh53A6ENcRbErr81y,61,https://p.scdn.co/mp3-preview/25e73618480cab0ef8111c6c500db350b00c0378?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Sun Is Up - UK Radio Edit,227ftQ5S697FAxmeA6AyoL,INNA,2w9zwq3AktTeYYMuhMjju8,Sun Is Up,1euyLnEU0sFcRHVhTglcay,52,not available
37,Cry for You - UK Radio Edit,2FuJvdLfBf8eUmgtlz3Rb3,September,6VX2R9L0O0d6qPvqGuIH7b,Gold,4d03zDt0sm9pK0h2NWfl75,54,https://p.scdn.co/mp3-preview/13e98f5f884c5481f780d0814ac51c8c5c7f243a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Heaven (feat. Do) - Radio Edit,4Ju8pNta5r29QBLCSMvwdn,Yanou,5SWX583ExJOL7cv8572Crs,Heaven (feat. Do),1CVDLH6Wt7b7ENiIZVEEEj,3,not available
39,Yeah Yeah - D Ramirez Vocal Radio Edit,4HVGC52IogHANcKFA0QYiT,Bodyrox,3FVJvsdVNbVmydSuI22Z5v,Yeah Yeah,0qIj9p0MyiMJWtw9Bqc5br,54,https://p.scdn.co/mp3-preview/d315a056fa9da91ec020019c7a5d8434c46dc351?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Coma Cat,48gv7cE3Fs4DNNSgWkbu1f,Tensnake,75nC6MXUalYZSOd7OfNkwq,Coma Cat,6nw5kO6PPxOI2RzuNX7Bya,49,https://p.scdn.co/mp3-preview/5671841baf6b284cd1da1f37886e4253c7136f2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Million Dollar Bill - Frankie Knuckles Radio Mix,1nJbqPEluXQET0TfQ47E68,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,Million Dollar Bill Remixes,4XevUflzYL35oTRRfQfSok,49,https://p.scdn.co/mp3-preview/c8b207040d8bed3a91930e7618ad16114da1d3a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Call On Me - Radio Edit,3uLSUZEmTY50H6Kw17lpfW,Eric Prydz,5sm0jQ1mq0dusiLtDJ2b4R,Call On Me,4FN8F3aiiUagVSBBGW5ULu,15,not available
43,Wearing My Rolex - Radio Edit,5liQj4sVRmEEESvvcb64o8,Wiley,7k9T7lZlHjRAM1bb0r9Rm3,See Clear Now,6jyCINx0IQwks3MnchgcOR,62,https://p.scdn.co/mp3-preview/3590d62e44888e92346fc806af09d51943ec6887?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Gold Dust - Shy FX Re-Edit,61gnmKsVhB4TuSJWZzjI3N,DJ Fresh,6r20qOqY7qDWI0PPTxVMlC,Gold Dust (Shy FX Re-Edit),2y7ahWV2mpl2le5QboUG2k,60,https://p.scdn.co/mp3-preview/5792566962627c012428015ec86fac0c837b0417?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Million Voices - Radio Edit,3dIDJj2RaJGNzPjk7HFONt,Otto Knows,5fahUm8t5c0GIdeTq0ZaG8,Summer Beats 2013,0RxTS4Tscggk9IohCwattD,54,not available
46,Feels Like Heaven,7HlxqDDzdWE3gK0i6fS6Bt,Urban Cookie Collective,1QYMj6ouUhi6yis1HE8M68,The Very Best Of,6IjQa4ZCnkSa9cnUvA3yJG,48,https://p.scdn.co/mp3-preview/1635fdfb19ffd7221567f1084d258afdb78fdf60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Look Right Through - MK Vocal Edit,2DyzYki95bDbkVNczAcQtz,Storm Queen,0DgsuiMZylmPOYkrVOqNYQ,Look Right Through (MK Vocal Edit),0Per6mmtf5vym8ivbrQPVi,58,https://p.scdn.co/mp3-preview/cb7fc17517adfc689bb463a16f58145b9b621225?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,"Rhythm Is A Dancer - 7"" Edit",5iEDwEp82uLN3X6llJdqen,SNAP!,2FrKQPjJe4pVMZOgm0ESOx,SNAP! The Power Greatest Hits,3SxQyJ7t7NVkUrJYh0TZqi,19,not available
49,Fade (feat. Kimblee) - Grant Nelson Big Room Remix,2MrqsdUMUzC3a02oQUbkpQ,Solu Music,0lpwsK5bX64iD7GjEda5De,Fade (feat. Kimblee),6BCPilvXMiQhjS9zoKRx2W,44,https://p.scdn.co/mp3-preview/3bd5174e51b04ee09e9fe1f7daa7c970694017d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Drop The Pressure,243NB0yDHxtapXQvJvCaW6,Mylo,5YjEVrNMrIRw2xGbjTN6Ti,Destroy Rock & Roll,5hEmQDypt7E7hJIQeTo6as,49,https://p.scdn.co/mp3-preview/8c4ca644846268d5b28fc5321f551861b08fb702?cid=fa83a2fec7c440b7a2795d600d6b2c7e
