Mellow Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
33,Faith,7GV76jsKLVPMNPA96mXu2E,ANYA,0LtICwkx09q0oc4VjuwJTT,Faith,4Fyu3D6jQNBCWcNy7sTjHg,49,https://p.scdn.co/mp3-preview/4a444e7a6f7a52bb28fe8778aea5f2e6b095aa4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Better Than You Loved Me,5PURLxGAJPJZ1GL9L0BpSD,Aaron Smith,5Nm4sZeWDNd1sOs5HcxAbl,Better Than You Loved Me,0KoYYMNalIsrQnwUD7IVs0,56,https://p.scdn.co/mp3-preview/01a08adf9967722ed996aaddd8549dc83896facc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Phases,3je88Q4OvTqIx7BFRFYvRA,PRETTYMUCH,5Y8eJDj37KhaEeqbVO7Ag1,Phases,4q983qnYbzKzO8ulICPKgm,76,https://p.scdn.co/mp3-preview/4c12bcc076788ed4f73a9db681a1bc0ddced724e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Don't Go Far,3pzc4ipTvnIX9t8zSydnGe,Charlie Cunningham,78CiW0UJbHspFaVuVexOK6,Don't Go Far,6NrHf91NP4zDICGyGzaiYd,25,not available
37,It's You - Acoustic,3FSJBFKoBD4xHuj9F1UUPM,Ali Gatie,4rTv3Ejc7hKMtmoBOK1B4T,It's You (Acoustic),2ip3Vw88dRv77C10gQO3Q1,68,https://p.scdn.co/mp3-preview/0783e5a922bafb14575bafd273ff9fd7e781991d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Little Love,7kuknPPa148Ex9XUpYvvIZ,Tom Speight,02U4dXZhGSo07f66l8JZ91,Little Love,2Q21uR1dGlu2eLpH6skFc2,51,https://p.scdn.co/mp3-preview/af7d4ffc9d574ca815e9bfa0bb63ab4f011f17f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Best Part of Me (feat. YEBBA),5ug4vqGZ3eisGhY1IsziNX,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Best Part of Me (feat. YEBBA),6Z5DhADmyybfKNdymaPLjB,79,https://p.scdn.co/mp3-preview/9b06d400381716c72ee93e5d1db73b2e21158e96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Copenhagen,7InbW1uQxnPs3pIvh6gGu8,Jack Vallier,2wnHlwpI5kZaXQRGq21UNN,Copenhagen,5VLdsaraoRFqlVypErg2lq,54,https://p.scdn.co/mp3-preview/d111e61f93a9dd6d4b969d308f859b87571db901?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Recognise - Acoustic Version,2d8uu9ij9OZJMsyO48xziE,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,Recognise (Acoustic Version),6TQGapvrbuw3ygDNvo5g7H,27,https://p.scdn.co/mp3-preview/1a0d4fa535c7168bebdafa0d51a8929aa2a726f0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Different Kind of Love,1u1gxhg453Qv1sBUYtomtd,Hannah Grace,597GQ9dmhOQoBfqmfQINKB,Different Kind of Love,7Ad8aMOpk50RA9KmlEtCZK,9,not available
43,I Don't Know You Anymore - demo,6QSH5lHbiKxOTqc9WSdi09,Sody,01y8iBZYk8aeNfPsuTVrAt,I Don't Know You Anymore (demo),0oEcktTBdE01o80o1ZSFsO,57,https://p.scdn.co/mp3-preview/579a6a753a202f5e7a55e35cdd725f94c53c4a7b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Fly When I Fall,6lT0DHecA1thspBEZX2X1y,Lewis Watson,40ELTAg7Kg6vbWnlyx2n9R,Fly When I Fall,17yCOtauWGE5jmzNq3t2bv,31,https://p.scdn.co/mp3-preview/9fe260f5f6d5974b961bc41dae6fd1062387a4a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Bad,3xRcQ04b0l5RiU2w7lJhCD,James Bay,4EzkuveR9pLvDVFNx6foYD,Oh My Messy Mind,2aIsEIVLrAP75xdEhdVm1d,74,not available
46,Jesus In LA,5i2JGF65pHKSfMEjSMrBC3,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,Jesus In LA,2aygqrnBUbPolcC6H1GUPS,82,https://p.scdn.co/mp3-preview/590ba446b10a2955c178b843e429dca8e8c06eae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,i love you,6CcJMwBtXByIz4zQLzFkKc,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0S0KGZnfBGSIssfF54WSJh,86,not available
48,Put Me Back Together,6LpxEWeuvaMrrsGgX5CSQv,Caitlyn Smith,3uikSah4dwqwuk0EidFI4R,Put Me Back Together,73c8BJyjru0OCXe2tHGs9u,59,https://p.scdn.co/mp3-preview/346d6750db0da0489d1e477cd5f9b280bd5676e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Running to the Hills,1674dVJi71UNTetOckMldn,Dan Owen,3wrdNgjTSLLQZ382sPyoA5,Running to the Hills,6mDjTwfz8PygKZLS328MZI,45,https://p.scdn.co/mp3-preview/a82e08162026b5638d76e20e2d9734f0524be1ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,If I Can't Have You,1YgGg4W1vikLvgOuWiuodv,Navvy,59uIMi3xrGO0kwfy7Zea24,If I Can't Have You,2naKRuL2DZ7AvZDBJvyPBA,54,https://p.scdn.co/mp3-preview/3f1e9c42ca0aa42801d50dfddfa874a5e2385f2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
