Acid House,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
27,"Get Up, Get Down (Rough Version)",4rB2RqyF2JZ1R7wC4wB9FB,Curry Gang,1Ouqd8jtl8sYJ8yOdiFLlk,"Get Up, Get Down",160s39UNdPOh8u1Jg4pZoC,0,not available
28,"Weekend (Wam Bam 12"" Mix)",0KZWKfZ22SUr9QVLZK2LEg,The Todd Terry Project,1mjzdV49eU7CuhdWnJOWBd,Weekender (Music From The Motion Picture & Further Inspiration),5wfCtpuibRW2GNWIr2hk7O,0,not available
29,As Acid Turns - Remastered,6ifUZhFHTdlbfMbnZHMr4R,Liddell Townsell,0xOcbgGtO2dW15jRS1sTWo,Traxbox (Trax Records Remastered),0W9YJK5QTGJdGLwybMJh3w,0,not available
30,Distant Planet,7tXx01zHIkh0MKb4EZcquy,Mr. Fingers,0dRiUTGvNV17AMIULRYsvn,Four Most Cuts Presents - Mr. Fingers,0cWsPRLyYxRpm3m8Xlle4J,21,https://p.scdn.co/mp3-preview/65c76fddc949d6d5abb4d26af548b2daf84e2940?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Jiggerwatts,35qEbPhtPsijSpbDVqtci4,Phortune,3SKiqrQqIsYjfR8KpY5WW3,The Haçienda - Acid House Classics,7lwBCmb2LjThWjPAasAyoW,0,not available
32,Circus Bells - Original,5Y6M2SWKrHeI2zptDMD7Cc,Robert Armani,3sHkYrW1ZXf3juwNvnxQO6,Circus Bells,6qfg5Fqz0tYqSFgq2ZLymZ,21,https://p.scdn.co/mp3-preview/9645c7e933c891ee324611dcf00fb7e4305081c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Acid Tracks,05kXJj11PCg7aIWvQxp683,Phuture,4y7BsfdIKQ7Of5SskHej70,Acid Tracks,2ytfCSG1WHfz2LP2rGjQ1x,27,https://p.scdn.co/mp3-preview/342aad5ce8c7f36712e0e56281f8c5aa297d631a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Can You Feel The Bass,19udU6Fps14qvmuvPvwaeW,Phortune,3SKiqrQqIsYjfR8KpY5WW3,Acid,4tPLyXfQMxTGakb6qmPCQL,19,https://p.scdn.co/mp3-preview/7c29c8b83128e52826ab11ec99921f26ae03c2ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Feel the Mood (Remastered) [with Hot Hands Hula],42BJlSs5Uj10MHzTaFarx4,Maurice Joshua,19T6vS2Umo5usI9wOVnKMd,Traxbox (Trax Records Remastered),0W9YJK5QTGJdGLwybMJh3w,0,not available
36,That Shit's Wild,6MOG2ZNDvNlDgyhFUTLkFL,Dr. Derelict,2Za6MJDy9CzxcP1NAQiJH9,"Acid Trax, Vol. 2",2aFMnyMBJvJLBzzvQpGnte,0,not available
37,Box Energy,1rcF7Pbe9uDmrwa4Sbdns2,DJ Pierre,58nnSR1lwvcuklbb3Uc6TU,"Acid Trax, Vol. 2",2aFMnyMBJvJLBzzvQpGnte,0,not available
38,String Free,0it8q7IFs7B4hZbYARK9PG,Phortune,3SKiqrQqIsYjfR8KpY5WW3,Phuture And Other Classics From DJ Pierre,48utdF1Edpn7ALtSVGIRu8,21,https://p.scdn.co/mp3-preview/a4e5ff2b09e6dc975a8580b2fba5f5565b0adfef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
