Every UK Number One: 2019,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,731547,spotify_uk_
1,Dance Monkey,5ZULALImTm80tzUbYQYM9d,Tones and I,2NjfBq1NflQcKSeiDooVjY,The Kids Are Coming,2pJXQvY0YeDvVJ9gMU9G7j,98,https://p.scdn.co/mp3-preview/535ffea66207a0fc07d57fbaea7b5594be797f9b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Take Me Back to London (feat. Stormzy),1AI7UPw3fgwAFkvAlZWhE0,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,No.6 Collaborations Project,3oIFxDIo2fwuk4lwCmFZCx,84,https://p.scdn.co/mp3-preview/5c132adfc3e5c68d7bb2f81baaf284b41e8532c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Señorita,0TK2YIli7K1leLovkQiNik,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,Señorita,2ZaX1FdZCwchXl1QZiD4O4,100,not available
4,Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,No.6 Collaborations Project,3oIFxDIo2fwuk4lwCmFZCx,89,https://p.scdn.co/mp3-preview/f94d8d0c1b37773ff493e7d83930545e3425ccd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,I Don't Care (with Justin Bieber),5Nux7ozBJ5KJ02QYWwrneR,94,https://p.scdn.co/mp3-preview/40d2bf0a16b4a4c7e5747a57943f9c0bbf5bc5ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Vossi Bop,44ZJ4hLD5onikKsVLQaILr,Stormzy,2SrSdSvpminqmStGELCSNd,Vossi Bop,1feZ7dUgDquoQRddxlI5BH,82,https://p.scdn.co/mp3-preview/b3836168720465c84df242690ea49f6a855a6cde?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,Old Town Road,38kpkGLuPr1nNfD3iEyOlJ,73,not available
8,Someone You Loved,2TIlqbIneP0ZY1O0EzYLlc,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Breach,0NVQ9k3wKmuK6T02lLMl6y,88,not available
9,7 rings,14msK75pk3pA33pzPVNtBF,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,7 rings,03D36t8ODrA8ATvoTStU9P,50,not available
10,"break up with your girlfriend, i'm bored",4kV4N9D1iKVxx1KLvtTpjS,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",2fYhqwDWXjbpjaIJPEfKFw,86,not available
11,Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Sweet but Psycho,7CdLU3GgPy1PH5FVsrPlyA,88,https://p.scdn.co/mp3-preview/9772598a67666a9b7184926c59fe15b9574c7e46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,We Built This City,0UZkN083oH7wdTRV7S6PiT,LadBaby,0gWa2AiDlbvF24aqoLT2c1,We Built This City,7bOaVvaSRnQNUPqZsTityH,46,https://p.scdn.co/mp3-preview/2dcb6a59c1aa3eb82c4e61fc6084da4541111c53?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,"thank u, next",2rPE9A1vEgShuZxxzR2tZH,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"thank u, next",684W6NpKllEexqQlGqetCi,32,not available
14,Shallow - Radio Edit,6QfS2wq5sSC1xAJCQsTSlj,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,A Star Is Born Soundtrack (Without Dialogue),3edjzMAVB9RYRd4UcZBchx,80,not available
15,Funky Friday,01IQ4aQgOf0Kkq3a273hmO,Dave,6Ip8FS7vWT1uKkJSweANQK,Funky Friday,3CFVTstiXfXZDHF6EeMnGf,74,not available
16,Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,Calvin Harris,7CajNmpbOovFoOoasH2HaY,Promises (with Sam Smith),2tpWgbBdzjkaJVJzR4T8y1,85,https://p.scdn.co/mp3-preview/c78e0a33c394091314b35a2fd42b0102cc8fb1cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,benny blanco,5CiGnKThu5ctn9pBxv7DGa,Eastside (with Halsey & Khalid),7pkLXlFdpQDfmHujT2AbBK,86,not available
18,Shotgun,4ofwffwvvnbSkrMSCKQDaC,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,Staying at Tamara's,2NaulYO6lGXTyIzWTJvRJj,82,https://p.scdn.co/mp3-preview/9b9fb07cc053e76f66dcd1c5f1ae5cc0b89ab459?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,3TVXtAsR1Inumwj472S9r4,Scorpion,1ATL5GLyefJaxhQzSPVrLX,84,not available
20,Three Lions,1b7kLkJkr6XRYgWqVmDm05,"Baddiel, Skinner & Lightning Seeds",3LtYMPncqtiugGwOuuLq3h,Football's Coming Home - Three Lions,6gOYszdugcyXc4t8Bm7hMy,52,https://p.scdn.co/mp3-preview/595b2e6741f9e1b0d92712e7973fd9fcdb37ca4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
