Exception Française,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,69557,spotify_france
1,Sitôt,47N4GLAQwudCP1JJMPCD50,Alex Beaupain,0ujtf16xyDe6upgQpNNSWo,Pas plus le jour que la nuit,0JVqZIyu3vFhMTS7NK7LpL,37,not available
2,Vie varda,2v8kKPE2lvBTruniadLc88,Vincent Delerm,3Uo7E7lR9Li0qXzxU8VmnF,Vie varda,091Vh2gbN9pLXb6qXdJPCN,41,https://p.scdn.co/mp3-preview/b7ee0b60f0c965d173c9b6500971d56c1310132d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Laisse-moi t'aimer,4hJaMUSqpheM3eIxeGiuLt,Laurie Darmon,7hhIUoiI41fPdE0hEcpr2U,Molitor,7s0XvQzh0SlwOjLCCW2UwE,50,https://p.scdn.co/mp3-preview/9d6dceabd20ced6a176b1332dcf169deda22bbf8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Dans tes yeux,4CWavpx3CBG5KRDRVpdc3J,The Pirouettes,1Jp2BVxy67R0OaudOV9lm1,Monopolis (Deluxe),1Kg5yFegHmmf2OAW7K2kRs,45,not available
5,Tout ou rien,2PksrfFjEr1z6FX7OssPU4,Marie-Flore,3bM1MZ42q6lUJqHDaDwcKr,Tout ou rien,1xQ86LddxVhXMdPYuX9jQd,44,https://p.scdn.co/mp3-preview/4f2aa01e9d6985864a5f22a93989b8618bb6af42?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Lâchons prise,6RLrv7sinup3r7VeeN3m7I,Terrenoire,6AiHXHMryCtGFBEnjB17aA,Lâchons prise,30XevpZTo0Eg49eQ13VVOA,6,not available
7,Nudes,2cxRBZzEh24cR0TSZq4psu,Claire Laffut,69zVBf7wk5vKWsTF7zE5CC,Molitor,7s0XvQzh0SlwOjLCCW2UwE,45,https://p.scdn.co/mp3-preview/2a40cbdbf4f5545bcc5d15624bbaf3750f894c40?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,La saison nouvelle,7bDnqERcZModYMDxvFICGQ,Mariuus,78yUojMccBrgAwvYNqGU8X,La saison nouvelle,1oej42YYJy9Cxwq634fmHG,33,https://p.scdn.co/mp3-preview/54ef0ec389bb892cbf2d41509febaaa7419e1136?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,anxiété,6gsWdHL3TwCaVoC4FgbOrf,Pomme,6e3pZKXUxrPfnUPJ960Hd9,anxiété,1Ho1frfnrbw9MpiDD1Y2gd,49,not available
10,Esseulés,6noAmBTCWm5qv2dGJxyxZ7,Izïa,6T08mUIMB32dtqq5ryxQZ3,Esseulés,248jRCf48N44vETXT0P2PP,43,not available
11,Déjà Venise,4xPi4Frqv6FHxbiAERL53r,Clio,0TMi4dfaeWLOtRybyX09XW,Déjà Venise,2CtiiOWbnaQcGwuVfkId77,41,https://p.scdn.co/mp3-preview/9e37a5c5f8e37179c0555c329ca7bae59565601f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,En nuit,34CEsiML6bfwxCVJdYr8f8,Videoclub,3rp4f58JlRHkk8hpdLCer1,En nuit,5H3GHIBEtGcesu1psCc67T,59,https://p.scdn.co/mp3-preview/63f8a835c3b9c271cec0b20b18b21de3c2e1fefc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
