Déclassé,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
17,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,Drake,3TVXtAsR1Inumwj472S9r4,The Best In The World Pack,00HZxSA1sOS9T3nA950sg4,93,not available
18,Freaky,0NJp8GyCOWnQh71xKSPfuV,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,Freaky,0JDoNU0AZ54Ng8e2iPTKRs,75,not available
19,Méchant,75bVc27bDSOAhMAL38cXpV,Niska,7CUFPNi1TU8RowpnFRSsZV,Mr Sal,0EMsWsHF1tU9YpMpSbrvrX,78,not available
20,Moonlight,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,?,2Ti79nwTsont5ZHfdxIzAm,87,not available
21,Noticed,6JQvHMSaR8flFsN53ypOfP,Lil Mosey,5zctI4wO9XSKS8XwcnqEHk,Northsbest,6TNJNEulnWQNnq0o3N23Za,48,not available
22,Clout (feat. Cardi B),59ywHNwwchG4nZJMLyxSzd,Offset,4DdkRBBYG6Yk9Ka8tdJ9BW,FATHER OF 4,6bPpXqJRpjwy0hLyUGtzYc,82,not available
23,Amour de jeunesse,15yNkCGLaoxBepSRpAxtMa,313,29leSwIXuQmc0D8VkujVAB,Amour de jeunesse,6S1kLueAGcToC4L9gMWIDy,59,not available
24,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,HIGHEST IN THE ROOM,2uDTi1PlpSpvAv7IRAoAEU,94,https://p.scdn.co/mp3-preview/d9b90990dab9d8376d05c5d4a6b7ac3e99c03763?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Bitch (feat. Vald),65hdAdd1skq94ecWH4vfJI,Lefa,25yJrwrn5I0EUdQEiTtNSO,Bitch (feat. Vald),3gtKWVMYYG8QDih6A2n0mU,75,https://p.scdn.co/mp3-preview/0ea6b1d02c326691ea9f15eb88921c8e411865d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,SOLITERRIEN,7qj2pdwGVmN7E26nMVFeMq,Ikaz Boi,1h0vYLWMAElSWYCjm6RBpe,BRUTAL 2,0Z8bCHPXxxukmYWFFfsXFs,69,https://p.scdn.co/mp3-preview/1904b9b385f3d09cd519867f385b2e82d2faa3d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,Post Malone,246dkjvS1zLTtiykXe5h60,Goodbyes (Feat. Young Thug),4FFBjcmX06VmazABtpRMyv,87,not available
28,MYSELF N THE SEA,7zeoXWuQFyVCLcuRtLcq8W,Rilès,6pdcQa7by8IKuoVXvgknlI,MYSELF N THE SEA,2T4RNJDABg2LjgiaNickVy,51,not available
29,L'odeur du charbon,3iGHpp0lriaEVmpnQ48iXT,Dosseh,3b5bg1k6N9u31OtzSfK2dP,L'odeur du charbon,4j9v6RDDClHvS7kyvUNB2s,70,not available
