Cloud Rap,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,284734,spotify_france
1,Veni qui,3ocwF0Wf2TJybnpVIBA24w,DTF,37ioGUZGhKk7VjWIocx8kM,Veni qui,6AIXEYTiJod31AY6TMIvjP,67,https://p.scdn.co/mp3-preview/8d82395596dff9fc57dba90f5d84385c2fd0d2f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Coquillage,1nn31ReOKTm1G1wXMUqSNz,Youv Dee,5P3mgWx3KvnURMhlVm5pMS,Toronto / Paris (Red Bull Music),5GKpHjnrNn8kelT9A5h5bn,51,https://p.scdn.co/mp3-preview/d8b5e1535c8b46f5ce096455ef88f78b8751ca10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Mortel Été,6u2ubDFA6edGwFNy5sGYHK,A$tro Boi,3z3ZlPSstN29UKnGUTbgVJ,Mortel Été,0dK99LXFzKU0zLxnX9ykoX,37,https://p.scdn.co/mp3-preview/6bbb59660873d2c082187be0729f9800429a545e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Morenita,3IO5yrqmeB8etbNby2aP9i,TripleGo,6cDxDe1MWGgUcNVVdxhCN2,Morenita,1kaZoeeML4dWJjqNj8aKlD,43,https://p.scdn.co/mp3-preview/b004d40bd33df55507742426198b30647adaf0e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,OEF,3YGiqt2373NylIOpRyZ1Xs,Yung Mavu,6lVRinYmZqt7NFNPZHx0TP,OEF,3XYgdDXUv9xvXJFBKeToEC,50,https://p.scdn.co/mp3-preview/a5b345c9bbdc4d14d0dd7154772a69b2c41543e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Madonna (feat. A.CHAL),5KhZoPuoD531GxjkJUI3i9,Hamza,5gs4Sm2WQUkcGeikMcVHbh,Paradise (Deluxe),4AoeLf8WUzUsSe75k3berm,56,https://p.scdn.co/mp3-preview/cf3ae6569c61c24a53bf4c1b2c8554ec39505012?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Mood,7gvEQBF7iEiLGsPXCki1Oa,Gangthelabel,0hy63K6mxFey7ZhPPmgtOt,Mood,3c2FRPWHrGwLKkWG2dhs93,43,https://p.scdn.co/mp3-preview/bdb29aebd67ad3eb4461b2b87661148172d8171c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Chameleon Flow,78WZYDTCNgTbPWAuaJK3K1,Yung Mavu,6lVRinYmZqt7NFNPZHx0TP,Chameleon Flow,1eJNkRx7IIaenN9hgtZToh,51,https://p.scdn.co/mp3-preview/c10a49c57ce0bc7add295c7e26b0e9fc81a66d9d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Blue Dream,5jxwuR4aJsyjua3gIzo2uL,Ucyll & Ryo,3TPfMQUnF2FH7ZzkUmzd9c,Blue Dream,1mmrr0iRRwGcNxRpWzAkDG,39,https://p.scdn.co/mp3-preview/0757281047622d2b775ad51abfddc563906286b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Mwaka Moon - Remix,5QONeRJGHsyLwloZIUYyUE,Kalash,3J7r4VsNmuWixU0nXvyPd8,Mwaka Moon (Remix),3k1wdE2S8vXqpdYMGTyEe6,60,not available
11,PIPPI,3ySRhREV5ceozxdk0lPqIe,Dree Low,3tNPDodRNuLdezJnTsYOqy,FLAWLESS,5Qz9TU4FciO9CjhZFBGBbJ,79,https://p.scdn.co/mp3-preview/94cf2d432a2829b8ee055e8ddad69bff4e59d32a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,ÉCLIPSE,0xvywFySNJg9Zoj2V32Ufx,ANTHA,5GuT4XDJw2I7uKuWkQavTG,ÉCLIPSE,03XmUHefRD8o0cDv4S53V5,41,https://p.scdn.co/mp3-preview/71708a2e8fedd583bde6cdd525112e79ccce3a63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Vide,69RclklKbEelwfQJCBzh0m,13 Block,7rTPCNINGzMp3Hc8Xqht5Z,Vide,61Q25hcUd3yQnEVrSwzEbH,52,https://p.scdn.co/mp3-preview/50205415a4c8a151d39bc55353db0d593382be45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Fusée,1Thx4pGw1HJzSgp1PoUdub,MMZ,20amiDsCI5EwB6xy37h44k,Fusée,5tOBz5Vi68U9DEJavLxne6,59,https://p.scdn.co/mp3-preview/bcdcc7577099426e5b528ef85688b8e1dccaba39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Me Gusta,3ezXlfmUHipr8A2pH3uNcQ,DTF,37ioGUZGhKk7VjWIocx8kM,Me Gusta,69Kkb9sTQqMMtuuNDcZElD,70,https://p.scdn.co/mp3-preview/6fe297695a09b76ae0ee14934399501221ba0e2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Épisode I,04lQs9bQ4THTjp9GmBa7jM,Yuzmv,1cYA2rnKwpVYe9iVH3Djjm,Épisode I,6G2VgRUKgQKFAENKVmFLMP,51,https://p.scdn.co/mp3-preview/65e452564380ad53a850e53c2117e066f8f28b83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
