Dancefloor Classics,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,65418,spotify_france
1,Music Sounds Better With You - Radio Edit,1mv4lh1rW1K6xhxhJmEezy,Stardust,2w7IutHv5g4e8LumrwtjWR,Music Sounds Better With You,7Kusf5plZjl76X5ARWJbNO,65,https://p.scdn.co/mp3-preview/90f925424294d179199cac8cd35228061e2c5fdc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Freed From Desire,3u5N55tHf7hXATSQrjBh2q,Gala,3OqTvcWgb0xaainosGVvuZ,Come Into My Life (The Album),3vcwGUl0WiJVssOR1dXEbe,71,https://p.scdn.co/mp3-preview/7d8eb17dd92596a0ececbe055d1defa72499bd67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Lucky Star,5EMwg8P4A3Qj7BPtau1Mn0,Superfunk,1CbopBMbfM0ned5OAsTkv4,Hold Up (Remastered),6P9Y3V5y09D0577sYb0ZjR,49,https://p.scdn.co/mp3-preview/1ffa73c393cb2d13158dc9d15fe932efb6f2e4d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Push The Feeling On - Mk Dub Revisited Edit,5cqz21gHUmfNgUY0JNzO3G,Nightcrawlers,1gALaWbNDnwS2ECV09sn2A,Push The Feeling On,4BshRbs6nRZLaYTw6bpm2o,7,not available
5,Lola's Theme Recut,5l1RaiuYKyZu54clACy05X,The Shapeshifters,60FV7KyxIH9FH1uq7u8inP,Lola's Theme Recut,76PNfY6YXPVlvCVrOH7NAL,39,https://p.scdn.co/mp3-preview/7105ea33e4898baa5ab2a27792eee46137169bf9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,I Follow Rivers - The Magician Remix,6UAgnw2w3AVwLg1p7sE7v4,Lykke Li,6oBm8HB0yfrIc9IHbxs6in,Wounded Rhymes,2eEnzl61veDi3zQylslIap,60,https://p.scdn.co/mp3-preview/0c6e2d9b741146f2f24982a0a5cfb9c2086ed136?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Starlight (Radio Edit),4UfupbARPxljVkBmuZlJnY,The Supermen Lovers,08dJ0NJ9jMf8qdLmdhQ2yA,Starlight - EP,3UO75WLhEfcx45md7M3bBX,62,https://p.scdn.co/mp3-preview/55aa614d8b5de57221e17b8cac03e5879911c5ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,You Are My High,4uLfmvbkAby7yiwTdAw5Vj,Demon,4LiDDSfUo671okhAa6OSHY,You Are My High - EP,3sKO6OWLBzJkNyfeSIKcg0,38,https://p.scdn.co/mp3-preview/2a1f10e9673d7b91d1aac6468ed600cc7867e79c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Outro lugar,3hl5B6GYsN4K5sjfQvx8JD,Salome de Bahia,6alPczkkZlUZwomoKjrtMc,Brasil,5KnTaowvR3YCd4RCs4EgtF,40,https://p.scdn.co/mp3-preview/442c8ac91d4d462fb3cf3f7f5dd731119954a36f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Delirious (feat. Tara McDonald) - Radio Edit,0yl1LvI69CJrQlXJoYnU97,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Delirious (feat. Tara McDonald),2PQ0hJ46YJ02vvvca2ORp9,48,https://p.scdn.co/mp3-preview/4e39bb4475b6fe13a8d94e8d5908b44a4680a6d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,No Stress,3AMExQQyUUBr9e6WftMVCp,Laurent Wolf,0U2M5hyVn2T78XKlRHJFcn,Wash My World,096zju7jYYYpvaimFPiPrT,34,https://p.scdn.co/mp3-preview/02966a1a821e6f7c3a2db7ceedbd5f89e193fd26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Four to the Floor - Thin White Duke Mix; Short Version,0Hx249i8UGY4cWLjmo1eIH,Starsailor,0G8zjE6SsFTlbglCkU8pm3,Four To The Floor,6UXbFDhwOmwxVBFJPC0L3x,55,https://p.scdn.co/mp3-preview/70374bc6d27a625bea844f4eb9f00efb7bf29678?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Infinity 2008 - Klaas Vocal Edit,3aQz0z86zrKjd1mcZlonxE,Guru Josh Project,4ME85YvMUi1hdqhbind7gy,Infinity 2008,1uyF93NDsuRn4LqZIl3lyY,68,https://p.scdn.co/mp3-preview/9da076eb20507c0624c80954ee8d7788599f79df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Sing Hallelujah!,1ohbjkuczl6hEoYEo931PH,Dr. Alban,6BkcAbUkfIBM4XudxieMq8,One Love (2nd Edition),5YPI9qfm2uuMxlq4CEUOFu,46,not available
15,Tell Me Why - Radio Edit,09ouJVawz1vpR6xBzE1YoH,Supermode,7urnl0uH1w3NCoErxw7AUK,Tell Me Why (Remixes),4saYMVPzI4LhRr6iOJjWxL,47,https://p.scdn.co/mp3-preview/a956926e187fe00c525eedcf5c545d77b8e9f201?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Pjanoo - Radio Edit,0F2BxpbxH8Yc3pLub48hrb,Eric Prydz,5sm0jQ1mq0dusiLtDJ2b4R,Pjanoo,7zlMxh1NR0Shklu48L4e7x,66,https://p.scdn.co/mp3-preview/a6cdf8dc3b5a2ce5d972ce4a95c645ae95deae81?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Pasilda - Knee Deep Mix,5ZYq4PAOce0Uu8Bx84Ft0K,Afro Medusa,6D1DgoF2TYTbPQbRPEriaI,Pasilda,2rwMv1F2ad5I05A0CojRpZ,7,https://p.scdn.co/mp3-preview/dfb9569fdc878e2bb4ccea432d7da4488a564057?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Free - Mood II Swing Radio Edit,0dc6CJ6BsiKxyPvW4yABLo,Ultra Nate,1cK2Abwkni7m51wJCSGllN,Free,6TpwXfNBW8BSwCAuBDjJSN,62,https://p.scdn.co/mp3-preview/f31c5e6571324aac294c10a8bf60adac06f8e00f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Cream - Radio Edit,30jfUVpU8VomfI3VNEi45W,Federico Franchi,3hR8ERMvJ5ZeXp1S6nBwvy,Cream,6b8sUgm8ABesiMqJQpF2vO,36,not available
20,Turn On The Music - Axwell Radio Edit,3qN7k8fKNGywNWQJW17I3G,Roger Sanchez,1HT9k1ZSUL9IczSstOAgWJ,Turn On The Music,632c0Wm7gCUIiYUimXzQHX,34,https://p.scdn.co/mp3-preview/b5b03f686d7e4be012c8c53b6aec6ef423d88f9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Give It Up,51hFuz0vN2FWCaxwRMPqaA,The Good Men,6i3dwduFX5pMgkijTVRvmX,Give It Up,7iLCdMvKh70DgMELSxTMcF,38,https://p.scdn.co/mp3-preview/0a928d3fd3b9c944d691b14b0ca47939eba54bf0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Word Hold on (Children of the Sky) [Radio Edit],1c0zagykmGPDYuxJeDqZhJ,Bob Sinclar,5YFS41yoX0YuFY39fq21oN,Word Hold on (Children of the Sky) [Radio Edit],5NeL55BkApry2hAFHImIhF,64,https://p.scdn.co/mp3-preview/962c579694e558bdb3d8f945143ffe3c9255f3ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,The Weekend - Radio Edit,4c2wdAMuL7KkGVeyRqmYQu,Michael Gray,2aM5jpQ0WTcQDeHsil8Ihz,The Weekend,1XZgd0Eg278X2wZh2b9bOF,43,https://p.scdn.co/mp3-preview/284f92eea20a85bebf625feda8a4aa024942f0a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Call on Me - Radio Mix,1xNcBAoUw8Hz6LqK2jt4Ff,Eric Prydz,5sm0jQ1mq0dusiLtDJ2b4R,Call on Me (Radio Mix),7thKR3tw162CqNqIRdwZ3z,73,https://p.scdn.co/mp3-preview/1ebddc935c487dde01a4c10380cc4cd76a466ecd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Cassius 99 remix (Radio edit),5NL6WBPlPDfEaJXUDDv7e5,Cassius,4sf3QZW8a3xZ14IGsOAzoy,1999,0hbGOLBd2yz1biUze5qVVW,2,not available
26,Let Me Think About It,4LjfIjS8iweFCPdKxLnEoV,Ida Corr,30ut8L4gmEz4vNr1zNhpbh,Singled Out,4nLyl2aEgi2qQrcPiFlmD7,61,https://p.scdn.co/mp3-preview/a46fc92903028c99aee79150ca2286013862183d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Lady - Hear Me Tonight,49X0LAl6faAusYq02PRAY6,Modjo,0AkpPlFLnr0VQwZQeMGht0,Modjo (Remastered),0vwDxngkhZuwNbcxzebCXI,68,https://p.scdn.co/mp3-preview/70879783cc51d0acd3724e3df8c22b53491d57c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
