Clásicos del Verano,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,304677,spotify_espa%C3%B1a
1,TELÉFONO,5h8VHxOBK1VWWj46T8fSly,Aitana,7eLcDZDYHXZCebtQmVFL25,TELÉFONO,3hgpPBjZ7yR1yHyrVEngZL,66,not available
2,Sin Pijama,2ijef6ni2amuunRoKTlgww,Becky G,4obzFoKoKRHIphyHzJ35G3,Sin Pijama,6hAxqfWO3xDGzjs8yad1pB,82,https://p.scdn.co/mp3-preview/7097639119e58485fcb5ce246725fa2b7ac71904?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Purpurina,5HFvuMLMgS75OaY3UKzqqs,Alberto gambino,2KaaIknCVW5SstugreNkha,Purpurina,72qI1N3VpmiHjDdBRuZz9B,59,https://p.scdn.co/mp3-preview/1f7b1bef7efec8cb1723d53469afa98a147823b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Me Niego (feat. Ozuna & Wisin),6jA8JUuPCGYjFcgw0AoM5T,Reik,0vR2qb8m9WHeZ5ByCbimq2,Me Niego (feat. Ozuna & Wisin),1QsrAiIvA7njuEMwP9poqt,36,not available
5,Que La Detengan - Remix,7ue44k70ZcYBw7a6tZKu9K,David Civera,2DxcVfyMWELUI4yPBxgoZF,En Cuerpo Y Alma,0leovhkkVh1112UiSTR2PC,40,not available
6,Madre Tierra (Oye),2wlptOJ1g5fvLdu6ruKCKU,Chayanne,1JbemQ1fPt2YmSLjAFhPBv,En Todo Estaré (Deluxe Edition),0P0d0y1LQ5VGrp58TQ0oM2,67,https://p.scdn.co/mp3-preview/a3f9fdb1ef24293cd91e298b7f088627a5dc670e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Déjala Que Baile,2KK9N6iBAisA0booTu3bGd,Melendi,1EXjXQpDx2pROygh8zvHs4,Ahora,2cx8aUPxZ0GvVJkJdNXeOM,69,https://p.scdn.co/mp3-preview/330975ffaa921235ab1a9fca0f57f1b2b87db2ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,La Mordidita,00i0O74dXdaKKdCrqHnfXm,Ricky Martin,7slfeZO9LsJbWgpkIoXBUJ,A Quien Quiera Escuchar (Deluxe Edition),375cUd86z58eqXN2yW3Do9,70,https://p.scdn.co/mp3-preview/4a0f5888efe4c5a0399e326dfaf2198310d0154d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Vaina Loca,1s2B5cndbqK8rPJEIcKJRQ,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,Vaina Loca,3EpCMNzLUiLxHlXq3dKApm,19,not available
10,Bailando por Ahi,4QJznEbuwYc5CnPzI7xAZy,Juan Magán,1ackd5XprZEkH3McKbQD51,The King Of Dance,0ReZGnwwE1cwqgyIwOfluR,55,https://p.scdn.co/mp3-preview/4cbcb18e1f150478b0f7ade3e4d22c910dd8eddf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,María Isabel,6y1b0YZufCb63Mnv3fnlBY,Los Payos,1ONcwA5aZxzgOelWDmQ51X,Lo Mejor De Los Payos,5tQa4jvBXDzlaB7ebZb0UG,38,https://p.scdn.co/mp3-preview/a496444c2826a97925f6d4750dc42f69e456ed17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
