Mujeres del Indie,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
22,Carta,2TiTcWEs1CldfTx7fOGfS4,Silvana Estrada,72VywtXEoONiBLNu3ibGI7,Carta,1ebHnnX7boUGSAD0YSAJyX,50,https://p.scdn.co/mp3-preview/65ea93cfa597050fdb558a09a2ba597ae8a6142e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,qué bueno!,5oxWWmZLJIH0y6v2isD7Lt,Noa Sainz,3kN2uYBnEM2IqRxa69sxkr,qué bueno!,5NF8Q7vFhmT1RJ15czoEL7,42,https://p.scdn.co/mp3-preview/4260e3e8abfb9f2aa4636919aaf7bf09bddd0819?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Encanto Tropical,1yInesqVBwMaW1xT4i0TPz,Monsieur Periné,36KsCCwgI0Dep97yVJWmkK,Encanto Tropical,65dDJHiGH66LQPEiLHKDma,46,https://p.scdn.co/mp3-preview/5ccfe7786dbb20e98aba7d8cabb101596998b86b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Arma Letal,20IkGu2iw44zKM7COEGbCE,Fer Casillas,1zl3p4VBfqqHGikw3Ad46R,Imágenes de Olga (Lado A),3IbsxCzaqRc3js4Zuyatmc,24,https://p.scdn.co/mp3-preview/dc7d136d3762d5688fb074095cfbf1656142d560?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Navegante,3mqoqtfwUhBwuecIWXILFs,Miss Garrison,6KW0KNqfkuSKryF7e7hONY,Navegante,21ummsID3hUAfxd434vR8g,23,https://p.scdn.co/mp3-preview/f42ab29ae52ad6563c99463870fc2875c8fd18b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Creo Que No Soy Yo,7qbxZmrxS6ffyMsAP2YUKc,Maria Rodés,2uCphK8yRHj9DHJmmE5Isf,Creo Que No Soy Yo,6C2WuAzDG9RmmI9LecePOD,25,https://p.scdn.co/mp3-preview/d3ff5807c47790566e3abf695dd811f93cc48d20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,A la Mar Fui Por Naranjas,4gs3JU7JF0UkF7R8kP1tU2,Niña Tormenta,0KJEHAoNtPaopqOHD6UIkY,Loza,0RAoYFdwdNtRG19pGJK8Be,30,https://p.scdn.co/mp3-preview/996d49ffca98f1b86737cead9d7e495cf3e018a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Sirena,63CFs2oSfqalDwQjmAQOPq,Mula,7bWZkUZ5drGDoGAFhGoYGE,Sirena,0zQ1dS6uygwEcnNAAzo2LQ,0,not available
30,Lluvia,4QNit6Cf3cE6ATCkMf9DPi,Natalie Perez,1Y99HOeRzRc27my6NJE3rE,Lluvia,1qv9qjBCJ2DvydLugns2tM,1,not available
31,Estado Natural,0BI29U8alc9n55WHQQHZhI,GRTSCH,0UuPYvwZmo6lXXvi1S5mLK,Estado Natural,56Vr5Z68GveaLOXgOGF8qg,18,https://p.scdn.co/mp3-preview/9fdbc687a052b30500e42489d7a88c3dc80230fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
