Punk Español,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,46411,spotify_espa%C3%B1a
1,Otra Vez en Tus Manos,2msak8eaVqJPlkqiJ5P16O,Gérmenes,50Ymm1nPtn2tvRtEUZg5Me,Mar Etílico,1vfMGo3fTJxQj40g6fIf60,33,https://p.scdn.co/mp3-preview/cd9247711100d4ed2e8e5abbfef980d8de983850?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Adios Reina Mia,52hHIF5rYiUi0AtPyvMrY2,Eskorbuto,3AXQ8iTveAp1uA5NlbK8qb,Demasiados Enemigos,06jJMaPtFcbDkuzuIeKywk,44,https://p.scdn.co/mp3-preview/250aa8960f3e9e21aaa64846053b5c819441c053?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Mi Primer Amor,2oRmhBSPhWNScSkwR7x8xi,Piperrak,0kya4eL7YgduZ1RAbO6Uou,Arde Ribera,4miZbn6vSzsHLvCUMSBX1s,51,https://p.scdn.co/mp3-preview/7640423ace992db81df4e842c2b8c349a5008d15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Txus,19cTnpZXsoNpah6J4q13iP,La Polla Records,3vHlZN6pTa2zOl2eVxiEdJ,Salve,57AwljF0RpTwtEd5A1SzUP,47,https://p.scdn.co/mp3-preview/a5a286f8d1afb5e5eea5755d7ced1ea943b21d80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,La Última Patada,0QobiDnqGnnbbW8Duu9j90,Gatillazo,3XrunnoiCGkRTanrnsPRam,Siglo XXI,2fwFXVTTeMyJj7IbIoFQZy,41,https://p.scdn.co/mp3-preview/adf759eeccbca5dbf2af06bff6db9f4828531aca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Mil Historias,7mElnVvJoNpmTDSPvOJMUB,Kaos Etíliko,5y9aHzw345UfAGA1Db5BPy,Porsupuestón,4fhyGd8qDAkvZXmDvLYixi,39,https://p.scdn.co/mp3-preview/71a46bb14872d3b448708395b3ae3fcbe3e39968?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Por ti,7tbmPVO7BOZ3uBTkQ4lwFV,Segismundo Toxicómano,0sKBEhvr6hz7Wpptw0fY8U,Escapa!,6MQUQgI1RKD4wHu2Qc16iU,47,https://p.scdn.co/mp3-preview/83f000fe50e626f1c5641b9c1b3d938d5be4427d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Enamorado de la Muerte,4en5NpD2ZD6CpHeHIFTbzp,Rip,4P40mhKEotTwKd3cFNtwG4,No Te Muevas y Zona Especial Norte,37R9s562KSQPqUm2TYWe7h,39,https://p.scdn.co/mp3-preview/f744f4bd6bbe3e8250e8bba328f8921b9910ac15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Piedra Contra Tijera,05ZxYc1glaSTsNVbjBO9Ty,Soziedad Alkoholika,2S5OOMthdyp3Qu4IbTGAQ3,Tiempos Oscuros,7aQjiTfTyA9eMNkuMc09k9,47,https://p.scdn.co/mp3-preview/0988f5155270bb85cd7dbcd82e6b13fa8b4839bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Sols El Poble Salva Al Poble,6iYxFDOGE8jD5ifJXP6vcK,KOP,1vqWasHYiv7zecRAqZvvoO,Nostrat,0F9wDYDPBi8rlGrSiG0xK7,41,https://p.scdn.co/mp3-preview/9de29f40deb8f6ca31a68de84ed0c74276d7971c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,El 4k Se Llevó a Mi Chica,18b2UvdOlTpR3IMru5Pfya,Lendakaris Muertos,6x6bFaWdzVQM6e7ke2ysMc,Podrán Cortar la Droga Pero No la Primavera,6YVmHQN5rdkLupIaszQxK2,41,https://p.scdn.co/mp3-preview/8c1991bf3b0069cfd378a6399fcd07cf89e71833?cid=fa83a2fec7c440b7a2795d600d6b2c7e
