Sin Estrés,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,Al Mar,7liuwMaD62dGOQRLIenJft,Luis Salido,36PLrXNBWto5XIWWal6WT8,Al Mar,3EqR9LK0Ei1en5Rofkr36z,36,https://p.scdn.co/mp3-preview/28a7e097b4ecff7a0b83fa6d2681b3442cfee606?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,So Special,6DeV0zNRKlcl3SGH4TW75O,MUNA,6xdRb2GypJ7DqnWAI2mHGn,The Loudspeaker EP,05QlkSlB3MxfqtjiurXxe0,41,https://p.scdn.co/mp3-preview/9849df5206b850c35875c2cb7eb011160424a932?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Understatement,6qZpAAwJjrc9mAWRfQgkJc,Gaby G,5lfKSWvnayeG2Q16tPM9Rh,Understatement,3UmluiDRFDm71rIp99cXqj,35,https://p.scdn.co/mp3-preview/9b8ed722e3de56d70cba120be6b305921db15e1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Late Night Store,5WgMKUqG8SjP80qnmlr51F,Husky,47nuMLurQsLP1gLK7gJtis,Late Night Store,2SsXuIG0r0JbuqjhiiEDTA,31,not available
25,Daydream,2GIu2pzGG7Bj66vI61gG8B,Milk & Bone,4fmvA5uVlZUNsje29D1PaW,Daydream,1f0xI3xNxPV3Dx7xC0c7fG,0,not available
26,Tear You Down,2UP24RAyBnZ6IsbjmKJoe5,RAC,4AGwPDdh1y8hochNzHy5HC,Strangers,0pvp7cHQccsevHLhClFbSz,42,not available
27,Anywhere,3Ig6QHDTsSnOpTMoDFxnHm,Passenger,0gadJ2b9A4SKsB1RFkBb66,Anywhere,3HPPFr3xDXhUFsLCdtp3xT,0,not available
28,Mystik,6lbO4gMtw21GgPL3eWScDy,Tash Sultana,6zVFRTB0Y1whWyH7ZNmywf,Mystik,0d7LDKJc2IGjCmFv850VCN,6,not available
29,Ordinary,7yg2qHVtOT7e5FIQBIU74Z,Day Wave,4ptJIIR10UVlGjN0VntFaK,The Days We Had,40QyjfrGN7h9RvJ8mmmpxO,10,not available
30,Too Young,2SBFbElrbcLtfOBcQ2pYdy,ayokay,4BzCdhJTyTS3gumq9xmymb,Too Young,0Us56y8zgVlUNQCQ0ppk6V,55,https://p.scdn.co/mp3-preview/dae27a7cb000d03cf239e2110c032f13a4c0e245?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Run Around,2gZreoscwslwJMdnJknlsK,VIAA,6RY8UjKYVCl7SHpNNPMmfs,Run Around,50YNZbfjRxcTtrAKNwTm6U,14,not available
32,Just Breathe,0x9VSmNdwuIxKrf6H6WqGG,Benjamin Francis Leftwich,7D5oTJSXSHf51auG0106CQ,Just Breathe,11Hk0Q08Cle5Nsusbgg7CI,36,https://p.scdn.co/mp3-preview/4cbafc9678ad360e775feee9405080442440af32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Tired of Love,5uRnrNdfWhy3ATLJtROVnY,The Dig,2Ki2mlU4LhZZ0BOYHWbcot,Tired of Love,7nTpkJgZqggmi4xW5TTU9U,29,https://p.scdn.co/mp3-preview/407ef76fc0379367bbff5e8988e42dcf5a8e1f5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Progress,2P9hfsj5YmVqtaFDL5OtvI,Public Service Broadcasting,6VsiDFMZJlJ053P1uO4A6h,Progress,60KaRLrHpblHYjIJrSIKow,40,https://p.scdn.co/mp3-preview/09e83500112e42d40a01174a867d68bc5b3dc6e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Love Hz,1Et8d0G0Ue7Bqpk7Ojhwm8,Satchmode,7ki0NEYjetAx5KbjEzpVB2,Love Hz,58hTu3gaWr2CM7R0KustBa,35,https://p.scdn.co/mp3-preview/9487c3441fe6cf818e7db5bed3aa617dd7922165?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Lost City,545dPrr42WxSTsjnqAKZwH,Brett,1iyEgo06tQEwW0ro4Qys9K,Lost City,0diu5dJq4paIzAex0vZPwi,42,https://p.scdn.co/mp3-preview/1cd4b96a3a895c078f2b2d57f6f2b2893ac73ebe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Drive (feat. Ezra Carey),1Ds0Mx4hHiuHw1oY94GzBM,Myzica,6mE4w8P7BX8CrhM1QmpYaC,Drive (feat. Ezra Carey),32XJxhX8VXLzuqx3KEMmoO,38,https://p.scdn.co/mp3-preview/4a4c226ab30ec4ad39d2dec2d043d021fddf0228?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,"Young, Wild & Free",4U3WtkFHnweaZ1alOpcWsA,Joe Brooks,6Z8D437D8u4IdirS4Jc58d,I Am Bones,38PjphSQLhEqnUxkCuXYzY,40,https://p.scdn.co/mp3-preview/a1ff056e143d04d37e7cf092fe062fcc0f77efaa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Stay Happy,2yD48RTnkF1hcAmwyesDAF,Broken Social Scene,7lOJ7WXyopaxri0dbOiZkd,Stay Happy,1eSOCrKjbwJES4aKFdubHY,29,https://p.scdn.co/mp3-preview/11077dbce2386155acfbd2a055918ddf6e6db6ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Why Is It,0QBhJrwIhU8lJJsuxCUBd1,Møme,4lDXfIznmGueBgTjI3qGUX,Panorama,4ZaeYUM5vgvkpexijZ3w2r,43,not available
41,Rhythm Inside,70KkA6HSviUgkUzOpBcitY,Calum Scott,6ydoSd3N2mwgwBHtF6K7eX,Rhythm Inside,0e73yNBuKWk2EPkSOv81GW,1,not available
42,ILYSB,5HXC2dPBoFXjGb195SrBWy,LANY,49tQo2QULno7gxHutgccqF,ILYSB,2QRC9RB9Y19pm03Xvxm37A,38,not available
43,Nothing Less,3qMew9GgBy15egfyZGCgkB,Matt Woods,7lWm7B37N2Phj7l1bpEx91,Nothing Less,4Tgrg8JQjdjKeaGnctTVBX,1,not available
44,Bring Me a Fire King,4803BoYV9S2f81pxfyyqPK,Bell X1,2fGa9song5Gee8UEGf6W7I,Arms,5L4G5CJJbj9rI1W55HDGu9,20,https://p.scdn.co/mp3-preview/5d7d80f80851f0ce21ee629fed47207de6d1c788?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,The Light of Me,6meMzZ7QTXwNBGeEvXisvX,Carmody,4wdK3zLMWPQK6CD0dpHh8F,The Light of Me,0RJtxbP1IiArXYlrOpJUfD,39,https://p.scdn.co/mp3-preview/70e13974ff17985a0d31114e48073eadf9398fe4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Conrad,1kVJXOtgIrfVuHIxch5ssw,SOHN,6XZYAWJLL8UIbxAqjKj3cg,Conrad,2D3zqkpxgVQeHLyEmtiv7K,3,not available
47,Why Are There Boundaries,4DJ6MPf6hJxLZK917ZHaSj,FKJ,2FwDTncULUnmANIh7qKa5z,Why Are There Boundaries,5lwh9SNurNrf71F0odfuwl,42,https://p.scdn.co/mp3-preview/a31d5c23b18dcb3afb4479a02f513773323597e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,watch,1k6dRfKU21EViX8I3C9BoH,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,watch,2hs9WIbeE4hdanUvdTllkj,1,not available
49,Just Call,5ZWtVgwqoyNssBzo4z1H6h,Linus Hablot,09WoDwACZNVxccrkVB8q6T,Just Call,7wi5JDoBGQqh8uR3gafCsj,39,https://p.scdn.co/mp3-preview/b18da3af16926f43f0c0adacd10ba8be79a8a76a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Poolside,49mxnbsxWzyrDwDzVIoMdS,BAYNK,28yVvEvA2lT3K5RNIhV1Dj,Poolside,34M0T3HjiVH1dyEseqNUEW,3,not available
