"Café, Libros.",Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,One Kiss,4Ocm5X4MdGoF9cvIGgOe39,Sara Farell,39S7Y72G0tdDPy2INGFicV,One Kiss,4aGUFwXZaiK0iXxC5lSCll,54,https://p.scdn.co/mp3-preview/e82d17c84166324bf3e2aeb96203f8d541ad8fc4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Listen to Your Body,0N3ytVkIFrjIucghhgR95P,Belén Cuturi,0IDto1IZOp1qMhBBAhnzVr,Listen to Your Body,03Cy8t9S661F5ymTdgeQdN,38,https://p.scdn.co/mp3-preview/cf3785e362229b8840be2cf5a5894957c8e802d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,No Tears Left To Cry,4J4JYXUaYLxtKstFyABT5J,Isabella Celander,6sQYT9B066RITdelCECQuE,No Tears Left To Cry,2QU9UieGw1gfqyyMh2187Y,54,https://p.scdn.co/mp3-preview/e2fec5f50751501b8645f8848c9a683b9476013c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Chiste Malo,0ChVTEAj02QvX2zFmvatjH,Andres Landon,1E2YZnjGxFq8SxaQpDgG5o,Esquimal,60U40Cvijh9DvUCEQDQzeC,39,https://p.scdn.co/mp3-preview/8eba88102af9941c8efb35a3ac828749f4c4abab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Que Facil Es Hablar,2CiVK2RuaMOieFPdYacJtB,Karina Vismara,3yjMGsdyDczDjyaek80khK,Casa del Viento,2mmRppQCZB8ccGGUkxp0dJ,10,not available
25,Softly - Mahogany Sessions,79MRWFDPHHPaaiohbBN7iF,Rhye,2AcUPzkVWo81vumdzeLLRN,Softly / Please (Mahogany Sessions),6sfk1SGJdv9vpFmTniMvnS,6,not available
26,Everybody's Got To Learn Sometime,3sufVSY7Ox1CcT2nnnkIFI,Duo Estoril,5Tr9wCxgz3fPsIYQIm9hcG,Duo Estoril,2PwCEWIQeZGai2Sad90MiU,39,https://p.scdn.co/mp3-preview/1f59e5efefe35d1868baae437b44e08c2fdb86da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,7 Inches,0Dh4cFSEyEWacV2FRf1viP,Kate Vargas,6IaBcgmfcrqB8yGh0BrTf1,For the Wolfish & Wandering,6tcuUCswHBUn4TikHmJK3M,41,https://p.scdn.co/mp3-preview/ab2dc35c83ba7c7298109e35052efd24ae5d0890?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Counting Stars,1rv56nMI7nSrcyqpQqgSQb,Amanda Yang,2hM7Rb0V5wKjvDEgYt1zed,Counting Stars,4tNdh8helciHTVRaG9MzNw,58,https://p.scdn.co/mp3-preview/23cbcdf85ccfb3039a86ca2d0aebb20c66d64848?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Burn,3zYvxKKjKpF8swPtMC2EwL,Dan Berk,2kfmnXYxa9yh0RkUBPjSwZ,Burn,3zptlZqWpgTow8kcilYOqy,59,https://p.scdn.co/mp3-preview/3d64119742002fd13ea7809e92d17e5cc1f850ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
