"Café, Libros.",Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
81,"You Needed Love, I Needed You",6VToNEp6XQ6EryHBozmDKH,Angelo De Augustine,0W79ONUwHoehEib1nRXlmi,"You Needed Love, I Needed You",74WIUU4qEsYbGfk0nvTXiX,53,https://p.scdn.co/mp3-preview/5eded045de0136733747826a70e8578ac27cbd31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Rise,6f5JLuBj8sg12CARIuECh5,Helena Deland,0BJeP79i5wKgCqsEEiQ7G0,Rise,2HloW1u6PwOOlXVCStZ0Gj,2,not available
83,Bad Liar,7vg5fesQdq5I7Z7XGdyJd5,Roses & Frey,2FyfsZmatt8gWR3LKnQIwE,Bad Liar,6lumYymEx5DCyt7VEL4QlF,59,https://p.scdn.co/mp3-preview/9829f982666a9362d83212cb172dcebb00b9f7e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,The Moons Detriment,6dRKRVyjzxa2efBCXZez6R,Shannon Lay,1Kssd2mp7BMKGZUUKncUt6,The Moons Detriment,40uRLasPxbgmHu5yfueU2m,45,https://p.scdn.co/mp3-preview/3dcf2ee6b117ae290c83fa4674b44c4b62fb0ce5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,I'm a Mess - Acoustic,1RGcxEKlVL5TSMHqV13etr,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,I'm a Mess (Acoustic),6zmhW2TRItWgBM3WBVR9Gn,65,https://p.scdn.co/mp3-preview/beec14861639c934eb2d411d1010598152fb3586?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Hell Or High Water,0OJg8K1N7UX3QM2HafN0L4,Passenger,0gadJ2b9A4SKsB1RFkBb66,Runaway (Deluxe),71g0cSWJ5QNtGffr0nqnKU,49,https://p.scdn.co/mp3-preview/8f598afbd9774d6e65bd0cdc7208d10e4f5f2509?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,It Don't Bother Me At All,4KUMcCogrZoyhy5PtQzNTg,Kevin Garrett,56tbeL5xhBPxby544GuK3E,Hoax,4o8bLB3eE8zNngen1PmGMz,49,https://p.scdn.co/mp3-preview/d4d3864180af3aae727f600ef815f1beffed5661?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,I Like Me Better,3JnT8BV7zW6uuOWVgec98v,Mother's Daughter,09AgPKJAS5Muco3pU4xh7k,I Like Me Better,4iNcyb5KYzejr9t5OROcFw,52,https://p.scdn.co/mp3-preview/c7436d1f49408d657ed3cc5090fde173d911a94c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,The Message,3oLJlBI7OveRtPOuMe4oaM,Still Corners,4zKYrXs8iN4AeHmO8ZxNqp,Slow Air,0dpT4eWbisGVXyLkA3NBwc,54,https://p.scdn.co/mp3-preview/e7c4e7823cfb1fa7a24e5bd14f8db6ad93666883?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Happy Now - Acoustic,3aXsAIpsE1VR9FNvW0V4rU,Linn Brikell,0PNyNiPpI6zQnbQyXDPQzu,Happy Now (Acoustic Version),3NQLd4nYN0KfiZsU6M3xlm,59,https://p.scdn.co/mp3-preview/856e3102b967ae8c3f0d9f4a02ecb2771bfd43ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,Havana,5tEziW9XfHKAjAgAwAsWcb,LHITNEY,2HhlA4UCn0CSQPhKBavzog,Havana,6EV58YwDlkcPBqFoP2nXcp,52,https://p.scdn.co/mp3-preview/ca5f1c971ebb7d685de2bca4d9587943a6004724?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Light Years,0dcKsPZVWa64MvnoCes49q,The National,2cCUtGK9sDU2EoElnk0GNB,Light Years,2PhtZZE1Re3j09XzBxz7jQ,24,not available
93,Youngblood,2z1ZySfX3m36YL1XfwM84d,Angus & Julia Stone,4tvKz56Tr39bkhcQUTO0Xr,Youngblood,4LKwkGDfN1OXZy1qXRAQZm,54,not available
94,What About Us - Acoustic,7e4Pftu2tzDeY0W0690OKQ,Thomas Daniel,6szSMqKKwkFqJoK3MxK3Hk,What About Us (Acoustic),0oqgSmNw05kvsTG9ap2Vv5,64,https://p.scdn.co/mp3-preview/c40f7c4bd583bc92e5e716dc239157943f35466e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Pumped Up Kicks,5Kfbof2USqmBaEgRHd0VTk,Missy & Blonde,2XpEZIV9uuJY6pdhKAbuBh,Pumped Up Kicks (Acoustic Version),5T7d2e1RIlkpU1h8hys6jE,61,https://p.scdn.co/mp3-preview/ce3ccea4cdf408092f34ff90c684368a1b63da27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Tenderness,0l4C0NqebeMcpVJkduRuUK,Laura Gibson,396L5wXlifF7nfSLhP3tTH,Tenderness,0QciEURoa6fZUkITRIUOQM,2,not available
97,Old Town Road,6Q1Gvu87DTf9SUkwUeBGGl,Bailey Jehl,3HX0wFvwBn3wbxrtHuEUus,Old Town Road,5tsNukHkjhrH3RWBA2AVAv,57,https://p.scdn.co/mp3-preview/48896bc436ef142744396285d381b57fa1949444?cid=fa83a2fec7c440b7a2795d600d6b2c7e
98,Everything Is Free - Recorded at Spotify Studios NYC,3VB5e3mQF5F0qzX5UD7WIx,Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,Spotify Singles,1h1Y5FD9Tat1H8t3rHrWu6,52,https://p.scdn.co/mp3-preview/0af2bb1d75b966b4b77424732a3bb142fa427c32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Big Yellow Taxi - Recorded at Spotify Studios NYC,0e3ujCTfBtvX8HdQrEUBd9,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,Spotify Singles,4aNDmtlwH25CBLUjKUXPLu,61,https://p.scdn.co/mp3-preview/d839b355e044e89dabbc149628b1eddb8e3835f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,Know How,4xqowxjJ03RWog4teL6oqG,Kings of Convenience,41AbNVba2ccpmcc9QtOJE7,Riot On An Empty Street,5QE8eXeN0q8M7atLb1fT6c,58,not available
