Novedades Viernes España,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,174425,spotify_espa%C3%B1a
1,Nadie (feat. Sech & Sharo Towers) - Remix,6pNjmMB8FTMEcqGSgs7Mji,Farruko,329e4yvIujISKGKz1BZZbO,Nadie (feat. Sech & Sharo Towers) [Remix],4N2GPRKAskxYf1HQWveeFR,68,https://p.scdn.co/mp3-preview/99efb9b3e6d53b5793c20e7cc99761cff686042a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,RITMO (Bad Boys For Life),6cy3ki60hLwimwIje7tALf,The Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,RITMO (Bad Boys For Life),6EobpC5SDFy5DF50dWNVGF,68,https://p.scdn.co/mp3-preview/60e9246623919cb164490957ba79af46ceabe237?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Por Encima de la Bruma,0NgXjJEKZlT7pJ7R2BJrm4,Melendi,1EXjXQpDx2pROygh8zvHs4,Por Encima de la Bruma,472UYK1JDYp3m68nJi0bfd,50,https://p.scdn.co/mp3-preview/623f7dd7a721e46c2b547501489dbb73259854a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,ORGULLO,0cl1HHPNtWJOQx0mNUnAFg,Rels B,2IMZYfNi21MGqxopj9fWx8,ORGULLO,4mkKVm96efxW6GOKr3LNYW,63,https://p.scdn.co/mp3-preview/9dff37ba99573db2fe23b54f946c874b8f605f9d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Uniforme,0wMs7DPFOnToNAoecvAFQc,Rich Music LTD,2kqUKsTuEj1lPbm6BSn1AU,The Academy,1faqBAWocW4ZOe0OFjudGw,68,https://p.scdn.co/mp3-preview/a5cdd3c620e157404094741b656eb33787fa7e9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Oye,09nSCeCs6eYfAIJVfye1CE,TINI,7vXDAI8JwjW531ouMGbfcp,Oye,1xwUFsb21qbGugy09vdd7O,69,not available
7,Tranquilito,5FgfH1x2CWUsUYPyzP3g7h,Natos y Waor,1QJbbsxg2wqidJj51d3otw,Tranquilito,5l5ITl4xVnAL3UKtGNGa4X,52,https://p.scdn.co/mp3-preview/c32593651f1acce5d5cdc907513c87107247d7a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,BOTA FUEGO,6Y6YC93R1r0CISm5iC4j27,Mau y Ricky,2wkoKEfS6dXwThbyTnZWFU,BOTA FUEGO,3AVCyI9GWp86IqYi89wcx6,62,https://p.scdn.co/mp3-preview/788c1b3317823f6f1d3cfe9134edd3bb45e32f83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,A Tu Manera [CORBATA],7ylkmI5exdKG5Myo7DuH2p,Sofia Reyes,0haZhu4fFKt0Ag94kZDiz2,A Tu Manera [CORBATA],0iGPhmdLQ1P3bZeTQmK3qB,54,https://p.scdn.co/mp3-preview/b131afa9f947d0b2e9e2f76bf587499775999eb0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Easy,46D0hYb1B7qiU33VtXt21W,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Easy,514p9UpvibpBhShFgpZaxS,75,https://p.scdn.co/mp3-preview/c56216be5426c927962636e64f4b67981b06a556?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Boomerang,0J67GkSvZEB43wKHX0isby,Lalo Ebratt,1GAymyGBvB4gQy5Z5LZ1Wj,Boomerang,0GpG6SeOjMaIDPRbDKWmTB,51,not available
12,original me (feat. dan reynolds of imagine dragons),4KzOYxD4qIkUtZV9ZYakGu,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,original me (feat. dan reynolds of imagine dragons),6Qdnzl2AlEZDIeU3AaLnNM,71,not available
13,Baila Conmigo,0mD63phUwHYnlvAJn8NgqC,Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR,Baila Conmigo,1NfmNWGsa4mRMGrqHhMNJ6,56,https://p.scdn.co/mp3-preview/5e9785f5326071d8c4a2fe5c2085d230c73740d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,La estación de la calle Perdido - Canción original de la película Litus,1PMIB6Va4IEvriGSbWSf0Y,Ivan Ferreiro,3qUrABCNqnkb5gc2YmPVzP,La estación de la calle Perdido (Canción original de la película Litus),3NuSqlcF3Vv7cKIOd01lEX,41,https://p.scdn.co/mp3-preview/8fdac762aa2a028d8b5ab53f3ee8a5ef75e1ddca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,You (feat. Travis Barker),57CsOeLJrdI20fS4Z8pZPj,James Arthur,4IWBUUAFIplrNtaOHcJPRM,You (feat. Travis Barker),0EW257HwkJ1CblYgM9GIAY,64,https://p.scdn.co/mp3-preview/0262f6de6d1800d4646d665b45893440f7ba15e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
