Deutsche Poesie,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Ich fang Dich auf,5ceNNtdl3TN4ZPp8X3SCeJ,Jona Bird,2b6SFRAJT7aebTHmAEl9MW,Es ist vier Uhr morgens und vor meinem Fenster verliert die Nacht gegen den Tag,3AujElkyJxW5E6NHCO1xT9,41,https://p.scdn.co/mp3-preview/ff39544e0afdeba087713af974690ec045d341eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Blicke,3w6ZpZiSV09KJo1dZKCom7,LEA,5Yo5iU2nf4H41waPl4ZnS1,Zwischen meinen Zeilen (Deluxe),3BRzzOrxdksgbL4Iw7dNHd,54,https://p.scdn.co/mp3-preview/ed8e20e3819ddd4e30e034612fb44672d8c8787d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Als du gingst,4aOXVkAwN7Hg8M6Z8vgysJ,Lina Maly,0VVKg6krYM45eGuevSlcRk,Nur zu Besuch,4FQ2xsUjx0JnV1kq9i0tVo,45,https://p.scdn.co/mp3-preview/bda5ae64e6e6c9ff966daf15725f3578e2648b9e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Stille Poeten,3jIEKhzRukkP1geuTIVejE,Julia Engelmann,3yKyH3s5xOHdLDfsD0W9gK,Poesiealbum,4i2dWMZF2nDG6H6St6Hemb,46,not available
24,Ich seh nur Farben,1G6WQCjiPRvOHFE5fqumDh,Philip Piller,6KA9u2vD7aADr3lKOrn2Df,Kind,6UAHpqYXBz4sJRnngmbkZw,40,https://p.scdn.co/mp3-preview/c41b2324bc8244b2ee8798f6d0667bf889f6b799?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Hoffnung & Melancholie (feat. Philipp Dittberner),5O0YNvTnttzWCwxoCoM1DZ,Disarstar,7BSNHln0lSqyDHdQ3sv0Q5,Bohemien,6SXfbEgHTkYxX8C3fSbii0,52,https://p.scdn.co/mp3-preview/c83c4b0d9229970258695160ef5c96007a2686c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Heimweh nach wir - Piano Sessions,6rYkqUdaQOao5udjaVe5PF,LEA,5Yo5iU2nf4H41waPl4ZnS1,Zwischen meinen Zeilen (Deluxe),3BRzzOrxdksgbL4Iw7dNHd,45,https://p.scdn.co/mp3-preview/99c617ec24daf714f9b3d3bb4143ef4525bd2974?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Halt mich fest,2CMJqmjDuUIxAC2y96dxCT,Madeline Juno,6u8KyY2rfBGDtDejRJ9JaQ,DNA,1e0FaJpKXxcvF7npyJXiaT,48,https://p.scdn.co/mp3-preview/2c83c37a5746467bc4fbf8a098598587aa65c4bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Reicht dir das,57SWVEd1IxRmm8gWpupukS,Provinz,2f7f3AmL16mmiAmYnxmmfx,Reicht dir das,06GdASMOXwZ3bjdzw2NdWF,54,https://p.scdn.co/mp3-preview/ffd9f6802d9dc99073ff595321a5888519ffa766?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Wenn man nichts mehr vermisst,1qf5HUMcru40VJTfHowSk4,Clara Louise,4GOCL5XuZojOhP5iE7CPda,Wenn man nichts mehr vermisst,4r3HeaaXyiYOudpXpIpWK9,42,https://p.scdn.co/mp3-preview/0d059c5e54c2497264730bc15b33cb3dd6b8aba1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,In der Garage meines Herzens,2KvhSeqwKBky6Sg6JKXG5I,Philipp Dittberner,7oaSITFPadI3fnIxbv7hTa,Jede Nacht,2WkZJy52dMnsESXK6Y7TbP,38,https://p.scdn.co/mp3-preview/35c95bf5e552f384bbaa9ba5afcb7ffc2961b0e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Glück,0gh56emaM8R2Muwb1GJl4z,Bengio,0gfGtWOKV78OjwmQ0iGcE3,Wunderschönes Chaos,2ENCfuzHDLdj6uinRH40WL,44,not available
32,Feuerwesen,1y9EAqSt7cQi65KsWLKwHT,JORIS,7BKePXVmQRgnkbGcrFX1G4,Feuerwesen,4PAgMTlLDQYTZO07QoYYFO,40,https://p.scdn.co/mp3-preview/3c8c5cec197db38f6f5a8a7a899d31a3486c5d69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Ich bin weg,5E7udMAcKdFSFEoApgFjck,MATU,3n6vw75w97MC3winElfMQg,Bessere Tage,2Ht1ebdIoM28fqN6FvORRb,0,not available
34,So leicht,4si2Ao3F5XKEC9aYEwRzUz,Elif,65AzRSW0jKSs0WtttEXrOw,Doppelleben,6564mk8qdM6BjsWAkOY1MF,39,not available
35,Nie wieder,3n6I3HZxHt4XXT9pIraiZy,Nisse,4KnUDY0asYB0Eb7vtNWIK7,Ciao,0nDdcX1c7HMzRnZJmySv6r,43,https://p.scdn.co/mp3-preview/3071732bc6861ddfefc51786b9408f257bedcad7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,September,0CP3e2mHRa6TPSrmxyNQB1,BRUCKNER,0OKQx5tW0vxtKwYVblZTkq,September,3n2xfF1Aq8vy9eg1Gi94Qd,41,https://p.scdn.co/mp3-preview/837223d228cc14049f42b03936ca0a4299954942?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Alles und mehr,0AoTVKDWmcQWmffZQsMX0P,Benne,0eS2ZGOnJi5Cp4ASTy4aBc,Im Großen und Ganzen,6IQFlJqW7mfgxW63xs09CE,6,not available
38,Vorübergehen - Akustik Version,3jyYToWMHDuSiGh8tGnNzL,Louka,4BDlejutbmUAMCMyaTMOmZ,Vorübergehen (Akustik Version),4HR1OEOHR7rgjnPDJaabJu,1,not available
39,Hallo,7iHrIIRK7n1CWRcsFuLkjU,Elen,7hR13E9Jt08a35Q2is8VvO,Hallo,60aP6g5hieOWo8JycV1Pw2,43,not available
40,Alte Bilder,4PULyjzYYBStSbCqaXCoBZ,Philipp Poisel,7HkIxdAV13bOrkOhh6H3Dg,Freunde,4gpPUBY3kcbIkwXaeOC6HS,55,https://p.scdn.co/mp3-preview/d91cad880247301014fcd22f1dbc18243719f518?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Zeit bleibt Zeit,3ng86F8DDnnwSkvZPffFtZ,Mister Me,0vw21585Z37M6q5VTOpcj3,Zeit bleibt Zeit,7jv0hJofeGh16E15aLGkJG,34,https://p.scdn.co/mp3-preview/3a3000f5860d2f59583d1f528668df7ff67ef2ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,immer Gründe,7wlKWtFT1AiSG0DcUtHvV7,Revelle,02EVANzKGRlR3TTTiaGAoA,immer Gründe,11gIOg68rm3LZpEsPP9oFU,41,https://p.scdn.co/mp3-preview/c844178c08af799f71a28675060a2ad53158e8bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Liebe ist verbraucht,4Ca09Mf8V9lsU8zEhZizBA,Xavi,0ZCbxUPZReHqmDsGmiRvL1,Liebe ist verbraucht,7kkPgkd7zMn6G9knLD3uW7,45,https://p.scdn.co/mp3-preview/48512df9f8dfa75dbc67285c4d5fabc10a3153bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Grapefruit,4d5R3wBNlaxcGCAWJtPLBH,Julia Engelmann,3yKyH3s5xOHdLDfsD0W9gK,Poesiealbum,4i2dWMZF2nDG6H6St6Hemb,50,not available
45,Ozean,7ED8m8m3QJvDCnYFOi6VXB,AnnenMayKantereit,23xqmJEN3oVxwzqtNIyR5m,Ozean,4AFH1ZeMsq5MSwgOqYfZVv,67,not available
46,Bis zum Himmel,010n0JjUmgY1fjxIQAyo8p,klangheimlich,3tE5qYRcCZkVbMv4gfUdEJ,Feldweg,1oUB9fwZXhUBWF7QdsdqeX,2,not available
47,Regenmädchen,4f9pM5BuSp6ULzRFcmK4Ea,FINN,6iIil052wIpMYhauYLYOOu,Regenmädchen,4h4om7T0c15OiDVQKD2umK,4,not available
48,Der Trick ist zu atmen,6bmL9drA8ZGEIuG05eAYEY,Lupid,6MyDQj8ZCDSwJmA5P653Sr,Lupid,1cnHk1K10bilYdoa3ozW0V,31,not available
49,Steps,6Bhn4kl4qXvaqbWvW6wOhR,Amanda,1vkYQMWQrfBzvXrMCwe50Y,Steps,5fHM8Zrv2XuI6eV73ICozu,43,https://p.scdn.co/mp3-preview/a9194fa71df0c501086f1015bd63fe93486fc522?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Barfuß am Klavier - Live in Berlin,23tJQJDsFIHEZIkih4lS4q,AnnenMayKantereit,23xqmJEN3oVxwzqtNIyR5m,Barfuß am Klavier (Live in Berlin),1nNw2umdhxYUtfsOigPws0,6,not available
