Kopfkino,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,98520,spotify_germany
1,Blooming (In C Minor) - Harnes Kretzer Remix,3mYW95cFCfuWgZxpiK4qzI,Niklas Paschburg,4dTw5svKFBPnfijbi3H9eI,Blooming (In C Minor) - Remixes,39ylocGinn43Ifq4JQH5oz,44,https://p.scdn.co/mp3-preview/dce491df47deee03d8a8b668a811dfac04487021?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Panama - Edit,6UTn9fLE2Aa11EcHHBhpJf,HVOB,6RAx8RRxoHeJIqD2d0EjOa,Panama (Edit),3HHwdLJOZnrHBJvIXsbGzs,51,https://p.scdn.co/mp3-preview/fbbb0fe055b2bd2702c5cb74ea54026ec4646c0f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Like Water (feat. Mohna),4sXYqjoe1AZM6tpQKMuLFR,Christian Löffler,3tSvlEzeDnVbQJBTkIA6nO,Like Water (feat. Mohna),7mflwNRugPkBldVVtGGIga,11,not available
4,Chapter 13,3MY3KdmrP1aUEUrNPmuJ05,Nihoni,5vo3SAsS0EuZTW7QkGy0Xs,Chapter 13,3vYUqgjvuuwC40udf7HhZO,1,not available
5,Alone in Berlin,35zgUplHMIDYyDeWqkAzr7,Kev Sheridan,4rqPUulTdgCJfxITPHP2oY,Alone in Berlin,54D27dhzVTKeFcVY6JKeZI,39,https://p.scdn.co/mp3-preview/c381cbd29f96ab191accc32fa18345ea8675a7b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Eden,0UvOd9SZMfGii53C50YYne,Hania Rani,14YzutUdMwS9yTnI0IFBaD,Eden,0UeBnTijgsORW94114QvdM,37,https://p.scdn.co/mp3-preview/04b5f4ba247bab5c5ad5779d037896ae774dd8d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Connected,4LurkHkhygeaev1y8HXMd9,Andre Lodemann,1Em6QNi57qzKBsy0r4ZPXN,The Deeper You Go,4dKU0lg8GRfXExBwgS2FOq,32,https://p.scdn.co/mp3-preview/17425d4fdd654a082735a6fb48e83b68722e4e14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Insomnia Dust - Original Mix,7fVs5gtx1xURyanouAoKFN,MUUI,4uprJRAH1f3978H1YMzqWY,Insomnia Dust I,7Hco85D2xYUlpxo8Ybj8m3,31,https://p.scdn.co/mp3-preview/c70e205dbc282633f7d37f24be275a4487a772c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Black Hole Revisited,6h3ZeB59DnNvK56N6Jtogg,Robot Koch,47V6nyjOrUR98qv6gkYssI,Sphere (Out Takes & Remixes),7esumKYxV1ku89s9ScRIUy,37,https://p.scdn.co/mp3-preview/4f7235b0f9896aae43bee864e4dc8c90cc0dcf0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,So Long,41sDpPLnM1N59ZStkgd9gL,Audio Dope,7vByi0TCh4wNTdqNK7dNqe,So Long,4TpJYntKPUQZ4WpwzE3qKV,33,https://p.scdn.co/mp3-preview/cee4014f4a4e319c5d1918d135ad88061915d443?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Harp Enough,0ywB0utZGAHl0tpTOTnp1v,MOTSA,2fyuHXew1I5FJDAQdbCYXP,Perspectives,0HmEyhZnvkwt45Z8RR0AfV,34,https://p.scdn.co/mp3-preview/03898ae20d962a79e546a1f37cfe22e57c79e6b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Cucuron,3pGk4e4NtaBAFT7kp2mg8G,Niklas Worgt,5vepjxl2UMfB5D7apHD2fa,Thin As Paper,6Re4PXtk1U3FTOhe6oqBa5,35,https://p.scdn.co/mp3-preview/2f61e9944f4f80d27dec8893cf1231fa1fd8ddd8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,CCMYK4,4U5DGhLm4dP7YlWItrdZw7,Henrik Schwarz,1ooAqaFu4Ac3BO2HpL4V2R,CCMYK4,5QyJXVujHFHCyMlRFG80Xh,27,https://p.scdn.co/mp3-preview/6382aafaf67e2f92331be6c703a830f0280e189e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Squares,4bmVE7WRba4td0JDP6j1HR,Robot Koch,47V6nyjOrUR98qv6gkYssI,Squares,2OBFkeXD1uCm6a8XaddCfm,32,https://p.scdn.co/mp3-preview/2c4b6686222bc8cfb0b7535c168df07c1cf7707e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Eintagsfliege,2ttVxMK6vCXpRUz8z0YRE2,Dominik Eulberg,44zcDDVZOY0ck7KECNUPK1,Mannigfaltig,3HUrniKjndcjRSpBwOxVUb,44,https://p.scdn.co/mp3-preview/d7e2f08a5a1baadb0c07f56d2d2868f9dc297586?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Andromalius IV.,52egC9eDJzwNm6AGmlFlna,Dogu Civicik,10sxqiasXeDIMeRwSdvCFV,Andromalius IV.,7sM98HNzgmGlPcrnrNfvAX,34,https://p.scdn.co/mp3-preview/0c4405bb948cadfa2daacaa164fe506c680b7a90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
