Hit Rückblick,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,211478,spotify_germany
1,Vagabund,3yhaXZury9ZUpfXvdvuWiB,Bausa,13bDjug9N0pyv3ZUINjkDV,Vagabund,67YdsiVy31rptZvo887NrP,66,https://p.scdn.co/mp3-preview/1d0a9f326fa08a51313b3c16a435dd30b2240aa2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Change Your Mind,4kOlyvj9WiPrI4zpmzKAeA,ELI,63gbXCha1jpkrJJ9K5gGpR,Change Your Mind,60PSfBhVSZFJj302rOs4DY,63,https://p.scdn.co/mp3-preview/924b2708dc291b8a6e4a2d8c0a6dfc33e3d5d1c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Zu dir,4ij2vmffYpMjCTDd38vvEV,LEA,5Yo5iU2nf4H41waPl4ZnS1,Zwischen meinen Zeilen (Deluxe),3BRzzOrxdksgbL4Iw7dNHd,64,https://p.scdn.co/mp3-preview/67f00ab3fa1e72e08586c575dc5f2695c6081f6b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Je ne parle pas français - Beatgees Remix,0LH2h4pwiX1iY3KDuONOb6,Namika,0HSc7yUdNSosxRb2UJnXlz,Je ne parle pas français (Beatgees Remix),63aClD1eR2iy2edftkal6g,63,https://p.scdn.co/mp3-preview/81205d7cfa5ceae8ab749340c1663fe0a1feae0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Rise,3KLygy1YWhmrQx0GRs7IOx,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,Blue,6x8gRx7RDvPckYBzPodW8w,32,not available
6,These Days,5CLGzJsGqhCEECcpnFQA8x,Rudimental,4WN5naL3ofxrVBgFpguzKo,These Days,2sjjFDjZSCYD5eBCsi0fDW,80,https://p.scdn.co/mp3-preview/57f9b45cd318070b04945fc6c8a7e50eaa7f8971?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Phänomenal,5Tz9FKVUOPZ5nMIbuAlRx4,Pietro Lombardi,387fj6TuPJ3y2H8ViAm6r0,Phänomenal,72GncchT8FkKNDfG7lRfit,63,not available
8,Leiser,1fTzkQQ4oH5TIN8HnSbjCa,LEA,5Yo5iU2nf4H41waPl4ZnS1,Zwischen meinen Zeilen (Deluxe),3BRzzOrxdksgbL4Iw7dNHd,65,https://p.scdn.co/mp3-preview/8be9b895f9f1b3dfe4a0990a8e67b74aa761910c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Never Too Late,2t0S4nEnedjJIQ08pWA8wA,Alle Farben,61ipISvUVa5LkJlKZnm3Oo,Never Too Late,5MRJgor9sRxiqOFZeCmq4k,54,https://p.scdn.co/mp3-preview/0161f2ddf0dad3c4a50bc62cc9bf880a4afb3008?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Rooftop,637yH6Qs3wXdgjPjO7QGdr,Nico Santos,3A9B6c1CrSPauiOblw7pWz,Rooftop,4xkfGQYu4OIPiAqant9Az5,16,not available
11,Born To Be Yours,2hoigtnMAjSejRi1hHk99w,Kygo,23fqKkggKUBHNkbKtXEls4,Born To Be Yours,2pJwtJl5mZdRj2jocjDFgB,59,not available
12,Crazy,1ZtEZjYb4e0V0gqwRYeeAY,Lost Frequencies,7f5Zgnp2spUuuzKplmRkt7,Crazy,44w0sjVpQthx9MxtXSI0TZ,47,https://p.scdn.co/mp3-preview/5954f0df659a424181a4cd3c05ddb8e1b83d31e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,There She Goes,5tmuKTnfayZkjDlukTz3vT,Taio Cruz,6MF9fzBmfXghAz953czmBC,There She Goes,6lIsiWfNLzYcGQE6FmwJwt,60,not available
14,Senorita (feat. Pietro Lombardi),7C2uYDYGaGLAq9kD2ZrHdr,Kay One,6VjbeCqoayiHYnefrisskv,Senorita,4LkTwh0FMmd8IR0zvMbYS3,5,not available
15,Burden Down,5IoGqgKc01aOc4MqzGfDmm,Micar,3QqlKdJRY4IqUry390xfvJ,Burden Down,3LzJ8ksrGySf1SIiFAY8cs,56,https://p.scdn.co/mp3-preview/2419b74e69f54107fdb06c3c3f526a58e80d5a16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Stargazing,0Zbbxnx4SGGHoIow4PpISP,Kygo,23fqKkggKUBHNkbKtXEls4,Stargazing - EP,2sPYPyDFwgi1jrRTGhoxq2,75,https://p.scdn.co/mp3-preview/1c83c44bc1fbe6bed8254c4203256778a7a8b83d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Feuerwerk,17DNnXyihmTHGxMQs1Bm6T,Wincent Weiss,12xme1fwd3iGEW7rF9b6tp,Feuerwerk,27Wz6k48IILYU5TDnuqEeB,9,not available
18,You Let Me Walk Alone,07qlsG6DYRLBbovwca9Vbr,Michael Schulte,21aa4pj9BvbFB2iT8kRpnq,Dreamer,2t0sI2bIbjfGv6UmjEG3LP,59,https://p.scdn.co/mp3-preview/a53bf62c83048dbcc7b1f3f6e614afbadacda8da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Was du Liebe nennst,4hKWUzhQWsOkgT6LnDEASe,Bausa,13bDjug9N0pyv3ZUINjkDV,Was Du Liebe nennst,5NmLQOHFw8w291xZEN34me,66,https://p.scdn.co/mp3-preview/dd8265fca847d4cee49c47744530e9131c7d0989?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Leave a Light On,6lOWoTqVnAWXchddtTH31W,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,Leave a Light On,3pczowjToa5SYsI6Th4KO8,75,https://p.scdn.co/mp3-preview/1f0dd349b1a3898c0f7466a95fa437b1c77928d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Bella Ciao - HUGEL Remix,3mHXBSyBazzIW1INJmErKi,El Profesor,2gTcdmBwgyh3EORKIXCzlw,Bella Ciao (HUGEL Remix),3CQXZGwq48aV4XrkpxCgOr,66,https://p.scdn.co/mp3-preview/7ec9450641672a7b287e0f1e18e5d329de9f37b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Without You (feat. Sandro Cavazza),6WbADFqMvR8N5u0BvtsWQE,Avicii,1vCWHaC5f2uS3yhpwWbIA6,AVĪCI (01),6LaLU27ZPXimJIbpbiOahr,27,not available
23,"Like A Riddle (feat. Hearts & Colors, Adam Trigger)",5dX8ECwIk0dgBTkqwPVZhc,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,"Like A Riddle (feat. Hearts & Colors, Adam Trigger)",12tophmBTd8u7ETsFhh6Ga,8,not available
24,Dreamer,7hvxMYq9JW5W0vFwiu1Zdr,Axwell /\ Ingrosso,2XnBwblw31dfGnspMIwgWz,More Than You Know,7bchrFZj39dzXln8iE6tBE,12,not available
25,Ist da jemand,1QzmdyU1N47jAj0ao5IvlW,Adel Tawil,3rZBkgoRHG8M9jQL0QPNMi,So schön anders (Deluxe Version),0eeSPBnOD7gGAcCjS9R2IA,60,not available
26,Summer Air,3GPI7hYiqD6enLRobhkBm8,ItaloBrothers,5nkYRuiIHg2xXHFC8bfosJ,Summer Air,2wXWlMXmao3AoaZKtl2p5Q,15,not available
27,Bye Bye,6Sr3iRWoMsyqVfNDJJQmzk,Cro,3utZ2yeQk0Z3BCOBWP7Vlu,MTV Unplugged,324qUngn6Sf6tlQ5mSvio8,63,https://p.scdn.co/mp3-preview/cf925a8cd96bbf6b1f9502fbd04ccd6dfc729cc0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Geiles Leben - Madizin Single Mix,4dE4yaT3DzLiXH1wnH1KLo,Glasperlenspiel,2UFKXTZgKtOTHSqMSyAcLO,Tag X (Deluxe Version),2rbSsJUXRpQ0kx3JZBY4oO,9,not available
29,Chasing Highs,6fTsxhIosAU6zXTAhSaemI,ALMA,6c0mTNAxJxlp9HpKTUZwA8,Chasing Highs,1Yx8WUnHX4zrpQVF3nOPUg,11,not available
30,Lullaby,5xzCzOAOfRi4DOttSzvznR,Sigala,1IueXOQyABrMOprrzwQJWN,Lullaby,1SR7c6j94aiuYEhUrfTbZ7,69,https://p.scdn.co/mp3-preview/f333b096a28a34d65c13d8616b18612b4665a7e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Feel Good,6a9vKVMFfNBi741DVSit3H,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,Feel Good,5yAfDtl0HzGSqfLv2C40Uy,14,not available
32,Rich Love (with Seeb),7aF09WaavZAmAWuUeYxlYD,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Rich Love,57Cm8PM2tz8TAvbbPFglMG,17,not available
33,Be Alright,3EPXxR3ImUwfayaurPi3cm,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,Be Alright,0YZLXTaHLcgl5UdtKDiUXD,85,not available
34,I Believe I'm Fine,7Lgpic8BsBJR4jFrr9abbz,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,I Believe I'm Fine,6DK2SoPZxXKlcOqMtrBJS0,50,https://p.scdn.co/mp3-preview/d1836ee71425e8f2a1fd0ff0051f7d4b7ebc2882?cid=fa83a2fec7c440b7a2795d600d6b2c7e
