Deep Listening,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,173852,spotify_germany
1,Bloodwork,3iCvLAdsFiqlnusTzGSG64,Steve Tibbetts,4VksGqYn2k7ljivxGwRZ8y,Life Of,6dYkIcKYqvb8lNB3FD1dAC,35,not available
2,Triptych III,7yLDPr6UQiAN5m5BRJP4ce,Lotte Pen,09klzeoydwwlN5eyyQNNss,Triptych III,70dgfs1cIUejHyTX6IHqYk,37,https://p.scdn.co/mp3-preview/96d29dcbd644d6b81ed4080975471b6b8975effd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Concise,4H0wNqcWYEZBW94oBygF0k,Roedelius,7v5E9zviGMsOGHRdMVmhDc,Lunz 3,4tTZ05DMgT3Y4Mpc72AyLC,28,https://p.scdn.co/mp3-preview/85879315c10585e89b8d7f6eb454b161a81a7307?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Calimayan,73xAnUDRUQbZy65hOr80IJ,Carlos Nino & Friends,5Vp9z1lRUNMLQCXbwrIbDK,"Flutes, Echoes, It's All Happening!",1e52dh3GiiAVMNetdNA2pE,37,https://p.scdn.co/mp3-preview/9ff4efc73c08f40018ee18962f4165def7e585b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Playing at the End of the Universe - Orchestre univers Version,5drwkeWY5C8e2I6cTg79NS,Labelle,7wF9y3gjWdR3DOtFG5PVFS,Orchestre univers,0eIOrsIX5gw7zpvZhltUCq,42,https://p.scdn.co/mp3-preview/5f37a4ce36247f7ac022f40128b6eacc3a09e22c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Hiddensee,6HXAoCEMSpzUoMd9KopnZq,Ceeys,6K8BBZapSLE6XGXF4htbIT,Hiddensee,3JXK7k65XwptClZh18unpo,45,https://p.scdn.co/mp3-preview/1b57b5b814f95fe1169e6bc164057cef2d1e4128?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Traces I,1aUAEjPEyazQvsGlw9dEZt,Tigran Hamasyan,0D3h8NZqNp7BN97JwtV6eW,Atmosphères,7Dts1hwy6sVRBQrK9DwZW9,3,not available
8,Wurlitzer,4OjcEWInukLib0TUfETqfx,Leifur James,2N1foZRamgP1sfiYXFID9O,Wurlitzer,0mfitPoE1oWjDfmX48fOl3,39,https://p.scdn.co/mp3-preview/fef020e77decef26fcc6bbc93d39b6f6cd349430?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Badlands Train,2ZdD734d65deIKqH6pJkXi,Stubbleman,0Fu1gmQ4PZ1S5anr0l2Cov,Badlands Train,74fjGUdVhFWF976Tnno4Vj,40,https://p.scdn.co/mp3-preview/64bdbfe65763bcbb174e4c493373a8a6fc4c4c1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Introspection (Edit),5JVtVJFun3pgNdDlUQlkOm,Laraaji,6sd3qv6kReAdo6WsLBtXX4,Introspection (Edit),3KqeFM8PuKvoOHzVo1oxmZ,44,https://p.scdn.co/mp3-preview/d1c6767cd8c00bbea828d593f8e3469394e92e6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
